log(t) (lower limit),log(t) (upper limit),M (lower limit),M (upper limit),Alpha,Mean log(t),Mean log(t) error,XI,XI error
9.53965,9.727137372000003,1.026837214669217,1.1748975549395297,2.3,9.633393686000002,0.0937436860000016,0.013000591025634384,0.002982540130896952
9.3468329368,9.535592726399997,1.1783272464915668,1.3540420760473957,2.3,9.441212831599998,0.09437989479999853,0.007052803864186841,0.0016180241743475581
9.276738744000001,9.3462303,1.3547526213057486,1.4392386061067968,2.3,9.311484522,0.03474577799999956,0.012046864666659577,0.002763740298341048
9.2049873,9.27137151,1.4459790475070236,1.5320043554970155,2.3,9.238179405,0.03319210499999947,0.011336583305816775,0.002600790578688715
9.133202,9.202162440000002,1.5357764368514855,1.6307973610235942,2.3,9.167682220000001,0.03448022000000073,0.009750038103890484,0.002236812146869976
9.0976496028,9.131714451999999,1.6329105689502388,1.682059522604034,2.3,9.1146820274,0.017032424599999096,0.01918741909042172,0.0044018958317111265
9.052482948000002,9.09757914,1.682162704757897,1.749514716436513,2.3,9.075031044000001,0.022548095999999518,0.014435577664019665,0.003311748643636562
9.0196551124,9.051621736,1.7508268574037023,1.8002336695599037,2.3,9.0356384242,0.015983311799999456,0.02063847323974172,0.004734790484263298
8.9883618,9.0195141868,1.80045453889569,1.849950040229604,2.3,9.003937993400001,0.015576193400000271,0.021578120447671354,0.004950360338049899
8.954279388,8.986545425600001,1.852877552943819,1.905660797803311,2.3,8.970412406800001,0.01613301880000062,0.021475830552335123,0.004926893426643795
8.9255166,8.951176803000001,1.9108148158254603,1.9539794862990247,2.3,8.9383467015,0.012830101500000524,0.028021355584605206,0.006428539855490169
8.8891032024,8.9212751838,1.9612075659527584,2.016911675379606,2.3,8.9051891931,0.016085990700000607,0.023417706660042604,0.0053723903589792165
8.864705934,8.888358582,2.018219509278796,2.0602067227368974,2.3,8.876532258000001,0.011826324000000277,0.033367252646415886,0.007654972753121946
8.828058930000001,8.864647532400001,2.060311468532015,2.126992703067155,2.3,8.846353231200002,0.018294301200000085,0.022697137072799925,0.00520708035831713
8.80761837,8.8280297292,2.1270467730562657,2.1651799660346147,2.3,8.8178240496,0.010205679600000295,0.042898115571097864,0.00984150266540759
8.783280667,8.80576158,2.1686826249483455,2.211543061281835,2.3,8.794521123500001,0.011240456500000384,0.040759249187291596,0.009350813064315601
8.75157082,8.77942267,2.2189831275199814,2.273442633558652,2.3,8.765496745,0.01392592500000056,0.03476526947277459,0.007975699809304421
8.6975215732,8.75005788,2.2764389090982093,2.3877475053564168,2.3,8.7237897266,0.026268153400000216,0.019237703843565428,0.00441343194525609
8.623238801920001,8.696866472,2.3892632327834376,2.5658959425519132,2.3,8.66005263696,0.036813835039999354,0.01521062948355277,0.0034012001505786516
6.853978,8.620818445440001,2.571918959729872,28.22279362118104,2.3,7.73739822272,0.8834202227200008,0.02519753803185664,0.005634340790486771
