log(t) (lower limit),log(t) (upper limit),M (lower limit),M (upper limit),Alpha,Mean log(t),Mean log(t) error,XI,XI error
9.841021020000001,10.055232744000001,0.8410542311594528,0.9826978366953081,2.3,9.948126882,0.10710586200000005,0.00756685680150777,0.001735956006211357
9.553053990000002,9.832844999999999,0.9885530946569391,1.21140678001976,2.3,9.692949495,0.13989550499999837,0.002239456563693409,0.0005137665710309699
9.460075530000001,9.551504349,1.2127715487733786,1.2960746013246576,2.3,9.505789939500001,0.0457144094999995,0.003978993049803619,0.0009128436105865621
9.42445597,9.460075530000001,1.2960746013246576,1.3300562245916174,2.3,9.44226575,0.01780978000000033,0.008024131722641936,0.001840862067823955
9.38680825,9.42445597,1.3300562245916174,1.366941724162319,2.3,9.405632109999999,0.01882386000000036,0.006872338709907831,0.001576622628540575
9.36023642,9.38680825,1.366941724162319,1.3952756014903223,2.3,9.373522335,0.013285914999999981,0.008254873939135623,0.0018937979627557742
9.337146353,9.36023642,1.3952756014903223,1.42452147264674,2.3,9.3486913865,0.011545033500000024,0.007540252494952253,0.0017298525596988056
9.318623552,9.334862719999999,1.4274470256373366,1.4484249593523917,2.3,9.326743136,0.008119583999999236,0.010027363628137975,0.0023004349855362525
9.304311760000001,9.31710113,1.450407377056445,1.4671685197447226,2.3,9.310706445000001,0.006394684999999178,0.012017121400525894,0.0027569167251132814
9.279399399999999,9.301820524,1.4704558856324943,1.5003756249395948,2.3,9.290609962,0.011210562000000479,0.006457376405129137,0.001481423746861151
9.251995804,9.278607485416625,1.5014434495407625,1.5377721808097518,2.3,9.265301644708313,0.013305840708312644,0.005153967662947708,0.0011824012737402926
9.233427965730344,9.249494158056043,1.541232156512864,1.5636392811985353,2.3,9.241461061893194,0.008033096162849418,0.007995901859439384,0.001834385693040276
9.21296644,9.233352767105034,1.563744921158064,1.592648731366794,2.3,9.223159603552517,0.010193163552516538,0.006135314969326203,0.0014075377862150143
9.189607914479014,9.211859224,1.5942337539465232,1.626423886175998,2.3,9.200733569239507,0.011125654760492765,0.005439819976426112,0.0012479802920155388
9.117247702818354,9.189336020792023,1.6268212176729746,1.7356668404448872,2.3,9.153291861805188,0.03604415898683477,0.00162805125425972,0.0003735005732748823
9.069704610725344,9.11641734230357,1.7369621159075477,1.8114074465544385,2.3,9.093060976514458,0.023356365789113376,0.0025982431396961974,0.0005960778566675558
8.993619609176294,9.068415802999999,1.8135060134216558,1.9395548432476777,2.3,9.031017706088146,0.03739809691185236,0.0018243324790946447,0.00041853057451539925
8.894495749,8.993238074000391,1.9402197766724285,2.1202008290815932,2.3,8.943866911500196,0.049371162500195354,0.0019249569857106145,0.00044161541954606517
8.74501421100748,8.892504298,2.1239974939654167,2.4259676514607302,2.3,8.818759254503739,0.07374504349626054,0.0027412418974750484,0.0006129603225524718
7.071607799999999,8.744583412018292,2.4269246759018586,18.09464220529312,2.3,7.908095606009145,0.8364878060091465,0.003321686971113827,0.0007427517867385898
