log(t) (lower limit),log(t) (upper limit),M (lower limit),M (upper limit),Alpha,Mean log(t),Mean log(t) error,XI,XI error
9.839465760000001,9.681396240000002,0.9654727043438133,1.0827046450360396,2.3,9.760431,-0.07903475999999987,0.0029726185116230883,0.000681965457361228
9.675075999999999,9.464612008000001,1.0876771376310002,1.266971950086913,2.3,9.569844004,-0.10523199599999877,0.002475731508207813,0.0005679717608219683
9.46157560007612,9.37386416,1.269764110867936,1.3531314867684139,2.3,9.41771988003806,-0.04385572003806004,0.005131456345189784,0.0011772368232564653
9.37386416,9.331210945921601,1.3531314867684139,1.4034382051975927,2.3,9.3525375529608,-0.02132660703919953,0.007659843962628736,0.0017572887240204637
9.33062446,9.2890255,1.4041710018958569,1.4571357047304205,2.3,9.309824979999998,-0.02079947999999998,0.006399340714840119,0.0014681094463828116
9.2890255,9.25782628,1.4571357047304205,1.4981662180599429,2.3,9.273425889999999,-0.015599609999999764,0.007303726499871654,0.0016755897749579252
9.25782628,9.235771926326413,1.4981662180599429,1.527865305295242,2.3,9.246799103163205,-0.01102717683679355,0.009343775982327118,0.0021436092241077054
9.2349572,9.22916232,1.5289736466907102,1.536880145109694,2.3,9.23205976,-0.002897439999999918,0.034453669714527624,0.007904213922092304
9.228619049999999,9.2240918,1.5376234722459665,1.5438318628248198,2.3,9.226355425,-0.0022636249999994362,0.043156758503345403,0.009900839423519594
9.223276895,9.217300925,1.5449520323467307,1.5531914815483006,2.3,9.22028891,-0.0029879849999998598,0.032002777755031006,0.007341940744566929
9.216578272099284,9.206978795,1.5541908225073588,1.5675268913262688,2.3,9.21177853354964,-0.0047997385496421074,0.019503753916476404,0.004474468017979278
9.2059828,9.200728139615409,1.5689171126078543,1.5762720655368776,2.3,9.203355469807704,-0.0026273301922952186,0.03461956644104535,0.007942273241353092
9.200611256247312,9.172455280000001,1.5764360587018222,1.6164415303312323,2.3,9.186533268123657,-0.014077988123655238,0.0063205073160747475,0.0014500238243515431
9.168000466,9.116723768015147,1.6228635276559196,1.6986461200828626,2.3,9.142362117007574,-0.025638348992426785,0.0030774243445810517,0.0007060095644431946
9.116027636,9.049128921415655,1.6996989260313895,1.8039793948683096,2.3,9.082578278707828,-0.0334493572921728,0.002328315722909028,0.0005341522602535422
9.038810860000002,8.987635326729231,1.8206228956633927,1.9054686437267265,2.3,9.013223093364616,-0.0255877666353852,0.0034459281027746065,0.0007905501245632291
8.985069809589449,8.91581194963983,1.909824684429565,2.03125757641347,2.3,8.95044087961464,-0.03462892997480971,0.0033074477961949605,0.0007587805634026391
8.91471186481616,8.742625230000002,2.033247438909717,2.369790750203542,2.3,8.828668547408082,-0.08604331740807947,0.003360405939752075,0.0007709299947712172
8.730686680000002,8.596373183199015,2.3955762566665517,2.7176099216127807,2.3,8.66352993159951,-0.06715674840049335,0.011985399935255055,0.0026800168992751885
8.579717040000002,7.011625,2.760450729839161,19.78335754143395,2.3,7.795671020000001,-0.7840460200000008,0.00976501157323033,0.0021835229678815187
