log(t) (lower limit),log(t) (upper limit),M (lower limit),M (upper limit),Alpha,Mean log(t),Mean log(t) error,XI,XI error
10.074125524000001,9.848552170000001,0.83905030577312,0.9880752024068725,2.3,9.961338847,-0.11278667699999989,0.0018666769632430789,0.00042824506542168267
9.839942500000001,9.595504120000001,0.9942600739529568,1.1869707036524377,2.3,9.71772331,-0.12221919000000003,0.0013281556173824402,0.0003046997956561016
9.593902912,9.499431640000001,1.188348986176394,1.2725650748860549,2.3,9.546667276,-0.047235635999999914,0.0030051671225240066,0.0006894326208175295
9.499431640000001,9.43538332,1.2725650748860549,1.3330302351993626,2.3,9.46740748,-0.032024160000000634,0.004006425662705969,0.0009191370836075418
9.43538332,9.3983395,1.3330302351993626,1.3693043883912075,2.3,9.41686141,-0.018521909999999586,0.0063698131421836834,0.001461335356632419
9.3983395,9.379887484000001,1.3693043883912075,1.3877396596713378,2.3,9.389113492,-0.00922600799999973,0.012418429613028763,0.0028489831431929105
9.37946812,9.361798960000002,1.3881615150799542,1.4094186046947417,2.3,9.37063354,-0.00883457999999937,0.01066589919219868,0.0024469250905676926
9.361798960000002,9.351023536000001,1.4094186046947417,1.4231936586948362,2.3,9.356411248,-0.0053877120000001,0.01619426155125344,0.0037152183982726303
9.350013340000002,9.341595040000001,1.4244919522154518,1.4353572259793081,2.3,9.345804190000003,-0.004209150000000328,0.02022711988754541,0.004640419553089066
9.340079746,9.311518750000001,1.4373217582514497,1.4748572927641252,2.3,9.325799248000001,-0.014280497999999753,0.005743827341670556,0.0013177243648151487
9.309937130000002,9.272373655,1.4769643067340512,1.527900243116728,2.3,9.291155392500002,-0.01878173750000034,0.004075647757819312,0.0009350177213580271
9.269189528299952,9.246276925,1.5322978339013626,1.564317846591177,2.3,9.257733226649975,-0.01145630164997602,0.006207403123019524,0.0014240759428979413
9.246276474043603,9.216621550000001,1.564318483335191,1.6067562577135412,2.3,9.231449012021802,-0.014827462021800741,0.004621982860564537,0.001060355589893572
9.215043769788636,9.18182591,1.6090461287238975,1.6580208973273605,2.3,9.198434839894318,-0.016608929894317725,0.003889420216331091,0.0008922941932605964
9.1810351,9.125584013000001,1.659204817421629,1.7443635374134876,2.3,9.153309556500002,-0.027725543499999894,0.002219237305504218,0.0005091279550751783
9.122152918,9.078921121,1.7497741650513892,1.8194033917850894,2.3,9.100537019499999,-0.021615898499999453,0.002708283780860783,0.0006213229111159162
9.075461223987752,8.988507457519933,1.8250942232428042,1.97411041436092,2.3,9.031984340753842,-0.04347688323390919,0.001400857878241784,0.00032137883818519696
8.98183896616945,8.899131743000002,1.9860286495754111,2.1399666243647113,2.3,8.940485354584727,-0.04135361158472417,0.0018326198011780121,0.0004204318165929767
8.897073086,8.70905875,2.143946777538016,2.5414115538819386,2.3,8.803065918000001,-0.09400716800000009,0.0018483128256509245,0.0004132953121840185
8.707372938011565,7.044721999999999,2.545283151727459,18.420440010025057,2.3,7.876047469005782,-0.8313254690057827,0.003305827617107858,0.0007392055273749319
