log(t) (lower limit),log(t) (upper limit),M (lower limit),M (upper limit),Alpha,Mean log(t),Mean log(t) error,XI,XI error
10.436310912000001,10.29470096,0.7308832347455647,0.8078672449883932,2.3,10.365505936000002,-0.07080497600000069,0.006428772759117746,0.001474861620420074
10.289296,10.110932320000002,0.8109610578538409,0.9199834188705642,2.3,10.200114160000002,-0.08918183999999929,0.0033290725287286826,0.0007637416172866176
10.109310832,10.013643040000002,0.9210389573140431,0.985507650367427,2.3,10.061476936000002,-0.04783389599999932,0.004639141240765859,0.0010642919922794882
10.013643040000002,9.948783520000001,0.985507650367427,1.031763119725935,2.3,9.981213280000002,-0.03242976000000031,0.005669943534555048,0.0013007742569845933
9.948783520000001,9.898576,1.031763119725935,1.0690548792226577,2.3,9.92367976,-0.025103760000000364,0.0062596994146929775,0.0014360735350309156
9.897560128,9.85286176,1.069823171189093,1.104180313984054,2.3,9.875210943999999,-0.0223491840000003,0.006232085114957859,0.0014297383801918618
9.85286176,9.809490986744482,1.104180313984054,1.1385713779066053,2.3,9.83117637337224,-0.021685386627758874,0.005955194572251304,0.0013662153331350192
9.806639584000001,9.776163424,1.1408695791769217,1.165724703670524,2.3,9.791401504,-0.015238080000000487,0.007818339815444043,0.0017936501664095278
9.774639616000002,9.744671392,1.1669815771506973,1.1919773417606925,2.3,9.759655504000001,-0.014984112000000493,0.007430841803084277,0.001704752025530628
9.744671392,9.698687040969714,1.1919773417606925,1.2313767745168043,2.3,9.721679216484858,-0.02299217551514321,0.004450936277171328,0.0010211148124383666
9.69581468696888,9.622786332934144,1.2338805845448964,1.2992777049314532,2.3,9.659300509951512,-0.036514177017368254,0.0025499725987393005,0.0005850038350896002
9.61899804651994,9.535781963806015,1.3027631476872723,1.3817301359551437,2.3,9.577390005162977,-0.04160804135696239,0.0018939252701114068,0.0004344962557386104
9.53234112,9.483813696000002,1.3850963984093245,1.4334547893292366,2.3,9.508077408000002,-0.024263711999998883,0.0029791379395771186,0.0006834611167097181
9.479193414907911,9.406305594679273,1.438146091278086,1.5120657315950967,2.3,9.442749504793593,-0.036443910114319245,0.0019113512794078134,0.0004384940564497807
9.404346480000001,9.353683896,1.5148164058680331,1.5877129972659063,2.3,9.379015188,-0.025331292000000616,0.001924310281815267,0.00044146705549731705
9.35207556,9.295852139343326,1.5900837525917053,1.6752223789273704,2.3,9.323963849671664,-0.028111710328336592,0.0015821189709576762,0.00036296298479279336
9.294875388000001,9.233691606,1.6767410620849612,1.774667516282577,2.3,9.264283497000001,-0.03059189100000026,0.0014054215496070882,0.0003224258162006123
9.231219534000001,9.145064788133022,1.7787421645205088,1.9267475857338834,2.3,9.188142161066512,-0.04307737293348968,0.0009829737146075765,0.00022550963611216933
9.144299262512584,9.04644208,1.9281164257407124,2.1113488692859415,2.3,9.095370671256292,-0.04892859125629201,0.0009697233080850537,0.00021683672362441517
9.04644208,7.045259550000001,2.1113488692859415,12.792340184201738,2.3,8.045850815000001,-1.0005912649999997,0.000646403271021752,0.00014454016548828575
