Seq( ),RAJ2000(deg),DEJ2000(deg),M( ),Jmag(mag),e_Jmag(mag),o_Jmag( ),Hmag(mag),e_Hmag(mag),o_Hmag( ),Ksmag(mag),e_Ksmag(mag),o_Ksmag( ),J-H(mag),H-Ks(mag),J-Ks(mag),recno()
40159.0,296.20774,-14.85954, ,18.182,0.029,18.0,17.813,0.112,27.0,17.681,0.164,30.0,0.369,0.132,0.501,1395.0
13781.0,296.20777,-14.78904, ,18.718,0.061,13.0,17.989,0.079,15.0,17.715,0.126,13.0,0.729,0.274,1.003,1396.0
21661.0,296.20777,-14.72202, ,18.813,0.071,13.0,17.984,0.099,15.0,17.748,0.077,13.0,0.829,0.236,1.065,1397.0
40160.0,296.20782,-14.86063, ,18.305,0.077,21.0,17.688,0.041,22.0,17.558,0.042,18.0,0.617,0.13,0.747,1398.0
13306.0,296.20783,-14.8289, ,18.917,0.095,14.0,17.955,0.045,12.0,17.872,0.157,16.0,0.962,0.083,1.045,1399.0
30457.0,296.20785,-14.91774, ,17.618,0.025,12.0,17.081,0.062,14.0,16.992,0.063,12.0,0.537,0.089,0.626,1400.0
12023.0,296.20786,-14.81971, ,18.253,0.116,18.0,17.296,0.064,16.0,17.028,0.082,16.0,0.957,0.268,1.225,1401.0
30828.0,296.20788,-14.93603, ,18.533,0.068,11.0,17.789,0.055,12.0,17.589,0.142,13.0,0.744,0.2,0.944,1402.0
12792.0,296.20792,-14.75505, ,17.985,0.039,14.0,17.034,0.038,15.0,16.711,0.039,12.0,0.951,0.323,1.274,1403.0
31679.0,296.20794,-14.89329, ,18.79,0.118,12.0,17.968,0.091,13.0,17.658,0.242,14.0,0.822,0.31,1.132,1404.0
21611.0,296.20796,-14.7278, ,18.991,0.129,15.0,18.021,0.097,17.0,17.668,0.093,12.0,0.97,0.353,1.323,1405.0
40161.0,296.20797,-14.85086, ,17.216,0.026,27.0,16.714,0.033,31.0,16.583,0.057,27.0,0.502,0.131,0.633,1406.0
13730.0,296.20798,-14.79292, ,18.725,0.069,14.0,17.901,0.081,18.0,17.608,0.174,17.0,0.824,0.293,1.117,1407.0
31731.0,296.20798,-14.88433, ,18.686,0.067,11.0,17.915,0.035,9.0,17.769,0.13,12.0,0.771,0.146,0.917,1408.0
13667.0,296.20801,-14.79825, ,18.89,0.078,15.0,18.128,0.09,18.0,17.892,0.197,16.0,0.762,0.236,0.998,1409.0
13580.0,296.20801,-14.80486, ,18.621,0.098,17.0,17.743,0.046,14.0,17.601,0.231,18.0,0.878,0.142,1.02,1410.0
13697.0,296.20802,-14.79611, ,18.334,0.068,15.0,17.946,0.076,16.0,17.772,0.248,18.0,0.388,0.174,0.562,1411.0
20575.0,296.20803,-14.69628, ,17.499,0.022,13.0,16.892,0.034,15.0,16.693,0.046,14.0,0.607,0.199,0.806,1412.0
11329.0,296.20807,-14.77302, ,16.926,0.021,14.0,16.514,0.035,17.0,16.402,0.051,18.0,0.412,0.112,0.524,1413.0
30770.0,296.20814,-14.95993, ,18.163,0.05,12.0,17.215,0.049,13.0,16.972,0.092,14.0,0.948,0.243,1.191,1414.0
20022.0,296.20817,-14.72616,s,14.091,0.086,16.0,13.206,0.081,16.0,12.832,0.081,17.0,0.885,0.374,1.259,1415.0
21507.0,296.20818,-14.74061, ,18.5,0.071,14.0,17.906,0.065,16.0,17.576,0.142,15.0,0.594,0.33,0.924,1416.0
20585.0,296.20827,-14.69256, ,17.672,0.03,15.0,17.135,0.038,15.0,16.998,0.027,10.0,0.537,0.137,0.674,1417.0
21685.0,296.20828,-14.71769, ,18.598,0.022,11.0,17.795,0.054,14.0,17.642,0.082,14.0,0.803,0.153,0.956,1418.0
11102.0,296.20828,-14.79732, ,17.737,0.055,17.0,16.825,0.036,16.0,16.414,0.029,13.0,0.912,0.411,1.323,1419.0
12720.0,296.20828,-14.76236, ,18.446,0.068,15.0,17.56,0.082,16.0,17.019,0.185,17.0,0.886,0.541,1.427,1420.0
31455.0,296.20829,-14.94336, ,18.71,0.079,12.0,18.086,0.107,14.0,17.843,0.145,11.0,0.624,0.243,0.867,1421.0
12145.0,296.2083,-14.81068, ,18.665,0.07,13.0,17.686,0.052,16.0,17.427,0.127,16.0,0.979,0.259,1.238,1422.0
13298.0,296.20832,-14.83011, ,18.639,0.066,17.0,17.962,0.05,13.0,17.802,0.137,16.0,0.677,0.16,0.837,1423.0
40162.0,296.2084,-14.74137, ,17.783,0.032,31.0,17.749,0.076,28.0,17.695,0.081,23.0,0.034,0.054,0.088,1424.0
13232.0,296.20842,-14.83603, ,18.733,0.104,14.0,17.896,0.059,14.0,17.616,0.152,16.0,0.837,0.28,1.117,1425.0
21391.0,296.20846,-14.7528, ,18.92,0.103,9.0,17.975,0.075,12.0,17.772,0.258,14.0,0.945,0.203,1.148,1426.0
40163.0,296.20847,-14.7433, ,18.208,0.056,33.0,17.404,0.037,29.0,17.176,0.036,22.0,0.804,0.228,1.032,1427.0
40164.0,296.20849,-14.85154, ,17.996,0.032,26.0,17.484,0.07,33.0,17.369,0.06,25.0,0.512,0.115,0.627,1428.0
10267.0,296.20852,-14.84608, ,16.648,0.014,13.0,15.859,0.003,12.0,15.655,0.035,17.0,0.789,0.204,0.993,1429.0
40165.0,296.20852,-14.73634, ,18.723,0.153,27.0,17.754,0.09,24.0,17.508,0.102,26.0,0.969,0.246,1.215,1430.0
20667.0,296.20854,-14.64598, ,17.16,0.02,13.0,16.579,0.031,17.0,16.379,0.043,16.0,0.581,0.2,0.781,1431.0
31772.0,296.20863,-14.87935, ,18.787,0.062,10.0,17.956,0.059,14.0,17.674,0.132,12.0,0.831,0.282,1.113,1432.0
12793.0,296.20866,-14.75454, ,17.931,0.053,15.0,17.232,0.029,16.0,17.009,0.04,14.0,0.699,0.223,0.922,1433.0
31807.0,296.20868,-14.87457, ,18.413,0.185,10.0,18.008,0.24,13.0,18.14,0.38,14.0,0.405,-0.132,0.273,1434.0
30870.0,296.20869,-14.9237, ,18.113,0.083,14.0,17.284,0.091,12.0,17.136,0.083,12.0,0.829,0.148,0.977,1435.0
40166.0,296.20871,-14.73945, ,17.182,0.028,27.0,16.33,0.043,32.0,16.07,0.036,29.0,0.852,0.26,1.112,1436.0
40167.0,296.20872,-14.74442, ,17.42,0.052,29.0,16.339,0.062,33.0,15.74,0.057,33.0,1.081,0.599,1.68,1437.0
13065.0,296.20876,-14.85399, ,18.8,0.051,15.0,17.905,0.075,16.0,17.661,0.066,14.0,0.895,0.244,1.139,1438.0
40168.0,296.20878,-14.85444, ,17.339,0.036,32.0,16.438,0.023,31.0,16.122,0.046,30.0,0.901,0.316,1.217,1439.0
21784.0,296.20879,-14.69738, ,19.098,0.173,16.0,18.11,0.056,13.0,17.972,0.237,15.0,0.988,0.138,1.126,1440.0
13246.0,296.2088,-14.83499, ,18.826,0.046,13.0,17.995,0.089,14.0,17.805,0.226,16.0,0.831,0.19,1.021,1441.0
31126.0,296.20884,-14.8765, ,17.895,0.029,10.0,17.106,0.042,15.0,16.872,0.04,12.0,0.789,0.234,1.023,1442.0
10490.0,296.20887,-14.77738, ,16.875,0.029,17.0,16.097,0.017,15.0,15.894,0.029,17.0,0.778,0.203,0.981,1443.0
31704.0,296.20887,-14.88865, ,18.951,0.077,10.0,18.048,0.124,15.0,17.861,0.096,12.0,0.903,0.187,1.09,1444.0
31801.0,296.20887,-14.87547, ,18.823,0.093,13.0,18.011,0.078,14.0,17.65,0.121,12.0,0.812,0.361,1.173,1445.0
40169.0,296.20888,-14.74219, ,17.498,0.039,33.0,16.756,0.043,34.0,16.564,0.069,33.0,0.742,0.192,0.934,1446.0
40170.0,296.20892,-14.75041, ,17.447,0.016,23.0,16.823,0.032,30.0,16.618,0.079,32.0,0.624,0.205,0.829,1447.0
10459.0,296.20892,-14.78801, ,17.054,0.102,17.0,16.055,0.099,18.0,15.499,0.08,18.0,0.999,0.556,1.555,1448.0
20450.0,296.20893,-14.73169, ,17.411,0.028,14.0,16.783,0.045,16.0,16.571,0.043,13.0,0.628,0.212,0.84,1449.0
31461.0,296.20893,-14.94066, ,18.732,0.085,13.0,17.902,0.045,11.0,17.694,0.119,13.0,0.83,0.208,1.038,1450.0
21578.0,296.20897,-14.73212, ,18.879,0.091,15.0,18.116,0.073,14.0,17.95,0.133,15.0,0.763,0.166,0.929,1451.0
40171.0,296.20898,-14.84647, ,16.767,0.01,16.0,15.987,0.032,22.0,15.768,0.03,20.0,0.78,0.219,0.999,1452.0
10513.0,296.209,-14.77005, ,17.097,0.027,11.0,16.178,0.071,17.0,15.718,0.052,17.0,0.919,0.46,1.379,1453.0
11880.0,296.20901,-14.83429, ,18.746,0.083,13.0,17.816,0.092,18.0,17.644,0.147,18.0,0.93,0.172,1.102,1454.0
11096.0,296.20904,-14.79813, ,17.595,0.058,18.0,16.837,0.022,13.0,16.69,0.04,13.0,0.758,0.147,0.905,1455.0
40172.0,296.20906,-14.85223, ,18.478,0.059,25.0,17.787,0.068,30.0,17.555,0.082,24.0,0.691,0.232,0.923,1456.0
11306.0,296.2091,-14.77522, ,17.619,0.042,16.0,17.075,0.058,16.0,16.912,0.066,15.0,0.544,0.163,0.707,1457.0
13225.0,296.2091,-14.83677, ,19.023,0.193,17.0,18.0,0.035,13.0,17.824,0.176,16.0,1.023,0.176,1.199,1458.0
11774.0,296.20911,-14.84488, ,18.079,0.084,17.0,17.299,0.022,12.0,17.181,0.089,17.0,0.78,0.118,0.898,1459.0
31457.0,296.20914,-14.94251, ,18.291,0.031,10.0,17.858,0.075,15.0,17.767,0.122,12.0,0.433,0.091,0.524,1460.0
12245.0,296.20915,-14.80423, ,18.085,0.055,17.0,17.173,0.023,15.0,16.925,0.038,13.0,0.912,0.248,1.16,1461.0
21795.0,296.20916,-14.69463, ,18.973,0.058,13.0,18.073,0.036,12.0,17.823,0.229,17.0,0.9,0.25,1.15,1462.0
13266.0,296.20919,-14.83342, ,18.987,0.172,17.0,18.033,0.072,15.0,17.158,0.107,17.0,0.954,0.875,1.829,1463.0
20559.0,296.2092,-14.70187, ,17.514,0.042,13.0,16.561,0.047,17.0,16.189,0.044,14.0,0.953,0.372,1.325,1464.0
12268.0,296.2092,-14.80246, ,18.117,0.064,17.0,17.477,0.047,14.0,17.352,0.032,13.0,0.64,0.125,0.765,1465.0
20528.0,296.20921,-14.71505, ,16.465,0.021,14.0,16.338,0.02,13.0,16.275,0.074,15.0,0.127,0.063,0.19,1466.0
11936.0,296.20921,-14.82825, ,18.017,0.064,14.0,17.339,0.059,15.0,17.16,0.077,16.0,0.678,0.179,0.857,1467.0
40173.0,296.20925,-14.85758, ,18.872,0.067,25.0,18.034,0.072,23.0,17.835,0.149,28.0,0.838,0.199,1.037,1468.0
11424.0,296.20927,-14.7559, ,17.171,0.022,14.0,16.402,0.019,15.0,16.193,0.03,17.0,0.769,0.209,0.978,1469.0
12032.0,296.20927,-14.81913, ,18.701,0.142,17.0,17.687,0.061,15.0,17.479,0.062,12.0,1.014,0.208,1.222,1470.0
31682.0,296.20935,-14.89263, ,18.389,0.046,13.0,18.05,0.04,11.0,17.902,0.092,11.0,0.339,0.148,0.487,1471.0
30544.0,296.20935,-14.88924, ,17.346,0.112,13.0,16.163,0.097,15.0,15.423,0.061,12.0,1.183,0.74,1.923,1472.0
12198.0,296.20936,-14.80708, ,18.029,0.044,17.0,17.412,0.09,17.0,16.994,0.053,12.0,0.617,0.418,1.035,1473.0
12575.0,296.20937,-14.77877, ,18.692,0.093,15.0,17.74,0.071,17.0,17.494,0.196,16.0,0.952,0.246,1.198,1474.0
10025.0,296.20939,-14.82744, ,14.258,0.01,17.0,13.846,0.008,15.0,13.774,0.013,18.0,0.412,0.072,0.484,1475.0
21684.0,296.20939,-14.71784, ,18.881,0.089,15.0,18.019,0.074,15.0,17.781,0.126,14.0,0.862,0.238,1.1,1476.0
40174.0,296.2094,-14.74667, ,15.649,0.017,32.0,15.259,0.016,31.0,15.141,0.032,33.0,0.39,0.118,0.508,1477.0
13715.0,296.20941,-14.79421, ,18.906,0.059,13.0,17.957,0.077,15.0,17.767,0.103,13.0,0.949,0.19,1.139,1478.0
12014.0,296.20944,-14.82035, ,17.993,0.096,18.0,17.436,0.069,17.0,17.319,0.106,17.0,0.557,0.117,0.674,1479.0
31396.0,296.20945,-14.96025, ,18.686,0.062,13.0,18.141,0.064,13.0,17.904,0.125,12.0,0.545,0.237,0.782,1480.0
30253.0,296.20946,-14.89546, ,16.403,0.018,14.0,15.991,0.009,12.0,15.906,0.033,13.0,0.412,0.085,0.497,1481.0
11865.0,296.20946,-14.83567, ,18.666,0.115,14.0,17.734,0.037,13.0,17.549,0.052,12.0,0.932,0.185,1.117,1482.0
40175.0,296.20947,-14.74863, ,18.278,0.034,24.0,17.461,0.023,23.0,17.243,0.056,24.0,0.817,0.218,1.035,1483.0
40176.0,296.20951,-14.8548, ,16.465,0.005,17.0,16.047,0.029,30.0,15.935,0.03,31.0,0.418,0.112,0.53,1484.0
21854.0,296.20952,-14.67631, ,18.829,0.104,14.0,17.978,0.083,14.0,17.667,0.135,16.0,0.851,0.311,1.162,1485.0
21456.0,296.20953,-14.74558, ,18.991,0.067,13.0,18.16,0.053,12.0,17.973,0.223,15.0,0.831,0.187,1.018,1486.0
13000.0,296.20956,-14.866, ,18.738,0.147,9.0,17.709,0.061,12.0,17.541,0.152,12.0,1.029,0.168,1.197,1487.0
21337.0,296.20958,-14.6318, ,18.101,0.024,10.0,17.551,0.039,13.0,17.236,0.084,15.0,0.55,0.315,0.865,1488.0
20562.0,296.20965,-14.70087, ,17.432,0.029,14.0,16.701,0.017,13.0,16.497,0.067,16.0,0.731,0.204,0.935,1489.0
21052.0,296.20965,-14.71536, ,18.514,0.107,15.0,17.56,0.101,17.0,17.144,0.091,15.0,0.954,0.416,1.37,1490.0
12256.0,296.2097,-14.80335, ,18.519,0.108,18.0,17.722,0.083,18.0,17.545,0.062,16.0,0.797,0.177,0.974,1491.0
21613.0,296.20975,-14.72766, ,18.357,0.049,15.0,17.701,0.088,16.0,17.54,0.116,16.0,0.656,0.161,0.817,1492.0
11410.0,296.20977,-14.75885, ,17.47,0.011,12.0,16.611,0.03,18.0,16.309,0.009,11.0,0.859,0.302,1.161,1493.0
30801.0,296.20977,-14.9459, ,17.836,0.04,13.0,17.378,0.063,15.0,17.299,0.042,10.0,0.458,0.079,0.537,1494.0
11405.0,296.20977,-14.76016, ,17.907,0.1,17.0,16.86,0.083,17.0,16.179,0.082,17.0,1.047,0.681,1.728,1495.0
13732.0,296.20982,-14.79282, ,18.884,0.05,11.0,17.917,0.128,14.0,17.745,0.157,15.0,0.967,0.172,1.139,1496.0
30203.0,296.20982,-14.93006, ,17.248,0.097,14.0,16.103,0.058,14.0,15.427,0.048,14.0,1.145,0.676,1.821,1497.0
31564.0,296.20986,-14.91797, ,18.649,0.076,13.0,17.758,0.071,15.0,17.542,0.019,8.0,0.891,0.216,1.107,1498.0
20312.0,296.20991,-14.66283, ,16.088,0.017,16.0,15.661,0.017,14.0,15.513,0.032,15.0,0.427,0.148,0.575,1499.0
21543.0,296.20991,-14.73568, ,18.942,0.064,13.0,18.171,0.21,16.0,17.908,0.192,15.0,0.771,0.263,1.034,1500.0
10932.0,296.20993,-14.81665, ,17.166,0.03,15.0,16.696,0.025,15.0,16.636,0.066,15.0,0.47,0.06,0.53,1501.0
12344.0,296.20993,-14.79795, ,17.816,0.056,18.0,17.17,0.04,17.0,17.046,0.11,16.0,0.646,0.124,0.77,1502.0
13377.0,296.20993,-14.82231, ,18.804,0.066,13.0,17.922,0.097,17.0,17.636,0.117,16.0,0.882,0.286,1.168,1503.0
12435.0,296.20993,-14.79177, ,18.679,0.082,16.0,17.854,0.088,16.0,17.627,0.147,18.0,0.825,0.227,1.052,1504.0
31040.0,296.20994,-14.89002, ,18.087,0.058,12.0,17.471,0.051,12.0,17.15,0.065,12.0,0.616,0.321,0.937,1505.0
30755.0,296.20995,-14.96607, ,18.55,0.102,14.0,17.692,0.069,14.0,17.485,0.085,13.0,0.858,0.207,1.065,1506.0
13879.0,296.20996,-14.7817, ,19.097,0.14,15.0,18.219,0.127,15.0,17.933,0.188,16.0,0.878,0.286,1.164,1507.0
10735.0,296.20997,-14.84084, ,17.698,0.066,18.0,16.816,0.03,15.0,16.619,0.043,14.0,0.882,0.197,1.079,1508.0
11120.0,296.21006,-14.79534, ,17.856,0.099,17.0,16.815,0.033,15.0,16.508,0.046,13.0,1.041,0.307,1.348,1509.0
13228.0,296.21007,-14.8365, ,18.81,0.156,16.0,17.968,0.084,15.0,17.911,0.03,10.0,0.842,0.057,0.899,1510.0
10946.0,296.21009,-14.81528, ,17.274,0.028,17.0,16.417,0.023,16.0,16.197,0.037,14.0,0.857,0.22,1.077,1511.0
40177.0,296.21019,-14.73628, ,15.14,0.011,22.0,14.332,0.026,24.0,14.058,0.024,22.0,0.808,0.274,1.082,1512.0
20303.0,296.21019,-14.67253, ,16.977,0.014,14.0,16.275,0.01,13.0,16.07,0.02,12.0,0.702,0.205,0.907,1513.0
31656.0,296.21019,-14.89755, ,18.816,0.07,13.0,17.941,0.05,12.0,17.798,0.057,11.0,0.875,0.143,1.018,1514.0
31406.0,296.2102,-14.95767, ,18.623,0.113,13.0,17.939,0.05,14.0,17.734,0.191,12.0,0.684,0.205,0.889,1515.0
21893.0,296.21021,-14.6622, ,18.786,0.093,14.0,17.984,0.057,14.0,17.767,0.155,15.0,0.802,0.217,1.019,1516.0
31606.0,296.21025,-14.90833, ,18.675,0.054,12.0,17.921,0.049,13.0,17.824,0.241,14.0,0.754,0.097,0.851,1517.0
20572.0,296.21026,-14.69657, ,17.068,0.005,10.0,16.373,0.017,13.0,15.902,0.037,16.0,0.695,0.471,1.166,1518.0
12671.0,296.21028,-14.76834, ,18.219,0.064,15.0,17.337,0.029,15.0,17.074,0.081,16.0,0.882,0.263,1.145,1519.0
11141.0,296.21029,-14.7933, ,17.436,0.011,12.0,16.719,0.017,12.0,16.453,0.073,16.0,0.717,0.266,0.983,1520.0
11245.0,296.21029,-14.78257, ,17.108,0.009,11.0,16.712,0.021,14.0,16.627,0.081,16.0,0.396,0.085,0.481,1521.0
40178.0,296.21029,-14.85061, ,18.447,0.051,27.0,17.747,0.049,21.0,17.495,0.119,28.0,0.7,0.252,0.952,1522.0
31057.0,296.21029,-14.88696, ,18.373,0.037,11.0,17.425,0.034,13.0,17.154,0.109,13.0,0.948,0.271,1.219,1523.0
20627.0,296.21032,-14.67357, ,16.912,0.026,16.0,16.458,0.025,15.0,16.305,0.055,15.0,0.454,0.153,0.607,1524.0
12011.0,296.21032,-14.82052, ,18.548,0.06,15.0,17.626,0.06,14.0,17.444,0.08,14.0,0.922,0.182,1.104,1525.0
13242.0,296.21034,-14.83529, ,19.109,0.111,13.0,18.256,0.089,16.0,17.993,0.092,13.0,0.853,0.263,1.116,1526.0
31821.0,296.21035,-14.8723, ,18.663,0.104,13.0,17.812,0.067,12.0,17.612,0.059,10.0,0.851,0.2,1.051,1527.0
40179.0,296.21036,-14.74724, ,17.601,0.04,30.0,16.665,0.021,24.0,16.318,0.057,33.0,0.936,0.347,1.283,1528.0
21942.0,296.21036,-14.64247, ,18.95,0.082,13.0,18.181,0.053,13.0,17.895,0.219,14.0,0.769,0.286,1.055,1529.0
12589.0,296.21037,-14.77692, ,18.022,0.036,15.0,17.306,0.08,18.0,17.02,0.097,16.0,0.716,0.286,1.002,1530.0
10266.0,296.21039,-14.8462, ,16.837,0.035,17.0,15.84,0.028,16.0,15.248,0.026,16.0,0.997,0.592,1.589,1531.0
12144.0,296.21041,-14.81061, ,18.056,0.065,15.0,17.09,0.026,13.0,16.805,0.064,14.0,0.966,0.285,1.251,1532.0
12120.0,296.21043,-14.81227, ,18.326,0.072,14.0,17.576,0.068,15.0,17.496,0.134,16.0,0.75,0.08,0.83,1533.0
10962.0,296.21043,-14.81328, ,17.662,0.162,17.0,16.535,0.119,17.0,15.936,0.058,14.0,1.127,0.599,1.726,1534.0
30567.0,296.21044,-14.8827, ,16.88,0.019,14.0,16.236,0.004,9.0,15.972,0.028,11.0,0.644,0.264,0.908,1535.0
13387.0,296.21044,-14.82105, ,19.001,0.079,16.0,18.161,0.085,17.0,18.112,0.203,17.0,0.84,0.049,0.889,1536.0
30570.0,296.21046,-14.88223, ,17.19,0.031,13.0,16.354,0.03,15.0,16.144,0.044,13.0,0.836,0.21,1.046,1537.0
10137.0,296.21048,-14.82972, ,15.989,0.037,18.0,15.124,0.021,18.0,14.739,0.013,16.0,0.865,0.385,1.25,1538.0
13627.0,296.21048,-14.80162, ,19.01,0.125,17.0,18.084,0.112,18.0,18.002,0.222,16.0,0.926,0.082,1.008,1539.0
21714.0,296.21048,-14.7124, ,19.054,0.124,14.0,18.129,0.08,16.0,17.903,0.171,16.0,0.925,0.226,1.151,1540.0
13931.0,296.21054,-14.77626, ,18.719,0.092,11.0,17.876,0.061,14.0,17.672,0.079,13.0,0.843,0.204,1.047,1541.0
10164.0,296.21062,-14.80062, ,15.772,0.012,15.0,14.942,0.013,16.0,14.716,0.016,15.0,0.83,0.226,1.056,1542.0
31762.0,296.21062,-14.88049, ,18.831,0.066,9.0,17.92,0.025,9.0,17.724,0.099,14.0,0.911,0.196,1.107,1543.0
30930.0,296.21063,-14.90907, ,17.931,0.057,10.0,17.478,0.062,8.0,17.424,0.049,10.0,0.453,0.054,0.507,1544.0
31451.0,296.21064,-14.94606, ,18.891,0.092,13.0,17.97,0.061,12.0,17.721,0.202,14.0,0.921,0.249,1.17,1545.0
11091.0,296.21066,-14.79852, ,17.8,0.056,16.0,16.83,0.068,18.0,16.319,0.054,16.0,0.97,0.511,1.481,1546.0
40180.0,296.21069,-14.84761, ,18.287,0.081,27.0,17.281,0.055,23.0,16.967,0.074,26.0,1.006,0.314,1.32,1547.0
12434.0,296.21072,-14.79172, ,17.981,0.05,16.0,17.03,0.026,16.0,16.749,0.046,13.0,0.951,0.281,1.232,1548.0
40181.0,296.2108,-14.85772, ,17.679,0.096,31.0,16.728,0.08,30.0,16.239,0.062,29.0,0.951,0.489,1.44,1549.0
30807.0,296.2108,-14.94428, ,18.757,0.072,12.0,17.946,0.11,15.0,17.743,0.142,13.0,0.811,0.203,1.014,1550.0
20546.0,296.21081,-14.70888, ,16.87,0.019,14.0,16.387,0.027,17.0,16.268,0.033,15.0,0.483,0.119,0.602,1551.0
10357.0,296.21087,-14.81546, ,17.42,0.058,14.0,16.248,0.096,18.0,15.605,0.074,18.0,1.172,0.643,1.815,1552.0
13842.0,296.21088,-14.7843, ,18.35,0.158,10.0,17.733,0.111,10.0,17.423,0.123,16.0,0.617,0.31,0.927,1553.0
10777.0,296.21089,-14.83563, ,17.096,0.03,17.0,16.42,0.016,14.0,16.276,0.027,16.0,0.676,0.144,0.82,1554.0
31587.0,296.21089,-14.91342, ,18.702,0.073,13.0,17.805,0.024,9.0,17.605,0.103,12.0,0.897,0.2,1.097,1555.0
21179.0,296.21093,-14.68754, ,18.447,0.071,14.0,17.585,0.075,16.0,17.367,0.108,16.0,0.862,0.218,1.08,1556.0
40182.0,296.21094,-14.74001, ,16.516,0.02,30.0,15.944,0.024,32.0,15.759,0.037,32.0,0.572,0.185,0.757,1557.0
10192.0,296.21096,-14.77079, ,15.816,0.012,14.0,15.008,0.017,18.0,14.75,0.016,15.0,0.808,0.258,1.066,1558.0
11143.0,296.21098,-14.79303, ,17.958,0.131,18.0,16.889,0.11,18.0,16.33,0.075,17.0,1.069,0.559,1.628,1559.0
10461.0,296.21102,-14.78755, ,17.067,0.04,18.0,16.076,0.024,17.0,15.781,0.027,14.0,0.991,0.295,1.286,1560.0
31885.0,296.21109,-14.863, ,18.683,0.081,13.0,18.039,0.114,13.0,17.823,0.067,11.0,0.644,0.216,0.86,1561.0
13151.0,296.21109,-14.84469, ,18.877,0.096,17.0,17.969,0.086,16.0,17.778,0.12,17.0,0.908,0.191,1.099,1562.0
21782.0,296.2111,-14.69758, ,18.636,0.076,14.0,17.769,0.065,16.0,17.604,0.112,17.0,0.867,0.165,1.032,1563.0
40183.0,296.2111,-14.75011, ,18.708,0.116,32.0,17.824,0.066,30.0,17.027,0.046,26.0,0.884,0.797,1.681,1564.0
30924.0,296.21111,-14.91074,L,19.463,0.359,13.0,17.551,0.2,14.0,16.249,0.125,12.0,1.912,1.302,3.214,1565.0
40184.0,296.21114,-14.85186, ,18.375,0.039,21.0,17.515,0.06,28.0,17.282,0.108,29.0,0.86,0.233,1.093,1566.0
40185.0,296.21115,-14.86084, ,18.654,0.068,23.0,17.82,0.039,24.0,17.564,0.106,29.0,0.834,0.256,1.09,1567.0
21764.0,296.21118,-14.70178, ,18.653,0.049,13.0,18.029,0.085,16.0,17.749,0.203,17.0,0.624,0.28,0.904,1568.0
21823.0,296.21124,-14.68669, ,18.489,0.074,13.0,17.767,0.059,14.0,17.668,0.102,15.0,0.722,0.099,0.821,1569.0
11799.0,296.21124,-14.84159, ,18.809,0.089,16.0,17.833,0.043,15.0,17.58,0.133,16.0,0.976,0.253,1.229,1570.0
40186.0,296.21128,-14.85968, ,17.344,0.02,24.0,16.831,0.037,29.0,16.681,0.054,29.0,0.513,0.15,0.663,1571.0
30404.0,296.21128,-14.93489, ,17.129,0.016,11.0,16.404,0.033,15.0,16.237,0.051,14.0,0.725,0.167,0.892,1572.0
13089.0,296.21128,-14.85111, ,18.811,0.072,15.0,18.124,0.089,15.0,18.025,0.187,15.0,0.687,0.099,0.786,1573.0
12068.0,296.21129,-14.81618, ,18.432,0.032,13.0,17.605,0.063,18.0,17.45,0.116,15.0,0.827,0.155,0.982,1574.0
10773.0,296.21132,-14.83608, ,17.761,0.058,16.0,16.812,0.05,17.0,16.546,0.029,14.0,0.949,0.266,1.215,1575.0
40187.0,296.21133,-14.86613, ,18.217,0.06,22.0,17.314,0.034,19.0,17.076,0.11,26.0,0.903,0.238,1.141,1576.0
10373.0,296.21136,-14.81147, ,17.182,0.07,16.0,16.063,0.044,15.0,15.473,0.036,15.0,1.119,0.59,1.709,1577.0
30446.0,296.21151,-14.92086, ,17.417,0.056,12.0,16.352,0.059,13.0,15.782,0.057,14.0,1.065,0.57,1.635,1578.0
20030.0,296.21152,-14.69481, ,14.564,0.011,15.0,14.035,0.009,14.0,13.865,0.026,17.0,0.529,0.17,0.699,1579.0
31705.0,296.21153,-14.88836, ,18.49,0.082,13.0,17.756,0.012,8.0,17.652,0.219,14.0,0.734,0.104,0.838,1580.0
11789.0,296.21155,-14.84294, ,18.037,0.069,16.0,17.407,0.056,17.0,17.296,0.105,17.0,0.63,0.111,0.741,1581.0
40188.0,296.21161,-14.85605, ,18.82,0.043,20.0,17.945,0.053,24.0,17.828,0.157,28.0,0.875,0.117,0.992,1582.0
13822.0,296.21161,-14.78571, ,18.862,0.119,15.0,18.006,0.075,14.0,17.729,0.088,14.0,0.856,0.277,1.133,1583.0
12452.0,296.21162,-14.79011, ,18.267,0.061,15.0,17.495,0.073,17.0,17.26,0.075,16.0,0.772,0.235,1.007,1584.0
12485.0,296.21164,-14.78645, ,18.049,0.112,18.0,17.22,0.053,15.0,16.947,0.099,16.0,0.829,0.273,1.102,1585.0
40189.0,296.21166,-14.85717, ,17.37,0.018,26.0,16.662,0.031,31.0,16.418,0.036,29.0,0.708,0.244,0.952,1586.0
21522.0,296.21169,-14.73817, ,19.023,0.079,13.0,18.091,0.118,14.0,17.882,0.11,15.0,0.932,0.209,1.141,1587.0
10857.0,296.2117,-14.82513, ,17.962,0.049,15.0,17.011,0.032,16.0,16.738,0.075,17.0,0.951,0.273,1.224,1588.0
12387.0,296.2117,-14.79466, ,18.081,0.057,16.0,17.101,0.022,15.0,16.852,0.078,16.0,0.98,0.249,1.229,1589.0
