Seq( ),RAJ2000(deg),DEJ2000(deg),M( ),Jmag(mag),e_Jmag(mag),o_Jmag( ),Hmag(mag),e_Hmag(mag),o_Hmag( ),Ksmag(mag),e_Ksmag(mag),o_Ksmag( ),J-H(mag),H-Ks(mag),J-Ks(mag),recno()
20654.0,296.17313,-14.65479, ,17.182,0.034,15.0,16.74,0.028,14.0,16.574,0.065,13.0,0.442,0.166,0.608,44.0
20671.0,296.17319,-14.64453, ,17.358,0.034,15.0,16.698,0.031,15.0,16.431,0.063,14.0,0.66,0.267,0.927,45.0
13621.0,296.17325,-14.80195, ,18.652,0.092,12.0,17.717,0.06,13.0,17.566,0.143,17.0,0.935,0.151,1.086,46.0
13782.0,296.17326,-14.78881, ,18.54,0.037,13.0,17.624,0.088,16.0,17.459,0.089,15.0,0.916,0.165,1.081,47.0
31716.0,296.17328,-14.8869, ,18.769,0.095,14.0,17.896,0.056,13.0,17.576,0.133,13.0,0.873,0.32,1.193,48.0
21772.0,296.1733,-14.69941, ,18.17,0.053,13.0,17.731,0.08,16.0,17.641,0.178,16.0,0.439,0.09,0.529,49.0
30080.0,296.17335,-14.97122, ,15.745,0.017,14.0,15.295,0.016,15.0,15.231,0.05,14.0,0.45,0.064,0.514,50.0
10302.0,296.17352,-14.83327, ,15.948,0.02,15.0,15.484,0.009,13.0,15.42,0.044,18.0,0.464,0.064,0.528,51.0
20648.0,296.17357,-14.65852, ,17.071,0.026,16.0,16.621,0.016,12.0,16.465,0.058,16.0,0.45,0.156,0.606,52.0
40003.0,296.17358,-14.74656, ,17.53,0.053,27.0,16.998,0.029,26.0,16.87,0.068,30.0,0.532,0.128,0.66,53.0
40004.0,296.1736,-14.74049, ,18.477,0.108,17.0,17.583,0.064,30.0,17.309,0.108,30.0,0.894,0.274,1.168,54.0
31540.0,296.17362,-14.92274, ,18.281,0.028,10.0,17.787,0.075,14.0,17.771,0.227,14.0,0.494,0.016,0.51,55.0
21173.0,296.17367,-14.68845, ,17.97,0.018,11.0,17.331,0.05,17.0,16.967,0.055,12.0,0.639,0.364,1.003,56.0
11142.0,296.17367,-14.7929, ,17.616,0.187,18.0,16.46,0.131,18.0,15.796,0.075,17.0,1.156,0.664,1.82,57.0
10751.0,296.17372,-14.83843, ,16.898,0.027,16.0,16.337,0.023,16.0,16.26,0.065,18.0,0.561,0.077,0.638,58.0
21235.0,296.17374,-14.67281, ,18.03,0.028,14.0,17.464,0.072,16.0,17.285,0.116,15.0,0.566,0.179,0.745,59.0
10527.0,296.17378,-14.75731, ,16.445,0.019,16.0,15.884,0.014,12.0,15.712,0.025,14.0,0.561,0.172,0.733,60.0
21535.0,296.17383,-14.73607, ,19.049,0.133,15.0,18.13,0.121,17.0,18.022,0.241,17.0,0.919,0.108,1.027,61.0
20658.0,296.17384,-14.65139, ,17.208,0.016,13.0,16.471,0.021,13.0,16.207,0.067,16.0,0.737,0.264,1.001,62.0
11877.0,296.17388,-14.83439, ,18.15,0.053,14.0,17.175,0.044,16.0,16.933,0.073,17.0,0.975,0.242,1.217,63.0
31410.0,296.17388,-14.95633, ,18.287,0.06,13.0,17.515,0.052,13.0,17.381,0.172,13.0,0.772,0.134,0.906,64.0
30420.0,296.17389,-14.92973, ,17.625,0.086,14.0,16.651,0.031,14.0,16.363,0.032,12.0,0.974,0.288,1.262,65.0
20445.0,296.17391,-14.73188, ,17.547,0.018,10.0,16.602,0.067,16.0,16.292,0.054,16.0,0.945,0.31,1.255,66.0
40005.0,296.17393,-14.85569, ,18.051,0.051,18.0,17.141,0.042,25.0,16.735,0.027,21.0,0.91,0.406,1.316,67.0
11863.0,296.17397,-14.83559, ,18.678,0.074,14.0,17.758,0.084,17.0,17.486,0.134,16.0,0.92,0.272,1.192,68.0
30603.0,296.17399,-14.87044, ,17.354,0.142,12.0,16.194,0.105,13.0,15.422,0.037,11.0,1.16,0.772,1.932,69.0
20318.0,296.17405,-14.65393, ,16.735,0.024,16.0,16.246,0.026,16.0,16.051,0.057,17.0,0.489,0.195,0.684,70.0
11935.0,296.17407,-14.82831, ,18.146,0.081,15.0,17.312,0.088,18.0,17.081,0.05,13.0,0.834,0.231,1.065,71.0
13431.0,296.17408,-14.81778, ,18.715,0.1,14.0,17.907,0.052,12.0,17.731,0.102,15.0,0.808,0.176,0.984,72.0
13911.0,296.17409,-14.77777, ,18.607,0.09,15.0,17.827,0.067,13.0,17.617,0.093,16.0,0.78,0.21,0.99,73.0
20317.0,296.17413,-14.65642, ,16.675,0.012,13.0,16.245,0.021,16.0,16.077,0.059,16.0,0.43,0.168,0.598,74.0
20123.0,296.17424,-14.70027, ,15.538,0.016,13.0,14.953,0.018,16.0,14.821,0.04,15.0,0.585,0.132,0.717,75.0
31440.0,296.17434,-14.94895, ,18.617,0.072,13.0,17.806,0.054,14.0,17.638,0.055,14.0,0.811,0.168,0.979,76.0
10343.0,296.1744,-14.8187,s,17.355,0.11,15.0,16.117,0.13,18.0,15.437,0.108,18.0,1.238,0.68,1.918,77.0
31586.0,296.17448,-14.91351, ,18.56,0.099,13.0,17.755,0.077,14.0,17.596,0.099,13.0,0.805,0.159,0.964,78.0
20690.0,296.17449,-14.63451, ,16.897,0.051,10.0,16.454,0.017,14.0,16.31,0.069,17.0,0.443,0.144,0.587,79.0
12419.0,296.1745,-14.79264, ,18.235,0.065,16.0,17.497,0.042,14.0,17.342,0.129,18.0,0.738,0.155,0.893,80.0
31812.0,296.17455,-14.87337, ,18.691,0.1,13.0,17.827,0.099,15.0,17.613,0.15,14.0,0.864,0.214,1.078,81.0
40006.0,296.1746,-14.74008, ,17.686,0.023,14.0,17.236,0.065,30.0,17.177,0.107,31.0,0.45,0.059,0.509,82.0
13612.0,296.17464,-14.80236, ,18.968,0.161,16.0,18.072,0.145,18.0,17.802,0.131,14.0,0.896,0.27,1.166,83.0
20944.0,296.17469,-14.73043, ,18.701,0.111,16.0,17.755,0.057,15.0,17.532,0.11,14.0,0.946,0.223,1.169,84.0
31608.0,296.17469,-14.90761, ,18.665,0.115,13.0,17.814,0.029,12.0,17.635,0.09,12.0,0.851,0.179,1.03,85.0
10275.0,296.17478,-14.84124, ,16.334,0.023,18.0,15.555,0.016,15.0,15.389,0.036,16.0,0.779,0.166,0.945,86.0
20153.0,296.1748,-14.65747, ,15.686,0.013,14.0,15.366,0.021,16.0,15.238,0.061,17.0,0.32,0.128,0.448,87.0
21924.0,296.17483,-14.65087, ,18.597,0.088,15.0,17.959,0.069,16.0,17.594,0.094,14.0,0.638,0.365,1.003,88.0
21031.0,296.17486,-14.71812, ,18.45,0.064,15.0,17.625,0.052,14.0,17.384,0.096,15.0,0.825,0.241,1.066,89.0
30833.0,296.17493,-14.93444, ,18.118,0.067,12.0,17.515,0.013,8.0,17.411,0.118,13.0,0.603,0.104,0.707,90.0
31511.0,296.17494,-14.93143, ,18.413,0.086,13.0,17.63,0.078,15.0,17.465,0.041,10.0,0.783,0.165,0.948,91.0
20143.0,296.17495,-14.66875, ,15.932,0.044,16.0,14.956,0.046,17.0,14.602,0.062,16.0,0.976,0.354,1.33,92.0
20661.0,296.17497,-14.64837, ,17.455,0.013,11.0,16.932,0.02,11.0,16.67,0.039,13.0,0.523,0.262,0.785,93.0
20761.0,296.17498,-14.74889, ,18.655,0.042,11.0,17.777,0.074,14.0,17.462,0.134,15.0,0.878,0.315,1.193,94.0
40007.0,296.17506,-14.85986,s,17.966,0.109,24.0,16.698,0.117,30.0,15.746,0.041,22.0,1.268,0.952,2.22,95.0
10440.0,296.1751,-14.79345, ,15.877,0.014,15.0,15.468,0.017,15.0,15.385,0.043,17.0,0.409,0.083,0.492,96.0
30477.0,296.1751,-14.90873, ,17.218,0.03,13.0,16.617,0.016,11.0,16.486,0.035,12.0,0.601,0.131,0.732,97.0
21821.0,296.17515,-14.6868, ,19.09,0.097,12.0,18.123,0.075,14.0,17.927,0.27,16.0,0.967,0.196,1.163,98.0
11064.0,296.17522,-14.80086, ,17.345,0.03,16.0,16.653,0.027,15.0,16.373,0.049,18.0,0.692,0.28,0.972,99.0
13362.0,296.17523,-14.82278, ,18.802,0.204,16.0,17.749,0.047,17.0,17.481,0.208,17.0,1.053,0.268,1.321,100.0
12707.0,296.17524,-14.76437, ,18.115,0.048,16.0,17.201,0.045,15.0,16.893,0.099,15.0,0.914,0.308,1.222,101.0
31447.0,296.17524,-14.94708, ,18.217,0.044,12.0,17.666,0.04,11.0,17.536,0.053,12.0,0.551,0.13,0.681,102.0
30753.0,296.1753,-14.96707, ,18.086,0.014,9.0,17.455,0.035,13.0,17.415,0.067,10.0,0.631,0.04,0.671,103.0
21007.0,296.17533,-14.72177, ,17.982,0.062,14.0,17.067,0.064,17.0,16.711,0.085,15.0,0.915,0.356,1.271,104.0
20495.0,296.17537,-14.72347, ,17.596,0.05,15.0,16.623,0.044,17.0,16.34,0.045,14.0,0.973,0.283,1.256,105.0
21166.0,296.17539,-14.68994, ,18.757,0.072,15.0,17.824,0.071,14.0,17.629,0.104,16.0,0.933,0.195,1.128,106.0
40008.0,296.17548,-14.85707, ,17.668,0.037,21.0,16.761,0.024,25.0,16.438,0.055,31.0,0.907,0.323,1.23,107.0
21750.0,296.17549,-14.70458, ,18.565,0.081,14.0,17.711,0.03,13.0,17.37,0.076,14.0,0.854,0.341,1.195,108.0
40009.0,296.1755,-14.85126, ,17.641,0.137,20.0,16.708,0.101,34.0,16.256,0.109,31.0,0.933,0.452,1.385,109.0
12776.0,296.17558,-14.75633, ,17.924,0.048,16.0,17.055,0.086,18.0,16.695,0.083,18.0,0.869,0.36,1.229,110.0
12456.0,296.1756,-14.78957, ,17.791,0.038,13.0,17.281,0.023,15.0,17.2,0.083,16.0,0.51,0.081,0.591,111.0
13669.0,296.1756,-14.79794, ,18.799,0.093,16.0,17.904,0.078,16.0,17.623,0.228,18.0,0.895,0.281,1.176,112.0
12047.0,296.17564,-14.81759, ,17.527,0.047,16.0,17.037,0.026,15.0,16.889,0.044,15.0,0.49,0.148,0.638,113.0
