RA (deg),DE (deg),RUWE,JmagUKIRT,e_JmagUKIRT,HmagUKIRT,e_HmagUKIRT,KmagUKIRT,e_KmagUKIRT,JmagVHS,e_JmagVHS,KsmagVHS,e_KsmagVHS,IRAC1,e_IRAC1,dIRAC1,IRAC2,e_IRAC2,dIRAC2,l_IRAC3,IRAC3,e_IRAC3,dIRAC3,l_IRAC4,IRAC4,e_IRAC4,dIRAC4,l_MIPS24,MIPS24,e_MIPS24,JU,KU,J-K
296.232,-14.866,0.975,13.256,0.003,12.583,0.002,12.356,0.002,13.336,0.002,12.281,0.002,12.25,0.04,0,12.13,0.04,-0.05, ,12.01,0.03,-0.02, ,12.11,0.06,0.19, ,10.42,0.06,13.056,12.286,0.77
296.232,-14.758,0.895,14.633,0.005,13.862,0.003,13.611,0.004,14.797,0.004,13.578,0.006,13.48,0.04,0.03,13.46,0.05,-0.01, ,13.27,0.04,0.06, ,13.3,0.03,0.3,>,12.3,0,14.433,13.541,0.892
296.233,-14.853,1.003,16.007,0.012,15.308,0.009,15.147,0.01,16.125,0.012,15.167,0.021,15.01,0.06,-0.05,15.13,0.08,-0.05, ,14.97,0.05,-0.06, ,15.43,0.1,0.51,>,12.38,0,15.807,15.077,0.73
296.233,-14.688,1.107,15.686,0.009,14.952,0.006,14.824,0.007,15.769,0.009,14.825,0.016,14.71,0.06,-0.05,14.81,0.06,-0.1, ,14.73,0.06,-0.07, ,14.72,0.05,-0.32,>,12.94,0,15.486,14.754,0.732
296.234,-14.722,0.987,15.231,0.007,14.485,0.004,14.294,0.005,15.33,0.006,14.289,0.01,14.14,0.06,-0.06,14.24,0.06,-0.09, ,14.16,0.04,-0.06, ,14.3,0.04,-0.17,>,11.67,0,15.031,14.224,0.807
296.234,-14.913,1.087,16.985,0.024,16.309,0.019,16.214,0.022,17.133,0.03,16.315,0.059,16.17,0.06,0.75,16.31,0.05,0.88, ,16.51,0.12,0.85, ,15.33,0.09,0.28,>,12.15,0,16.785,16.144,0.641
296.235,-14.729,0.893,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,15.08,0.06,0.16,15.52,0.05,0.55, ,15,0.05,-0.07, ,15.22,0.1,0, ,11.18,0.15,,,
296.235,-14.858,1.077,16.412,0.016,15.785,0.012,15.603,0.014,16.513,0.017,15.547,0.029,15.39,0.04,0.68,15.45,0.03,0.61, ,15.2,0.04,0.68, ,14.63,0.05,0.56, ,11.35,0.11,16.212,15.533,0.679
296.236,-14.801,1.128,16.594,0.018,15.935,0.014,15.767,0.016,16.744,0.021,15.779,0.037,15.57,0.03,0.04,15.56,0.05,0.04, ,15.82,0.22,0.3, ,14.72,0.08,-0.21,>,11.79,0,16.394,15.697,0.697
296.236,-14.878,1.153,16.524,0.017,15.825,0.013,15.657,0.014,16.633,0.019,15.704,0.034,15.44,0.06,-0.05,15.55,0.04,-0.06, ,15.67,0.07,-0.3, ,15.32,0.11,-0.87,>,12.83,0,16.324,15.587,0.737
296.236,-14.74,0.998,14.667,0.005,13.933,0.004,13.751,0.004,14.835,0.004,13.711,0.006,13.64,0.06,0.02,13.62,0.05,-0.08, ,13.59,0.05,-0.05, ,13.63,0.1,0.06, ,11.15,0.16,14.467,13.681,0.786
296.237,-14.816,0.974,15.639,0.009,14.94,0.007,14.781,0.008,15.754,0.009,14.786,0.015,14.63,0.05,-0.09,14.72,0.05,-0.09, ,14.66,0.04,-0.09, ,14.64,0.04,-0.05, ,11.56,0.15,15.439,14.711,0.728
296.237,-14.876,0.877,15.881,0.011,15.223,0.008,15.109,0.01,16.015,0.011,15.105,0.02,14.83,0.04,0.02,15,0.04,0.05, ,14.89,0.04,0.06, ,14.98,0.08,0.12,>,12.12,0,15.681,15.039,0.642
296.239,-14.822,1.111,13.352,0.003,12.652,0.002,12.453,0.002,13.496,0.002,12.489,0.002,12.28,0.04,-0.01,12.4,0.04,-0.06, ,12.13,0.04,-0.05, ,12.06,0.05,0.06, ,10.37,0.06,13.152,12.383,0.769
296.239,-14.902,1,14.826,0.006,14.096,0.004,13.939,0.005,14.978,0.005,13.974,0.008,13.83,0.08,0.01,13.83,0.05,-0.04, ,13.78,0.05,-0.08, ,13.68,0.05,-0.08, ,11.84,0.25,14.626,13.869,0.757
296.24,-14.822,1.137,15.175,0.007,14.462,0.005,14.288,0.006,15.33,0.006,14.293,0.01,14.11,0.05,0.19,14.22,0.03,0.19, ,14.06,0.05,0.11, ,14.12,0.04,0.29,>,12.17,0,14.975,14.218,0.757
296.241,-14.825,1.072,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,15.59,0.06,-0.03,15.64,0.04,0, ,15.6,0.06,-0.21, ,15.42,0.12,0.39,>,12.77,0,,,
296.242,-14.727,1.084,17.158,0.027,16.507,0.022,16.423,0.026,17.358,0.037,16.299,0.061,16.25,0.06,0.06,16.27,0.04,-0.07, ,16.19,0.06,0.26, ,15.66,0.08,-0.14,>,12.56,0,16.958,16.353,0.605
296.242,-14.749,1.073,14.502,0.005,13.79,0.003,13.595,0.004,14.669,0.004,13.588,0.006,13.37,0.05,-0.02,13.41,0.05,-0.05, ,13.28,0.03,0.02, ,13.1,0.04,0.01, ,10.83,0.1,14.302,13.525,0.777
296.242,-14.758,1.136,14.824,0.006,14.191,0.004,14.052,0.005,15.015,0.005,14.05,0.008,13.85,0.04,0,13.96,0.03,0.03, ,13.88,0.03,0.01, ,13.95,0.06,0.1, ,11.7,0.1,14.624,13.982,0.642
296.243,-14.764,1.114,14.113,0.004,13.397,0.003,13.186,0.003,14.358,0.003,13.185,0.004,12.91,0.03,-0.04,13.05,0.05,-0.04, ,12.78,0.03,0, ,12.73,0.04,0.03,>,12.51,0,13.913,13.116,0.797
296.243,-14.746,0.949,14.023,0.004,13.332,0.003,13.123,0.003,14.1,0.003,13.011,0.004,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,13.823,13.053,0.77
296.244,-14.916,0.979,16.622,0.018,16.108,0.016,15.972,0.018,16.793,0.022,16.016,0.046,15.89,0.06,-0.01,15.92,0.05,-0.03, ,15.83,0.08,0.04, ,15.38,0.06,-0.62,>,12.36,0,16.422,15.902,0.52
296.244,-14.796,0.94,16.887,0.022,16.241,0.018,16.152,0.021,17.065,0.028,16.191,0.054,15.95,0.05,-0.22,16.12,0.04,-0.22, ,15.81,0.09,0.13, ,15.18,0.05,0.66, ,11.22,0.08,16.687,16.082,0.605
296.244,-14.85,1.144,15.867,0.011,15.128,0.008,14.979,0.009,15.96,0.011,14.966,0.018,14.76,0.05,-0.1,14.88,0.05,-0.11, ,14.84,0.04,-0.04, ,14.56,0.04,-0.17,>,12.3,0,15.667,14.909,0.758
296.244,-14.826,1.036,17.165,0.027,16.652,0.025,16.487,0.027,17.325,0.035,16.54,0.074,16.16,0.05,-0.16,16.25,0.04,-0.2, ,16.39,0.09,0, ,15.13,0.11,0.2, ,10.21,0.07,16.965,16.417,0.548
296.244,-14.844,1.006,16.101,0.013,15.418,0.009,15.281,0.011,16.272,0.014,15.322,0.024,15.08,0.03,-0.05,15.17,0.06,-0.04, ,15.12,0.05,-0.15, ,15.05,0.06,0.07, ,12.33,0.29,15.901,15.211,0.69
296.244,-15.022,1.002,15.841,0.011,15.104,0.007,14.91,0.009,16.007,0.011,14.936,0.018,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.641,14.84,0.801
296.246,-14.841,0.95,16.063,0.012,15.528,0.01,15.371,0.012,16.209,0.013,15.398,0.026,15.17,0.05,-0.04,15.36,0.05,0.05, ,15.21,0.07,0.06, ,15.21,0.07,0.19,>,13.54,0,15.863,15.301,0.562
296.246,-14.79,0.919,15.414,0.008,14.626,0.005,14.427,0.006,15.471,0.007,14.483,0.012,14.18,0.04,-0.03,14.16,0.03,-0.07, ,13.97,0.04,-0.09, ,13.93,0.04,0.26,>,11.82,0,15.214,14.357,0.857
296.247,-14.901,1.026,16.447,0.016,15.752,0.012,15.621,0.014,16.578,0.018,15.644,0.033,15.5,0.04,-0.03,15.5,0.03,-0.08, ,15.48,0.05,-0.01, ,15.26,0.1,-0.05,>,12.54,0,16.247,15.551,0.696
296.247,-14.832,0.977,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,15.62,0.04,-0.03,15.71,0.05,0.04, ,15.49,0.05,-0.09, ,15.84,0.11,-0.65,>,12.25,0,,,
296.248,-14.705,1.024,15.095,0.006,14.327,0.004,14.147,0.005,15.194,0.006,14.177,0.009,13.99,0.06,-0.09,14.19,0.05,-0.03, ,13.96,0.04,-0.16, ,14.03,0.04,-0.03, ,11.47,0.2,14.895,14.077,0.818
296.248,-14.852,1.077,16.654,0.019,15.963,0.014,15.88,0.017,      ,      ,      ,      ,15.68,0.03,0,15.72,0.06,-0.02, ,15.53,0.08,-0.24, ,15.57,0.15,-0.66,>,12.44,0,16.454,15.81,0.644
296.248,-14.838,1.061,16.229,0.014,15.624,0.011,15.474,0.012,16.365,0.015,15.509,0.029,15.3,0.03,-0.14,15.45,0.05,-0.17, ,15.52,0.05,0, ,15.68,0.09,0.1, ,12.03,0.12,16.029,15.404,0.625
296.248,-14.769,1.143,17.192,0.028,16.55,0.023,16.479,0.027,17.299,0.035,16.411,0.067,16.24,0.04,-0.15,16.23,0.04,-0.3, ,16.17,0.11,-0.43, ,16.46,0.19,0, ,11.69,0.22,16.992,16.409,0.583
296.248,-14.917,0.99,16.724,0.02,15.994,0.014,15.856,0.017,16.843,0.023,15.88,0.04,15.74,0.06,0,16.06,0.07,-0.14, ,16.28,0.14,0.78, ,15.64,0.14,0.62,>,12.02,0,16.524,15.786,0.738
296.249,-14.777,1.042,16.016,0.012,15.292,0.009,15.153,0.01,16.182,0.013,15.157,0.022,14.99,0.03,-0.06,15.1,0.06,-0.08, ,14.91,0.05,-0.26, ,14.93,0.06,-0.32,>,12.46,0,15.816,15.083,0.733
296.249,-14.883,1.029,16.214,0.014,15.585,0.011,15.454,0.012,16.347,0.015,15.466,0.028,15.38,0.03,0.12,15.42,0.05,0.07, ,15.17,0.05,-0.11, ,15.23,0.06,-0.53,>,12.89,0,16.014,15.384,0.63
296.249,-14.754,1.061,13.41,0.003,12.834,0.002,12.673,0.002,13.615,0.002,12.75,0.003,12.58,0.05,-0.02,12.54,0.03,-0.05, ,12.5,0.05,0.02, ,12.52,0.05,0.1, ,11.44,0.22,13.21,12.603,0.607
296.249,-14.821,1,      ,      ,      ,      ,      ,      ,15.757,0.009,14.711,0.014,14.53,0.04,0.12,14.68,0.05,0.15, ,14.48,0.03,0.1, ,14.31,0.03,0.15, ,10.99,0.15,,,
296.25,-14.804,1.079,15.376,0.008,14.744,0.006,14.521,0.006,15.57,0.008,14.535,0.013,14.26,0.04,-0.02,14.39,0.04,0, ,14.21,0.08,0, ,13.98,0.06,0.01,>,11.97,0,15.176,14.451,0.725
296.25,-14.817,1.023,16.589,0.018,15.945,0.014,15.779,0.016,16.72,0.02,15.823,0.039,15.54,0.04,-0.16,15.52,0.03,-0.2, ,15.4,0.05,-0.33, ,15.6,0.07,0, ,11.47,0.12,16.389,15.709,0.68
296.251,-14.794,1.044,16.614,0.018,15.876,0.013,15.745,0.015,      ,      ,      ,      ,15.37,0.05,0.03,15.71,0.04,0.2, ,15.27,0.04,0.32, ,14.66,0.09,0.47,>,11.13,0,16.414,15.675,0.739
296.251,-14.8,1.004,15.43,0.008,14.69,0.006,14.501,0.006,15.642,0.008,14.614,0.013,14.29,0.04,-0.04,14.38,0.04,-0.06, ,14.18,0.04,-0.25, ,13.79,0.07,-0.45,>,10.97,0,15.23,14.431,0.799
296.251,-14.685,1.003,14.758,0.005,13.994,0.003,13.795,0.004,14.83,0.004,13.771,0.007,13.76,0.05,0.03,13.78,0.08,-0.06, ,13.65,0.03,-0.09, ,13.57,0.03,-0.05,>,11.85,0,14.558,13.725,0.833
296.252,-14.893,1.072,16.348,0.015,15.687,0.011,15.524,0.013,16.478,0.016,15.519,0.029,15.36,0.04,-0.11,15.39,0.05,-0.14, ,15.18,0.05,-0.43, ,15.27,0.11,-0.58,>,13.13,0,16.148,15.454,0.694
296.252,-14.703,0.949,17.218,0.027,16.411,0.016,16.292,0.021,17.278,0.035,16.291,0.061,16.17,0.07,-0.05,16.2,0.07,-0.13, ,16.77,0.2,0.19, ,16.04,0.19,0.29,>,12.35,0,17.018,16.222,0.796
296.252,-14.807,1.012,14.533,0.005,13.754,0.003,13.539,0.004,14.65,0.004,13.542,0.005,13.27,0.04,-0.04,13.33,0.04,-0.04, ,13.17,0.04,-0.04, ,12.98,0.03,0.03, ,11.36,0.25,14.333,13.469,0.864
296.254,-14.874,1.05,16.528,0.017,15.837,0.013,15.676,0.014,16.631,0.019,15.692,0.035,15.52,0.05,-0.07,15.56,0.07,-0.09, ,15.75,0.06,-0.09, ,15.59,0.13,0,>,12.27,0,16.328,15.606,0.722
296.254,-14.876,1.066,16.139,0.013,15.453,0.01,15.284,0.011,16.288,0.014,15.354,0.026,15.14,0.05,-0.07,15.25,0.07,-0.04, ,15.53,0.08,0.2, ,14.91,0.05,-0.45,>,11.96,0,15.939,15.214,0.725
296.254,-14.886,0.992,16.602,0.018,15.98,0.014,15.854,0.017,16.733,0.02,15.785,0.038,15.67,0.04,-0.08,15.77,0.05,-0.07, ,15.68,0.04,-0.09, ,15.88,0.11,0.04,>,12.53,0,16.402,15.784,0.618
296.255,-14.914,1.052,16.88,0.022,16.17,0.017,16.066,0.019,16.976,0.025,16.106,0.051,15.94,0.06,-0.04,16.03,0.05,-0.03, ,15.45,0.04,-0.3,>,16.12,0,0,>,12.86,0,16.68,15.996,0.684
296.255,-14.911,0.953,15.676,0.01,14.998,0.007,14.88,0.008,15.829,0.009,14.924,0.018,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,15.476,14.81,0.666
296.256,-14.908,0.959,16.713,0.019,16.052,0.015,15.883,0.017,16.871,0.023,16.014,0.047,15.76,0.05,0.02,15.91,0.03,0.07, ,15.73,0.11,0.04, ,15.74,0.18,0,>,12.27,0,16.513,15.813,0.7
296.257,-14.921,1.166,16.171,0.013,15.408,0.009,15.281,0.011,16.299,0.014,15.304,0.025,15.11,0.05,-0.05,15.31,0.06,0.03, ,15.13,0.05,0.02, ,15.01,0.06,-0.33,>,12.34,0,15.971,15.211,0.76
296.259,-14.887,1.122,17.175,0.027,16.642,0.025,16.447,0.026,17.286,0.033,16.413,0.067,16.12,0.04,0.92,16.22,0.05,1.26, ,15.87,0.07,1.68, ,13.04,0.02,0, ,9.85,0.03,16.975,16.377,0.598
296.259,-14.875,0.986,17.151,0.027,16.474,0.021,16.424,0.026,17.27,0.033,16.384,0.066,16.08,0.03,-0.05,16.21,0.04,0.1, ,15.72,0.07,-0.18, ,16.06,0.14,0.61,>,12.45,0,16.951,16.354,0.597
296.26,-14.889,1.056,16.265,0.014,15.548,0.01,15.399,0.012,16.399,0.015,15.45,0.028,15.23,0.06,0.05,15.28,0.05,0.04, ,15.31,0.06,0.03, ,14.73,0.05,-0.28,>,12.5,0,16.065,15.329,0.736
296.265,-14.727,1.034,15.716,0.01,14.993,0.007,14.871,0.009,15.917,0.011,14.853,0.017,14.68,0.03,-0.09,14.78,0.07,-0.13, ,14.56,0.04,0.04, ,14.42,0.06,0.61, ,9.69,0.05,15.516,14.801,0.715
296.266,-14.935,1.113,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,,,
296.266,-14.92,0.999,16.589,0.018,15.875,0.013,15.746,0.015,16.739,0.02,15.81,0.039,15.54,0.04,-0.01,15.66,0.08,0.02, ,15.38,0.05,-0.28, ,15.1,0.1,-0.56,>,12.33,0,16.389,15.676,0.713
296.267,-14.917,0.967,15.383,0.008,14.673,0.006,14.537,0.007,15.514,0.007,14.542,0.013,14.38,0.04,-0.02,14.55,0.09,0, ,14.41,0.06,-0.09, ,14.36,0.07,-0.09, ,11.97,0.2,15.183,14.467,0.716
296.268,-14.926,1.121,15.887,0.011,15.229,0.008,15.083,0.009,16.025,0.011,15.084,0.02,14.88,0.04,0.15,15.08,0.05,0.3, ,14.8,0.04,0.19, ,14.67,0.08,0.34,>,12.53,0,15.687,15.013,0.674
296.268,-14.902,1.005,15.869,0.011,15.128,0.008,14.981,0.009,15.972,0.011,15.006,0.019,14.86,0.03,-0.05,14.85,0.03,-0.09, ,14.66,0.05,-0.18, ,15.14,0.21,0.15,>,12.5,0,15.669,14.911,0.758
296.27,-14.906,1.074,16.696,0.019,15.973,0.014,15.827,0.016,16.786,0.021,15.879,0.042,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.496,15.757,0.739
296.27,-14.729,0.962,17.664,0.04,17.134,0.038,17.079,0.05,17.737,0.052,16.987,0.119,16.74,0.03,0.01,16.74,0.06,-0.22, ,16.44,0.08,0, ,16.69,0.26,0, ,10.43,0.03,17.464,17.009,0.455
296.272,-14.927,0.967,15.993,0.012,15.303,0.009,15.193,0.01,16.166,0.012,15.159,0.022,14.95,0.05,-0.03,15.26,0.07,0.14, ,15.25,0.08,0.01, ,15.26,0.14,0.15, ,12.31,0.25,15.793,15.123,0.67
296.274,-14.898,0.959,16.42,0.016,15.689,0.011,15.554,0.013,16.564,0.018,15.556,0.031,15.44,0.06,-0.03,15.44,0.05,-0.04, ,15.56,0.04,-0.15, ,15.04,0.06,-0.13,>,12.75,0,16.22,15.484,0.736
296.274,-14.93,0.948,15.437,0.008,14.744,0.006,14.594,0.007,15.573,0.008,14.606,0.013,14.52,0.05,0.03,14.48,0.07,-0.09, ,14.44,0.04,-0.02, ,14.5,0.06,-0.23,>,12.93,0,15.237,14.524,0.713
296.274,-14.916,1.021,14.925,0.006,14.192,0.004,14.03,0.005,15.112,0.005,14.081,0.009,13.9,0.05,0,13.92,0.06,-0.03, ,13.83,0.05,-0.02, ,13.72,0.05,0.02,>,12.39,0,14.725,13.96,0.765
296.274,-14.922,1.029,15.673,0.01,14.987,0.007,14.869,0.008,15.831,0.009,14.89,0.017,14.69,0.06,-0.01,14.87,0.07,0.1, ,14.81,0.04,0.18, ,15,0.06,-0.02,>,12.53,0,15.473,14.799,0.674
296.276,-14.876,1.03,15.732,0.01,15.044,0.007,14.902,0.008,15.88,0.01,14.918,0.018,14.73,0.03,-0.05,14.83,0.06,-0.03, ,14.62,0.06,-0.14, ,14.77,0.08,0.21, ,11.53,0.05,15.532,14.832,0.7
296.276,-14.927,0.985,15.881,0.011,15.111,0.007,14.979,0.009,16.034,0.011,14.993,0.019,14.83,0.04,-0.09,15.01,0.05,0.01, ,14.8,0.06,-0.36, ,14.78,0.07,0.14,>,12.26,0,15.681,14.909,0.772
296.276,-14.86,1.056,15.39,0.008,14.606,0.005,14.436,0.006,15.499,0.007,14.433,0.012,14.39,0.04,-0.04,14.41,0.04,-0.06, ,14.3,0.05,-0.04, ,14.29,0.06,0.01,>,12.2,0,15.19,14.366,0.824
296.276,-14.82,1.112,17.365,0.032,16.797,0.028,16.666,0.032,17.517,0.041,16.759,0.092,16.38,0.03,0.06,16.44,0.05,0.03, ,16.35,0.11,-0.53, ,15.64,0.13,0,>,12.13,0,17.165,16.596,0.569
296.279,-14.842,1.038,15.589,0.009,14.841,0.006,14.717,0.007,15.712,0.008,14.682,0.014,14.51,0.05,-0.07,14.6,0.04,-0.08, ,14.43,0.05,-0.18, ,14.47,0.07,-0.18,>,12.07,0,15.389,14.647,0.742
296.281,-14.852,0.953,16.326,0.015,15.589,0.011,15.426,0.012,16.409,0.015,15.518,0.03,15.25,0.07,-0.08,15.46,0.05,-0.03, ,15.21,0.07,-0.19, ,15.03,0.07,-0.28,>,12.5,0,16.126,15.356,0.77
296.283,-14.91,0.916,16.639,0.018,15.905,0.014,15.813,0.016,16.769,0.021,15.819,0.039,15.65,0.07,0.07,15.83,0.04,0.05, ,15.48,0.04,0.06, ,15.7,0.11,0.28,>,11.81,0,16.439,15.743,0.696
296.284,-14.921,0.979,14.302,0.004,13.549,0.003,13.352,0.003,14.514,0.003,13.367,0.005,13.16,0.05,-0.05,13.26,0.06,-0.06, ,13.14,0.03,-0.03, ,13.11,0.05,-0.04, ,11.94,0.14,14.102,13.282,0.82
296.285,-14.894,1.039,17.623,0.039,16.977,0.032,16.901,0.038,17.728,0.049,16.921,0.107,16.54,0.05,0.02,16.53,0.04,-0.03, ,16.46,0.08,-0.01, ,16,0.2,0, ,11.38,0.18,17.423,16.831,0.592
296.285,-14.923,0.973,16.122,0.013,15.436,0.009,15.273,0.011,16.253,0.013,15.28,0.024,15.11,0.03,0.04,15.36,0.06,0.08, ,15.1,0.07,-0.08, ,15.02,0.07,-0.01,>,12.94,0,15.922,15.203,0.719
296.286,-14.9,1.075,17.225,0.028,16.555,0.023,16.483,0.027,17.294,0.033,16.536,0.075,16.27,0.08,0.03,16.24,0.04,-0.01, ,16.24,0.1,-0.12, ,15.36,0.16,0, ,12.19,0.21,17.025,16.413,0.612
296.29,-14.896,1.068,15.591,0.009,14.903,0.006,14.768,0.008,15.73,0.009,14.794,0.016,14.61,0.04,-0.02,14.73,0.05,-0.04, ,14.53,0.05,-0.06, ,14.69,0.07,-0.17,>,12.9,0,15.391,14.698,0.693
296.291,-14.695,1.05,16.998,0.022,16.284,0.014,16.172,0.019,17.012,0.027,16.1,0.052,15.98,0.07,-0.03,16.06,0.04,-0.06, ,15.97,0.08,0.03, ,15.72,0.14,-0.12,>,12.55,0,16.798,16.102,0.696
296.293,-14.855,0.997,15.869,0.011,15.205,0.008,15.1,0.009,15.982,0.011,15.065,0.02,14.91,0.05,-0.02,14.94,0.05,-0.05, ,14.92,0.04,-0.03, ,14.87,0.06,0.06,>,12.6,0,15.669,15.03,0.639
296.294,-14.907,0.949,16.146,0.013,15.467,0.01,15.324,0.011,16.297,0.014,15.347,0.026,15.23,0.04,0,15.24,0.04,-0.03, ,15.01,0.06,0, ,15.02,0.08,0.7, ,9.39,0.12,15.946,15.254,0.692
296.295,-14.834,1.013,16.794,0.02,16.13,0.016,16.054,0.019,16.821,0.022,15.992,0.046,15.79,0.04,-0.05,15.82,0.06,-0.01, ,15.81,0.09,0.08, ,15.61,0.1,0.52, ,12.36,0.22,16.594,15.984,0.61
296.295,-14.901,1.098,16.82,0.021,16.113,0.016,16.002,0.018,16.925,0.024,16.115,0.051,15.86,0.05,-0.08,16.01,0.06,-0.04, ,15.83,0.09,-0.21, ,15.57,0.23,-0.13,>,12.37,0,16.62,15.932,0.688
296.296,-14.898,1.057,16.022,0.012,15.313,0.009,15.192,0.01,16.146,0.012,15.183,0.022,15.05,0.05,-0.02,15.16,0.04,-0.05, ,15.04,0.04,-0.21, ,14.77,0.06,0.18,>,12.09,0,15.822,15.122,0.7
296.299,-14.875,1.199,16.381,0.015,15.665,0.011,15.488,0.012,16.516,0.017,15.503,0.029,15.31,0.03,-0.03,15.42,0.09,-0.02, ,15.11,0.06,-0.46, ,14.98,0.06,-0.21, ,11.97,0.23,16.181,15.418,0.763
296.3,-14.937,0.946,      ,      ,      ,      ,      ,      ,17.582,0.043,16.588,0.079,16.44,0.06,-0.08,16.61,0.06,-0.08, ,16.49,0.12,0, ,15.81,0.12,0, ,12.49,0.16,,,
296.3,-14.888,1.021,16.026,0.012,15.397,0.009,15.275,0.011,16.168,0.012,15.24,0.023,15.05,0.04,-0.11,15.24,0.05,-0.13, ,15.17,0.03,-0.21, ,15.03,0.07,-0.49,>,12.64,0,15.826,15.205,0.621
296.301,-14.932,1.054,16.237,0.014,15.54,0.01,15.435,0.012,16.392,0.015,15.448,0.028,15.3,0.04,-0.08,15.47,0.09,-0.04, ,15.45,0.06,0.15, ,15.26,0.08,-0.1,>,12.17,0,16.037,15.365,0.672
296.302,-14.794,1.037,17.054,0.025,16.349,0.02,16.328,0.027,17.168,0.03,16.228,0.057,16,0.05,-0.09,16.12,0.06,-0.21, ,15.7,0.06,-0.77, ,15.84,0.09,-0.35,>,12.58,0,16.854,16.258,0.596
296.305,-14.867,1.002,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,16.32,0.04,0.13,16.43,0.09,0.12, ,16.52,0.13,0.42, ,15.83,0.08,0.02, ,11.29,0.15,,,
296.305,-14.916,1,16.719,0.019,15.912,0.014,15.772,0.016,16.832,0.022,15.783,0.038,15.56,0.05,-0.07,15.6,0.05,-0.06, ,15.4,0.08,-0.09, ,15.97,0.24,0,>,12.81,0,16.519,15.702,0.817
296.305,-14.979,1.146,14.239,0.004,13.57,0.003,13.413,0.004,14.385,0.003,13.425,0.005,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,14.039,13.343,0.696
296.307,-14.974,0.905,16.402,0.016,15.794,0.012,15.648,0.018,16.522,0.018,15.675,0.037,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.202,15.578,0.624
296.307,-14.972,1.067,16.487,0.017,15.858,0.012,15.655,0.018,16.632,0.019,15.708,0.038,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.287,15.585,0.702
296.309,-14.902,1.032,17.215,0.028,16.632,0.024,16.49,0.027,17.297,0.034,16.537,0.076,16.27,0.03,-0.05,16.48,0.07,0.14, ,16.6,0.13,0.23, ,16.61,0.23,0,>,12.83,0,17.015,16.42,0.595
296.31,-14.857,1.116,16.943,0.023,16.302,0.019,16.188,0.022,17.054,0.027,16.2,0.056,16.05,0.1,0.08,15.96,0.05,-0.03, ,15.67,0.06,-0.12, ,16.15,0.13,0, ,12.41,0.21,16.743,16.118,0.625
296.313,-14.801,0.989,16.087,0.012,15.514,0.011,15.342,0.012,16.248,0.013,15.302,0.025,15.08,0.04,0,15.15,0.05,-0.08, ,15.11,0.04,-0.18, ,15.22,0.08,-0.28,>,12.54,0,15.887,15.272,0.615
296.318,-14.878,1.052,16.609,0.016,15.769,0.011,15.688,0.014,16.664,0.019,15.667,0.034,15.47,0.05,0,15.64,0.06,0.01, ,15.38,0.07,-0.25, ,15.63,0.09,0.01,>,12.08,0,16.409,15.618,0.791
296.319,-14.78,0.944,15.786,0.01,15.072,0.007,14.929,0.008,15.919,0.01,14.945,0.018,14.79,0.07,-0.04,14.86,0.05,-0.1, ,14.66,0.05,-0.17, ,15.03,0.07,0.35,>,12.46,0,15.586,14.859,0.727
296.323,-14.922,1.096,16.93,0.02,16.239,0.016,16.102,0.019,17.007,0.026,16.128,0.052,16.01,0.04,-0.08,16.1,0.04,0, ,15.89,0.06,0.01, ,16.18,0.29,0.38,>,12.73,0,16.73,16.032,0.698
296.323,-14.948,0.987,17.184,0.025,16.557,0.018,16.435,0.025,17.341,0.035,16.458,0.07,     ,     ,     ,     ,     ,     , ,     ,     ,     , ,     ,     ,     , ,     ,     ,16.984,16.365,0.619
296.326,-14.876,1.083,17.032,0.021,16.368,0.017,16.228,0.021,17.111,0.028,16.371,0.065,16.03,0.06,-0.02,16.21,0.05,0.07, ,16.06,0.13,0.04, ,16.08,0.09,-0.01, ,12.34,0.22,16.832,16.158,0.674
296.334,-14.763,1.007,16.262,0.013,15.454,0.008,15.28,0.01,16.421,0.016,15.313,0.025,15.19,0.03,-0.07,15.31,0.05,-0.08, ,15.23,0.07,-0.09, ,15.83,0.14,0.4,>,12.15,0,16.062,15.21,0.852
296.334,-14.92,1.075,15.784,0.01,15.046,0.007,14.902,0.008,15.888,0.01,14.912,0.017,14.74,0.07,-0.05,14.9,0.07,-0.05, ,14.77,0.06,-0.2, ,14.5,0.05,-0.07,>,12.34,0,15.584,14.832,0.752
