Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,Flux_imag,Flambda_imag,err_Flambda_imag,lambda_imag,err_lambda_imag,err_Flambda_prime_imag,Flux_J,Flambda_J,err_Flambda_J,lambda_J,err_lambda_J,err_Flambda_prime_J,Flux_H,Flambda_H,err_Flambda_H,lambda_H,err_lambda_H,err_Flambda_prime_H,Flux_Ks,Flambda_Ks,err_Flambda_Ks,lambda_Ks,err_lambda_Ks,err_Flambda_prime_Ks,Flux_IRAC1,Flambda_IRAC1,err_Flambda_IRAC1,lambda_IRAC1,err_lambda_IRAC1,err_Flambda_prime_IRAC1,Flux_IRAC2,Flambda_IRAC2,err_Flambda_IRAC2,lambda_IRAC2,err_lambda_IRAC2,err_Flambda_prime_IRAC2,Flux_IRAC3,Flambda_IRAC3,err_Flambda_IRAC3,lambda_IRAC3,err_lambda_IRAC3,err_Flambda_prime_IRAC3,Flux_IRAC4,Flambda_IRAC4,err_Flambda_IRAC4,lambda_IRAC4,err_lambda_IRAC4,err_Flambda_prime_IRAC4,Flux_WISE1,Flambda_WISE1,err_Flambda_WISE1,lambda_WISE1,err_lambda_WISE1,err_Flambda_prime_WISE1,Flux_WISE2,Flambda_WISE2,err_Flambda_WISE2,lambda_WISE2,err_lambda_WISE2,err_Flambda_prime_WISE2,Flux_WISE3,Flambda_WISE3,err_Flambda_WISE3,lambda_WISE3,err_lambda_WISE3,err_Flambda_prime_WISE3,Flux_WISE4,Flambda_WISE4,err_Flambda_WISE4,lambda_WISE4,err_lambda_WISE4,err_Flambda_prime_WISE4,f_scale_c,f_scale_o
-14.79057,LPV,C/O,0.017392588,,,20.26,,18.34,,16.43,,14.73,0.08,14,0.05,13.51,0.06,12.88,0.07,,,,,,,,,21.207,0.012,23.753,19.836,18.706,,,,0.75,0.12533,,1.50830203521707E-05,3.61992488452097E-17,,1.25,0.214914,,5.27594132051719E-05,9.53483371177806E-17,,1.66,0.260965,,0.000190515561526808,2.609802212696E-16,,2.19,0.278455,,0.000360206660668076,3.00172217223397E-16,7.15719795195179E-17,3.6,0.743171,0.0928737043703638,0.000451385991742272,3.00923994494848E-16,7.35379333586852E-17,4.5,1.009682,0.0949508508082495,0.00045362589738657,2.34634084855123E-16,6.19105900840252E-17,5.8,1.391189,0.101699028291126,0.000457345801759678,1.71504675659879E-16,6.54971425585654E-17,8,2.831177,0.140475713293021,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,5.1E-16,9.1E-16
-14.80142,LPV,C/O,0.017411795,20.781,0.077,18.38,,16.9,,15.79,,14.47,0.06,14.02,0.04,13.67,0.05,13.43,0.05,14.62,0.061,14.181,0.075,11.767,,8.548,,,,,,,1.85515678707338E-05,7.42062714829354E-17,1.46859158349495E-17,0.75,0.12533,0.0784229818841062,8.52095588878772E-05,2.04502941330905E-16,,1.25,0.214914,,0.000198746713865501,3.59180808190664E-16,,1.66,0.260965,,0.000343502937342658,4.70551968962545E-16,,2.19,0.278455,,0.000457669255568498,3.81391046307081E-16,8.78863754655589E-17,3.6,0.743171,0.0900591664592731,0.000443147268901011,2.95431512600674E-16,7.10139887584272E-17,4.5,1.009682,0.0935525764246972,0.000391469418156151,2.02484181804906E-16,5.26175743948886E-17,5.8,1.391189,0.100322346927969,0.000275578097001157,1.03341786375434E-16,3.86391968181389E-17,8,2.831177,0.137954214734091,0.000439255065263642,3.91260450056688E-16,8.34068070368736E-17,3.368,0.635793,0.0839233246407041,0.000365250059586203,2.37278081151713E-16,6.40136493948878E-17,4.618,1.107319,0.10372959030666,0.000622161183935986,1.5448465086972E-16,,12.082,6.275804,,0.0031853862186539,4.30573968458219E-16,,22.194,4.739734,,6.8E-16,9.3E-16
-14.78475,O,C/O,0.027984469,19.978,0.06,17.49,,16.54,,16.08,,15.36,0.03,15.38,0.05,15.11,0.06,14.53,0.08,14.856,0.076,14.923,0.088,11.039,0.136,8.118,,,,,,,3.88669641313696E-05,1.55467856525478E-16,2.97109438343957E-17,0.75,0.12533,0.0759506554126048,0.000193414182764118,4.64194038633882E-16,,1.25,0.214914,,0.000276885336484746,5.00395186418216E-16,,1.66,0.260965,,0.000262984683293589,3.60252990813135E-16,,2.19,0.278455,,0.000201628416418125,1.68023680348438E-16,3.67024859831337E-17,3.6,0.743171,0.0858028608283608,0.000126633344493396,8.44222296622642E-17,2.06305791909907E-17,4.5,1.009682,0.0949508508082477,0.000103919689478065,5.3751563523137E-17,1.41828968187259E-17,5.8,1.391189,0.101699028291126,0.000100056359396427,3.752113477366E-17,1.44792980358929E-17,8,2.831177,0.141730993837832,0.000353440878712757,3.14822635432978E-16,6.90011389514379E-17,3.368,0.635793,0.0860659216683342,0.000184412474537174,1.19800221656891E-16,3.29430530437446E-17,4.618,1.107319,0.105504475717785,0.00121647422772994,3.0205451772801E-16,1.73329212426837E-16,12.082,6.275804,0.196958978355966,0.00473327891674767,6.39805206373029E-16,,22.194,4.739734,,6.8E-16,8.9E-16
-14.81619,LAV,C/O,0.023952722,17.931,0.007,17.49,0.09,16.92,0.21,15.98,0.27,14,0.04,13.3,0.05,12.79,0.05,12.38,0.04,14.69,0.072,13.939,0.062,12.241,,8.776,,17.938,0.003,18.002,17.833,17.761,0.000256082923724734,1.02433169489894E-15,1.74040783841295E-16,0.75,0.12533,0.0681512157901985,0.000193414182764118,4.64194038633882E-16,9.65204234859895E-17,1.25,0.214914,0.0820421989281108,0.000195119177519436,3.52625019613439E-16,8.50559162519994E-17,1.66,0.260965,0.0938445070753851,0.00028835697115104,3.95009549521973E-16,9.28858642762914E-17,2.19,0.278455,0.0917191407717031,0.000705588898611042,5.87990748842535E-16,1.30790538872607E-16,3.6,0.743171,0.0872262692898858,0.00086009827590378,5.7339885060252E-16,1.40123643295173E-16,4.5,1.009682,0.0949508508082495,0.000880436097947945,4.55397981697213E-16,1.18339798040731E-16,5.8,1.391189,0.100322346927969,0.000724844247809584,2.71816592928594E-16,1.00544176251582E-16,8,2.831177,0.136687954220367,0.000411828860540939,3.66830932785872E-16,7.98131095010288E-17,3.368,0.635793,0.0854955952301584,0.000456446935295287,2.96522478537432E-16,7.84548779552967E-17,4.618,1.107319,0.101947421473771,0.000402071150277382,9.98355777877955E-17,,12.082,6.275804,,0.00258203483273378,3.49017955222193E-16,,22.194,4.739734,,1.5E-15,3.1E-15
-14.793209,C,C,0.029100192,,,17.91,,17.14,,16.88,,16.46,0.05,16.51,0.06,16.42,0.13,15.69,0.08,,,,,,,,,,,,,,,,,0.75,0.12533,,0.000131367615533072,3.15282277279374E-16,,1.25,0.214914,,0.00015933088067636,2.87947374716313E-16,,1.66,0.260965,,0.00012587238324425,1.72427922252397E-16,,2.19,0.278455,,7.32068532194689E-05,6.10057110162241E-17,1.38139129041129E-17,3.6,0.743171,0.0886450277393358,4.47247660095345E-05,2.9816510673023E-17,7.40563939601015E-18,4.5,1.009682,0.0963446376879311,3.10955211872517E-05,1.60838902692681E-17,4.69424698707312E-18,5.8,1.391189,0.111215509297285,3.43751575085686E-05,1.28906840657132E-17,4.97447792024205E-18,8,2.831177,0.141730993837829,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,4.1E-16,
-14.807403,C,C,0.026874613,20.286,0.023,17.424,,16.327,,15.554,,14.97,0.04,15.02,0.03,14.72,0.07,13.48,0.08,,,,,,,,,,,,,,2.9267162543462E-05,1.17068650173848E-16,2.06399834833172E-17,0.75,0.12533,0.0705205583718556,0.000205536197221604,4.93286873331849E-16,,1.25,0.214914,,0.000336899182105299,6.08853943563793E-16,,1.66,0.260965,,0.000426904227123447,5.8480031112801E-16,,2.19,0.278455,,0.000288769778143726,2.40641481786438E-16,5.35274222254467E-17,3.6,0.743171,0.087226269289884,0.000176420105360691,1.17613403573794E-16,2.78007245200401E-17,4.5,1.009682,0.0921497855475444,0.000148832521766748,7.69823388448699E-17,2.06205025558039E-17,5.8,1.391189,0.103071359462412,0.000263175039506001,9.86906398147503E-17,3.80844341689227E-17,8,2.831177,0.141730993837829,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,8.1E-16,
-14.783867,C,C,0.024086614,20.232,0.023,17.89,,17.08,,16.72,,16.26,0.04,16.31,0.04,16.36,0.08,15.61,0.06,,,,,,,,,,,,,,3.07595954655693E-05,1.23038381862277E-16,2.16924869781985E-17,0.75,0.12533,0.0705205583718556,0.000133809921851192,3.2114381244286E-16,,1.25,0.214914,,0.000168383664457209,3.04307827332306E-16,,1.66,0.260965,,0.000145858067468717,1.99805571874955E-16,,2.19,0.278455,,8.80139959960247E-05,7.33449966633539E-17,1.63145962008641E-17,3.6,0.743171,0.0872262692898822,5.37709955198493E-05,3.58473303465662E-17,8.61675821865209E-18,4.5,1.009682,0.0935525764246989,3.28622912488119E-05,1.69977368528337E-17,4.62100767145567E-18,5.8,1.391189,0.104439367847696,3.70036612710205E-05,1.38763729766327E-17,5.24384145329719E-18,8,2.831177,0.139216793977532,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,3.7E-16,
-14.7733,LAV,C/O,0.028734135,20.482,0.066,18,0.37,16.56,0.32,15.48,0.27,14.13,0.04,13.91,0.06,13.65,0.03,13.32,0.02,14.768,0.06,14.781,0.105,12.563,,8.845,,,,,,,2.44332151669987E-05,9.77328606679947E-17,1.89119600916614E-17,0.75,0.12533,0.0768248492233443,0.000120917265459652,2.90201437103164E-16,9.28444940141399E-17,1.25,0.214914,0.120551294661109,0.000271831609546296,4.91261944963186E-16,1.401117539356E-16,1.66,0.260965,0.108973363231021,0.00045701500057599,6.26047945994507E-16,1.47214173967361E-16,2.19,0.278455,0.0917191407717048,0.000625967433430028,5.21639527858357E-16,1.16031612878518E-16,3.6,0.743171,0.087226269289884,0.000490397307570605,3.26931538380403E-16,8.12012212622413E-17,4.5,1.009682,0.0963446376879311,0.000398747378020411,2.06248643803661E-16,5.19458189885011E-17,5.8,1.391189,0.0975558226919659,0.000304961276484785,1.14360478681794E-16,4.13867284485651E-17,8,2.831177,0.134144303074397,0.000383280547531046,3.41401912883949E-16,7.26416703742458E-17,3.368,0.635793,0.0837801082962937,0.000210179471400678,1.36539284149422E-16,3.847448180631E-17,4.618,1.107319,0.107814588482805,0.00029888416901045,7.42139138413633E-17,,12.082,6.275804,,0.00242304844239461,3.27527499647826E-16,,22.194,4.739734,,8.7E-16,1.8E-15
-14.82114,LAV,C/O,0.023115633,,,19.99,0.74,18.4,0.44,16.77,0.21,14.64,0.06,14,0.06,13.51,0.03,13.23,0.04,,,,,,,,,,,,,,,,,0.75,0.12533,,1.93414182764118E-05,4.64194038633882E-17,2.17210873530799E-17,1.25,0.214914,0.166705701247253,4.99229173865868E-05,9.02221398552774E-17,3.0062723558705E-17,1.66,0.260965,0.12489785606213,0.000139293373044039,1.90812839786355E-16,4.02898261688617E-17,2.19,0.278455,0.0831973604392164,0.000391337745947336,3.26114788289446E-16,7.51487141766846E-17,3.6,0.743171,0.0900591664592731,0.000451385991742272,3.00923994494848E-16,7.47416293366646E-17,4.5,1.009682,0.0963446376879311,0.00045362589738657,2.34634084855123E-16,5.90949810657637E-17,5.8,1.391189,0.0975558226919642,0.000331317744984039,1.24244154369015E-16,4.59575554991547E-17,8,2.831177,0.136687954220367,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,6E-16,9E-16
-14.797331,C,C,0.022236443,20.015,0.02,17.67,,16.91,,16.45,,15.98,0.05,16.19,0.04,16.05,0.12,15.51,0.11,,,,,,,,,,,,,,3.75647600914176E-05,1.5025904036567E-16,2.63113596949646E-17,0.75,0.12533,0.0700772901330158,0.000163865797921359,3.93277915011262E-16,,1.25,0.214914,,0.000196924593040401,3.55887818747712E-16,,1.66,0.260965,,0.000187038260642241,2.5621679540033E-16,,2.19,0.278455,,0.000113907347607451,9.49227896728758E-17,2.14939737167855E-17,3.6,0.743171,0.0886450277393376,6.00548486926926E-05,4.00365657951284E-17,9.62374056942358E-18,4.5,1.009682,0.0935525764246989,4.37217805768645E-05,2.26147140914817E-17,6.50987549746255E-18,5.8,1.391189,0.109868712677809,4.0573707761142E-05,1.52151404104283E-17,6.05406062578073E-18,8,2.831177,0.145475211689508,,,,3.368,0.635793,,,,,4.618,1.107319,,,,,12.082,6.275804,,,,,22.194,4.739734,,4.7E-16,
