_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),JmagUKIRT(mag),e_JmagUKIRT(mag),HmagUKIRT(mag),e_HmagUKIRT(mag),KmagUKIRT(mag),e_KmagUKIRT(mag)
295.90136694,-15.1259,295.901367,-15.1259,15.864,0.01,15.573,0.011,15.48,0.013
295.90142806,-14.61846611,295.901428,-14.618466,19.166,0.143,18.391,0.087,18.052,0.089
295.90142806,-14.76343889,295.901428,-14.763439,15.897,0.012,15.304,0.008,15.142,0.01
295.90142806,-14.85088306,295.901428,-14.850883,16.042,0.014,15.909,0.013,15.849,0.016
295.90142806,-14.96779194,295.901428,-14.967792,16.527,0.016,16.268,0.02,16.134,0.022
295.90142806,-14.973705,295.901428,-14.973705,17.808,0.043,17.419,0.051,17.334,0.059
295.90142806,-15.01538694,295.901428,-15.015387,17.377,0.031,16.842,0.03,16.759,0.037
295.90142806,-15.105545,295.901428,-15.105545,17.395,0.031,16.891,0.031,16.649,0.033
295.90148889,-14.53357,295.901489,-14.53357,19.201,0.146,18.943,0.138,19.182,0.229
295.90148889,-14.74248611,295.901489,-14.742486,17.709,0.047,17.07,0.036,16.82,0.035
295.90155,-14.90394389,295.90155,-14.903944,16.829,0.024,16.231,0.017,16.082,0.019
295.90155,-14.91837194,295.90155,-14.918372,18.706,0.106,18.459,0.113,18.325,0.122
295.90158111,-14.58426111,295.901581,-14.584261,16.812,0.021,16.614,0.019,16.567,0.026
295.90167194,-14.708,295.901672,-14.708,15.778,0.01,15.451,0.008,15.395,0.011
295.90167194,-14.71216694,295.901672,-14.712167,12.821,0.002,12.576,0.002,12.534,0.002
295.90167194,-14.77483,295.901672,-14.77483,19.519,0.21,18.775,0.149,18.426,0.135
295.90167194,-14.83126889,295.901672,-14.831269,16.455,0.018,16.219,0.017,16.164,0.021
295.90170306,-14.58580194,295.901703,-14.585802,18.831,0.108,18.368,0.085,18.101,0.093
295.90170306,-15.00735889,295.901703,-15.007359,16.314,0.014,15.805,0.013,15.537,0.014
295.90173306,-14.59054889,295.901733,-14.590549,14.262,0.004,13.8,0.003,13.728,0.004
295.90173306,-15.13565,295.901733,-15.13565,19.118,0.126,18.721,0.15,18.527,0.159
295.90176389,-14.67172,295.901764,-14.67172,17.087,0.026,16.788,0.022,16.802,0.031
295.901855,-14.81007194,295.901855,-14.810072,17.926,0.056,17.328,0.043,17.104,0.045
295.901855,-15.02170611,295.901855,-15.021706,19.437,0.166,19.145,0.216,18.434,0.151
295.90188611,-14.98299694,295.901886,-14.982997,15.155,0.007,14.91,0.007,14.843,0.009
295.90191694,-14.55822,295.901917,-14.55822,14.316,0.004,13.932,0.003,13.891,0.004
295.90191694,-14.59265806,295.901917,-14.592658,17.478,0.035,17.072,0.028,17.039,0.038
295.90200806,-14.58805,295.902008,-14.58805,17.517,0.036,17.179,0.031,17.136,0.041
295.90200806,-14.61691389,295.902008,-14.616914,18.985,0.123,18.139,0.07,18.069,0.09
295.90203889,-14.8543,295.902039,-14.8543,18.623,0.099,17.967,0.074,17.774,0.077
295.90203889,-15.03323611,295.902039,-15.033236,18.702,0.09,18.147,0.092,17.943,0.098
295.90203889,-15.12021889,295.902039,-15.120219,18.109,0.054,17.777,0.067,17.711,0.08
295.9021,-14.90732806,295.9021,-14.907328,19.272,0.171,18.585,0.126,18.673,0.164
295.90219111,-14.89120306,295.902191,-14.891203,17.856,0.053,17.121,0.036,16.916,0.037
295.90222194,-14.56971889,295.902222,-14.569719,18.166,0.062,17.807,0.052,17.717,0.067
295.90225194,-14.63700611,295.902252,-14.637006,18.357,0.073,18.137,0.07,17.947,0.082
295.90231306,-14.85227306,295.902313,-14.852273,16.894,0.025,16.35,0.019,16.263,0.022
295.90231306,-14.87092194,295.902313,-14.870922,17.439,0.038,16.909,0.03,16.725,0.032
295.90234389,-14.91752806,295.902344,-14.917528,17.837,0.052,17.437,0.047,17.405,0.056
295.90237389,-14.59929694,295.902374,-14.599297,17.533,0.037,16.863,0.024,16.606,0.026
295.90237389,-14.94210806,295.902374,-14.942108,17.072,0.028,16.399,0.019,16.149,0.02
295.902405,-14.74411389,295.902405,-14.744114,18.159,0.068,17.751,0.064,17.863,0.084
295.902405,-15.05666889,295.902405,-15.056669,16.657,0.018,16.102,0.016,16.007,0.02
295.902435,-14.69417194,295.902435,-14.694172,18.86,0.112,18.345,0.084,18.019,0.087
295.90246611,-14.954945,295.902466,-14.954945,12.045,0.001,11.556,0.001,11.411,0.001
295.90246611,-15.10519806,295.902466,-15.105198,18.109,0.055,17.657,0.06,17.473,0.066
