_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),JmagUKIRT(mag),e_JmagUKIRT(mag),HmagUKIRT(mag),e_HmagUKIRT(mag),KmagUKIRT(mag),e_KmagUKIRT(mag)
296.14666694,-14.62257806,296.146667,-14.622578,18.733,0.092,18.005,0.059,18.085,0.092
296.14666694,-14.65849694,296.146667,-14.658497,18.405,0.07,18.282,0.076,18.339,0.115
296.14666694,-14.75639694,296.146667,-14.756397,18.87,0.109,18.01,0.08,18.032,0.1
296.14672889,-14.75353111,296.146729,-14.753531,15.288,0.008,14.959,0.007,14.936,0.008
296.14679,-14.60023111,296.14679,-14.600231,19.283,0.145,18.741,0.112,18.326,0.113
296.14679,-14.87284806,296.14679,-14.872848,18.641,0.091,17.958,0.076,17.823,0.084
296.14679,-14.88142194,296.14679,-14.881422,18.973,0.12,18.073,0.084,17.802,0.083
296.14682,-14.75862194,296.14682,-14.758622,19.013,0.123,18.635,0.137,18.209,0.117
296.14685111,-14.56261694,296.146851,-14.562617,18.452,0.072,18.046,0.061,18.189,0.101
296.14688111,-15.02766889,296.146881,-15.027669,18.868,0.106,18.293,0.094,18.129,0.118
296.14691194,-14.72232389,296.146912,-14.722324,17.905,0.046,17.402,0.036,17.136,0.041
296.14694194,-14.63071889,296.146942,-14.630719,18.28,0.063,17.61,0.042,17.559,0.059
296.14694194,-15.13702806,296.146942,-15.137028,17.574,0.036,17.211,0.038,17.109,0.049
296.14697306,-14.736745,296.146973,-14.736745,18.415,0.074,18.138,0.089,18.114,0.108
296.14697306,-15.12292806,296.146973,-15.122928,16.59,0.018,16.305,0.018,16.21,0.023
296.14700306,-14.52978889,296.147003,-14.529789,17.887,0.045,17.431,0.036,17.345,0.049
296.14700306,-14.85373389,296.147003,-14.853734,18.718,0.097,17.743,0.064,17.615,0.07
296.14700306,-15.047245,296.147003,-15.047245,16.937,0.023,16.487,0.02,16.221,0.024
296.14703389,-14.88264194,296.147034,-14.882642,16.863,0.022,16.179,0.017,16.001,0.019
296.14706389,-14.67937611,296.147064,-14.679376,15.316,0.007,14.537,0.004,14.372,0.005
296.14706389,-14.70405611,296.147064,-14.704056,17.456,0.032,16.808,0.022,16.595,0.027
296.14706389,-14.86578111,296.147064,-14.865781,18.106,0.058,17.686,0.06,17.623,0.071
296.147095,-14.51605306,296.147095,-14.516053,18.651,0.084,18.355,0.079,18.351,0.115
296.147095,-14.71789389,296.147095,-14.717894,18.903,0.106,18.106,0.065,18.092,0.093
296.147095,-14.76757694,296.147095,-14.767577,18.768,0.1,17.976,0.077,18.046,0.102
296.147095,-14.84369111,296.147095,-14.843691,14.35,0.005,14.048,0.004,14.003,0.005
296.14715611,-14.59188306,296.147156,-14.591883,18.152,0.056,17.315,0.033,17.272,0.046
296.14715611,-14.78199111,296.147156,-14.781991,17.645,0.04,16.974,0.033,16.815,0.036
296.14715611,-14.89037194,296.147156,-14.890372,16.903,0.022,16.346,0.019,16.227,0.022
296.14718611,-14.829005,296.147186,-14.829005,15.277,0.008,14.861,0.006,14.816,0.008
296.14718611,-14.83155,296.147186,-14.83155,18.268,0.066,17.494,0.051,17.387,0.058
296.14721694,-14.76855306,296.147217,-14.768553,19.359,0.164,18.721,0.146,18.416,0.14
296.14727806,-14.58260806,296.147278,-14.582608,16.039,0.011,15.561,0.008,15.467,0.011
296.14727806,-14.75760306,296.147278,-14.757603,19.003,0.122,18.431,0.115,18.208,0.117
296.14730806,-14.83753306,296.147308,-14.837533,17.527,0.036,16.49,0.022,15.897,0.017
296.14733889,-14.92290889,296.147339,-14.922909,13.143,0.002,12.75,0.002,12.697,0.002
296.14736889,-14.77629194,296.147369,-14.776292,14.121,0.004,13.803,0.003,13.768,0.004
296.14743,-14.81233306,296.14743,-14.812333,19.623,0.206,19.076,0.198,18.596,0.163
296.14749111,-14.833275,296.147491,-14.833275,19.682,0.215,18.871,0.166,18.711,0.179
296.14752194,-14.68843889,296.147522,-14.688439,15.625,0.009,15.256,0.007,15.191,0.009
296.14752194,-14.85996389,296.147522,-14.859964,18.145,0.06,17.828,0.068,17.682,0.074
296.14752194,-14.969155,296.147522,-14.969155,19.392,0.165,18.947,0.167,19.056,0.258
296.14755194,-14.59596111,296.147552,-14.595961,19.285,0.145,18.467,0.088,18.281,0.109
296.14755194,-14.84721389,296.147552,-14.847214,19.01,0.124,18.183,0.093,18.126,0.109
296.14758306,-14.74666111,296.147583,-14.746661,19.219,0.145,18.753,0.152,18.952,0.219
296.14758306,-14.83579389,296.147583,-14.835794,18.873,0.11,17.93,0.074,17.71,0.076
296.147675,-14.61295889,296.147675,-14.612959,18.788,0.096,18.527,0.093,18.431,0.124
296.147675,-14.82237,296.147675,-14.82237,19.614,0.204,19.043,0.192,18.942,0.217
296.147705,-14.62872194,296.147705,-14.628722,18.04,0.051,17.219,0.031,17.016,0.037
296.147705,-14.71963611,296.147705,-14.719636,19.661,0.21,18.46,0.117,18.351,0.134
296.147705,-15.12674111,296.147705,-15.126741,19.659,0.202,19.175,0.201,18.87,0.218
296.14776611,-14.94131389,296.147766,-14.941314,18.772,0.099,18.344,0.1,18.3,0.138
296.14776611,-15.13026111,296.147766,-15.130261,17.863,0.046,17.324,0.041,17.349,0.06
296.14779694,-14.60854194,296.147797,-14.608542,17.716,0.039,16.885,0.023,16.691,0.029
296.14779694,-14.78657806,296.147797,-14.786578,17.224,0.029,16.394,0.02,15.913,0.017
296.14785806,-14.80239194,296.147858,-14.802392,18.548,0.084,17.725,0.062,17.548,0.067
296.14791889,-14.75893611,296.147919,-14.758936,19.367,0.165,18.985,0.184,18.824,0.196
296.14791889,-14.89186389,296.147919,-14.891864,18.808,0.104,17.892,0.072,17.9,0.09
296.14791889,-15.09304694,296.147919,-15.093047,18.061,0.054,17.542,0.049,17.431,0.064
296.14794889,-14.73626694,296.147949,-14.736267,18.894,0.111,18.402,0.112,18.212,0.118
296.14798,-14.69437806,296.14798,-14.694378,16.622,0.017,16.24,0.014,16.198,0.019
296.14798,-14.81388694,296.14798,-14.813887,18.083,0.057,17.575,0.055,17.248,0.052
296.14804111,-14.63973889,296.148041,-14.639739,19.02,0.117,18.316,0.078,18.144,0.097
296.14813194,-14.56413389,296.148132,-14.564134,16.949,0.021,16.569,0.018,16.529,0.025
296.14813194,-14.93170111,296.148132,-14.931701,18.876,0.11,18.368,0.108,18.207,0.116
296.14819306,-14.60011194,296.148193,-14.600112,18.762,0.094,17.821,0.051,17.667,0.065
296.14819306,-14.86096194,296.148193,-14.860962,18.758,0.1,17.816,0.068,17.962,0.095
296.14822389,-14.60415611,296.148224,-14.604156,18.7,0.089,17.874,0.053,17.624,0.062
296.14822389,-14.80119389,296.148224,-14.801194,17.965,0.052,17.089,0.036,16.94,0.04
296.14822389,-15.02257694,296.148224,-15.022577,19.608,0.195,18.849,0.151,18.508,0.162
296.148285,-14.64733306,296.148285,-14.647333,17.87,0.045,17.372,0.035,17.319,0.048
296.148315,-14.88257806,296.148315,-14.882578,18.977,0.12,18.301,0.102,18.136,0.11
296.14837611,-14.83669389,296.148376,-14.836694,18.878,0.111,18.321,0.104,17.889,0.089
296.14837611,-14.96691306,296.148376,-14.966913,18.929,0.112,18.629,0.128,18.394,0.149
296.14846806,-14.77964389,296.148468,-14.779644,19.144,0.138,18.603,0.132,18.247,0.121
296.14846806,-14.91309889,296.148468,-14.913099,13.324,0.003,12.808,0.002,12.751,0.002
296.14846806,-14.994945,296.148468,-14.994945,16.261,0.014,15.968,0.014,15.877,0.018
296.14849889,-14.52624389,296.148499,-14.526244,18.258,0.061,17.843,0.051,17.78,0.071
296.14849889,-14.70168889,296.148499,-14.701689,14.046,0.004,13.362,0.002,13.166,0.003
296.14849889,-14.86875806,296.148499,-14.868758,12.922,0.002,12.443,0.002,12.358,0.002
296.14852889,-15.03644194,296.148529,-15.036442,18.857,0.105,18.24,0.09,18.27,0.132
296.14856,-14.58836389,296.14856,-14.588364,13.762,0.003,13.264,0.002,13.196,0.003
296.14856,-14.98775306,296.14856,-14.987753,19.233,0.145,19.003,0.174,18.572,0.173
296.14862111,-15.06235611,296.148621,-15.062356,14.908,0.006,14.285,0.004,14.042,0.005
296.14865111,-14.66713,296.148651,-14.66713,16.675,0.018,16.2,0.014,16.16,0.019
296.14868194,-14.88937194,296.148682,-14.889372,18.738,0.098,17.835,0.068,17.516,0.065
296.14871194,-14.51472194,296.148712,-14.514722,17.604,0.035,16.974,0.025,16.846,0.032
296.14871194,-14.83525806,296.148712,-14.835258,19.518,0.188,19.119,0.204,18.327,0.129
296.14871194,-14.88440194,296.148712,-14.884402,19.413,0.173,18.558,0.127,18.358,0.133
296.14871194,-14.89597194,296.148712,-14.895972,18.882,0.111,17.868,0.07,17.869,0.087
296.14871194,-14.91055806,296.148712,-14.910558,19.382,0.168,18.717,0.146,18.573,0.159
296.14874306,-14.60811389,296.148743,-14.608114,17.513,0.033,16.834,0.022,16.66,0.028
296.14874306,-14.77564694,296.148743,-14.775647,18.74,0.098,18.436,0.114,18.219,0.118
296.14874306,-14.83324111,296.148743,-14.833241,18.854,0.108,18.138,0.089,17.929,0.092
296.14877306,-14.51068306,296.148773,-14.510683,18.103,0.053,17.768,0.048,17.691,0.065
296.14877306,-14.57477806,296.148773,-14.574778,15.606,0.009,15.102,0.006,15.003,0.008
296.14877306,-14.75253306,296.148773,-14.752533,19.004,0.122,18.309,0.105,18.069,0.104
296.14880389,-14.80976694,296.148804,-14.809767,16.543,0.017,16.224,0.018,16.251,0.023
296.14880389,-14.85439806,296.148804,-14.854398,18.329,0.07,17.565,0.054,17.36,0.057
296.14883389,-14.76728111,296.148834,-14.767281,19.191,0.143,18.751,0.15,18.65,0.17
296.148865,-14.7875,296.148865,-14.7875,16.872,0.022,15.862,0.013,15.247,0.011
296.14892611,-14.78523611,296.148926,-14.785236,18.501,0.08,17.635,0.057,17.519,0.065
296.14892611,-15.13505306,296.148926,-15.135053,12.936,0.002,12.643,0.002,12.565,0.002
296.14895611,-14.79655389,296.148956,-14.796554,18.783,0.102,18.357,0.107,17.661,0.074
296.14895611,-14.81053389,296.148956,-14.810534,18.061,0.056,17.536,0.053,17.501,0.064
296.14898694,-14.87157806,296.148987,-14.871578,17.893,0.049,17.433,0.048,17.483,0.063
296.14904806,-14.64012,296.149048,-14.64012,19.275,0.145,18.376,0.082,18.188,0.101
296.14904806,-14.792145,296.149048,-14.792145,19.222,0.147,18.583,0.13,18.669,0.173
296.14910889,-15.08382194,296.149109,-15.083822,17.213,0.028,16.597,0.022,16.391,0.027
296.14917,-14.70510611,296.14917,-14.705106,17.612,0.036,17.272,0.032,17.106,0.04
296.14917,-14.85569806,296.14917,-14.855698,18.045,0.055,17.236,0.041,16.987,0.041
296.14917,-14.86402194,296.14917,-14.864022,19.154,0.139,18.234,0.097,18.142,0.11
296.14917,-15.02958889,296.14917,-15.029589,18.438,0.074,17.678,0.056,17.455,0.066
296.1492,-14.70282694,296.1492,-14.702827,17.326,0.029,16.676,0.02,16.486,0.024
296.14923111,-14.80340611,296.149231,-14.803406,18.607,0.088,17.607,0.056,17.442,0.061
296.14923111,-14.87248306,296.149231,-14.872483,17.581,0.038,16.585,0.024,16.143,0.021
296.14926111,-14.71521111,296.149261,-14.715211,18.633,0.085,17.857,0.053,17.883,0.078
296.14926111,-14.74469806,296.149261,-14.744698,18.097,0.057,17.488,0.051,17.218,0.05
296.14929194,-14.78958694,296.149292,-14.789587,15.876,0.011,15.258,0.008,15.1,0.01
296.14929194,-14.84791889,296.149292,-14.847919,19.055,0.128,18.232,0.097,18.166,0.113
296.14929194,-14.91768389,296.149292,-14.917684,18.886,0.111,18.786,0.154,18.305,0.127
296.14932306,-15.11389,296.149323,-15.11389,17.93,0.048,17.388,0.044,17.252,0.055
296.14938389,-14.73644694,296.149384,-14.736447,16.497,0.017,16.241,0.018,16.251,0.023
296.14938389,-15.05304389,296.149384,-15.053044,18.876,0.106,18.076,0.078,18.325,0.138
296.149475,-15.03054694,296.149475,-15.030547,17.516,0.035,16.663,0.024,16.17,0.023
296.14950611,-14.63764694,296.149506,-14.637647,19.642,0.196,18.92,0.13,18.825,0.173
296.14950611,-14.76918306,296.149506,-14.769183,19.37,0.165,18.186,0.092,18.227,0.119
296.14953611,-15.00087306,296.149536,-15.000873,18.307,0.067,17.727,0.058,17.704,0.082
296.14965806,-14.75325,296.149658,-14.75325,18.62,0.088,18.086,0.086,17.691,0.075
296.14965806,-14.83134194,296.149658,-14.831342,18.153,0.06,17.52,0.052,17.386,0.058
296.14968889,-14.66426111,296.149689,-14.664261,19.222,0.138,18.394,0.083,18.184,0.101
296.14975,-15.06918889,296.14975,-15.069189,16.034,0.012,15.431,0.009,15.195,0.011
296.14978,-14.63319806,296.14978,-14.633198,18.0,0.05,17.452,0.037,17.341,0.049
296.14978,-14.84336111,296.14978,-14.843361,18.748,0.099,17.766,0.065,17.671,0.074
296.14981111,-14.61418611,296.149811,-14.614186,19.462,0.169,18.625,0.101,18.804,0.17
296.14981111,-14.79861194,296.149811,-14.798612,18.85,0.108,18.054,0.082,17.835,0.085
296.14984111,-14.82137194,296.149841,-14.821372,17.552,0.037,17.378,0.046,17.264,0.052
296.14987194,-14.58961389,296.149872,-14.589614,15.828,0.01,15.254,0.007,15.148,0.009
296.14987194,-14.80106611,296.149872,-14.801066,18.716,0.096,18.026,0.08,17.806,0.083
296.14987194,-14.96758,296.149872,-14.96758,19.357,0.16,18.654,0.132,18.595,0.176
296.14990194,-15.06423111,296.149902,-15.064231,16.96,0.023,16.357,0.018,16.285,0.025
296.14993306,-15.02361111,296.149933,-15.023611,19.359,0.159,18.69,0.133,18.561,0.169
296.14996306,-14.60861111,296.149963,-14.608611,17.84,0.044,17.268,0.032,17.062,0.039
296.14996306,-14.77310806,296.149963,-14.773108,15.233,0.007,14.961,0.007,14.939,0.009
296.14996306,-15.12157,296.149963,-15.12157,19.227,0.141,18.939,0.165,18.547,0.166
296.14999389,-14.80833611,296.149994,-14.808336,18.182,0.062,17.211,0.04,17.085,0.045
296.14999389,-15.049195,296.149994,-15.049195,17.501,0.035,17.218,0.037,17.09,0.048
296.150055,-14.56936389,296.150055,-14.569364,18.997,0.114,18.265,0.074,18.102,0.093
296.150085,-14.8116,296.150085,-14.8116,19.446,0.178,18.745,0.15,18.374,0.135
296.150085,-14.81567,296.150085,-14.81567,19.075,0.13,18.37,0.109,18.289,0.126
296.15011611,-14.73261889,296.150116,-14.732619,19.092,0.131,18.252,0.099,17.965,0.095
296.15011611,-15.06238889,296.150116,-15.062389,19.244,0.144,18.749,0.139,18.761,0.199
296.15017694,-14.86057889,296.150177,-14.860579,18.365,0.072,17.494,0.051,17.353,0.056
296.15020806,-14.71194889,296.150208,-14.711949,18.677,0.088,17.766,0.049,17.602,0.061
296.15020806,-14.71576889,296.150208,-14.715769,17.22,0.027,16.576,0.018,16.294,0.021
296.15026889,-14.75518306,296.150269,-14.755183,18.24,0.064,17.424,0.048,17.157,0.048
296.15026889,-14.95846889,296.150269,-14.958469,17.379,0.032,16.784,0.027,16.584,0.032
296.15029889,-14.67625306,296.150299,-14.676253,17.167,0.026,16.687,0.02,16.586,0.026
296.15036,-14.59126111,296.15036,-14.591261,13.811,0.003,13.491,0.002,13.44,0.003
296.15042111,-14.52258,296.150421,-14.52258,18.274,0.061,17.583,0.041,17.55,0.058
296.15042111,-14.75115889,296.150421,-14.751159,19.097,0.131,18.427,0.115,18.052,0.102
296.15042111,-14.82235194,296.150421,-14.822352,19.009,0.123,18.302,0.102,18.282,0.125
296.15045194,-14.64442694,296.150452,-14.644427,18.423,0.071,17.712,0.046,17.687,0.066
296.15045194,-14.74748889,296.150452,-14.747489,18.665,0.091,17.855,0.071,17.651,0.073
296.15045194,-14.84416111,296.150452,-14.844161,16.598,0.018,16.22,0.018,16.209,0.022
296.15048194,-14.77524194,296.150482,-14.775242,15.731,0.01,15.405,0.009,15.388,0.012
296.15051306,-15.098495,296.150513,-15.098495,16.877,0.022,16.371,0.019,16.227,0.024
296.15054306,-14.64773306,296.150543,-14.647733,18.209,0.059,17.68,0.045,17.37,0.05
296.15054306,-14.95107194,296.150543,-14.951072,15.337,0.008,14.989,0.007,14.915,0.009
296.15057389,-14.73045806,296.150574,-14.730458,19.005,0.122,18.476,0.119,18.236,0.121
296.150665,-14.639775,296.150665,-14.639775,18.081,0.053,17.485,0.038,17.411,0.052
296.15069611,-14.62078694,296.150696,-14.620787,13.728,0.003,13.432,0.002,13.389,0.003
296.15072611,-14.574705,296.150726,-14.574705,19.109,0.125,18.745,0.112,18.739,0.16
296.15072611,-14.803725,296.150726,-14.803725,18.752,0.099,18.146,0.089,17.893,0.09
296.15072611,-14.923345,296.150726,-14.923345,14.841,0.006,14.198,0.004,14.0,0.005
296.15072611,-14.99875806,296.150726,-14.998758,18.988,0.117,18.227,0.089,17.93,0.1
296.15072611,-15.04738111,296.150726,-15.047381,18.952,0.113,18.366,0.1,18.73,0.194
296.15075694,-14.77936389,296.150757,-14.779364,19.048,0.127,18.35,0.106,18.143,0.111
296.15075694,-14.79743694,296.150757,-14.797437,19.336,0.162,18.487,0.12,18.298,0.127
296.15081806,-14.56686389,296.150818,-14.566864,18.623,0.083,18.293,0.076,18.182,0.1
296.15081806,-14.90228611,296.150818,-14.902286,19.239,0.149,18.375,0.109,18.868,0.203
296.15084806,-14.81196111,296.150848,-14.811961,17.809,0.046,16.917,0.031,16.736,0.034
296.15084806,-14.85147889,296.150848,-14.851479,18.801,0.104,17.885,0.072,17.919,0.091
296.15084806,-14.86798694,296.150848,-14.867987,19.083,0.131,18.573,0.129,18.411,0.139
296.15084806,-15.00331694,296.150848,-15.003317,19.485,0.177,19.123,0.191,18.637,0.181
296.15084806,-15.006525,296.150848,-15.006525,16.917,0.022,16.329,0.018,16.142,0.022
296.15084806,-15.08569694,296.150848,-15.085697,16.789,0.02,16.377,0.019,16.246,0.024
296.15087889,-15.02044389,296.150879,-15.020444,18.732,0.095,18.128,0.082,17.875,0.095
296.15090889,-14.51588306,296.150909,-14.515883,18.514,0.075,18.207,0.07,18.172,0.099
296.15090889,-14.91439889,296.150909,-14.914399,18.721,0.096,17.685,0.06,17.78,0.081
296.15090889,-14.93965194,296.150909,-14.939652,15.586,0.009,15.276,0.008,15.239,0.01
296.15094,-14.62868306,296.15094,-14.628683,17.429,0.031,17.17,0.029,17.09,0.04
296.15094,-14.73910306,296.15094,-14.739103,18.233,0.064,17.577,0.056,17.59,0.069
296.15094,-14.75261389,296.15094,-14.752614,18.51,0.08,17.765,0.065,17.501,0.064
296.15100111,-14.72699889,296.151001,-14.726999,16.872,0.022,16.0,0.015,15.486,0.013
296.15100111,-14.95247194,296.151001,-14.952472,14.698,0.006,14.316,0.004,14.242,0.006
296.15103111,-14.68041694,296.151031,-14.680417,19.418,0.163,18.39,0.083,18.542,0.137
296.15103111,-14.75913889,296.151031,-14.759139,17.348,0.031,17.097,0.036,17.087,0.045
296.15103111,-14.78110806,296.151031,-14.781108,18.513,0.081,17.826,0.068,17.447,0.061
296.15103111,-14.81708,296.151031,-14.81708,17.758,0.044,17.362,0.046,17.369,0.057
296.15103111,-14.82902,296.151031,-14.82902,19.311,0.159,18.362,0.108,17.979,0.096
296.15103111,-14.92561111,296.151031,-14.925611,15.943,0.011,15.573,0.011,15.549,0.013
296.15106194,-14.77694389,296.151062,-14.776944,19.233,0.148,18.481,0.119,18.419,0.14
296.15106194,-14.78558111,296.151062,-14.785581,19.263,0.152,18.387,0.11,18.425,0.141
296.15106194,-14.78861389,296.151062,-14.788614,19.401,0.171,18.966,0.18,18.644,0.17
296.15106194,-14.83919694,296.151062,-14.839197,19.451,0.178,18.838,0.162,18.612,0.165
296.15106194,-14.95473,296.151062,-14.95473,15.175,0.007,14.658,0.005,14.562,0.007
296.15106194,-15.13297694,296.151062,-15.132977,18.606,0.084,17.979,0.073,17.85,0.092
296.15109306,-15.06101694,296.151093,-15.061017,15.717,0.01,15.188,0.008,14.9,0.009
296.15112306,-14.78030806,296.151123,-14.780308,19.233,0.148,18.413,0.112,18.563,0.159
296.15112306,-14.82482194,296.151123,-14.824822,15.496,0.009,14.923,0.007,14.73,0.007
296.15112306,-14.90697194,296.151123,-14.906972,19.145,0.138,17.092,0.036,15.428,0.012
296.15115389,-14.51465806,296.151154,-14.514658,16.239,0.013,15.875,0.011,15.847,0.015
296.151215,-14.53280306,296.151215,-14.532803,18.867,0.101,18.355,0.08,18.205,0.102
296.151215,-14.74803389,296.151215,-14.748034,19.845,0.243,19.013,0.19,18.254,0.122
296.15127611,-14.74540889,296.151276,-14.745409,16.166,0.013,15.741,0.012,15.7,0.015
296.15127611,-15.04922889,296.151276,-15.049229,19.57,0.189,18.613,0.124,18.166,0.121
296.15130611,-14.52834111,296.151306,-14.528341,18.189,0.057,17.66,0.044,17.431,0.053
296.15130611,-14.65370306,296.151306,-14.653703,18.697,0.089,17.886,0.054,18.025,0.088
296.15133694,-14.84777194,296.151337,-14.847772,17.575,0.038,16.679,0.026,16.543,0.029
296.15136694,-14.52121389,296.151367,-14.521214,17.477,0.032,17.14,0.028,16.995,0.036
296.15136694,-14.59821889,296.151367,-14.598219,16.592,0.017,16.003,0.012,15.752,0.014
296.15136694,-14.82290611,296.151367,-14.822906,18.77,0.101,17.855,0.07,17.824,0.084
296.15136694,-14.9201,296.151367,-14.9201,18.884,0.11,18.173,0.091,18.067,0.103
296.15139806,-14.87960806,296.151398,-14.879608,17.069,0.026,16.806,0.028,16.738,0.034
296.15142806,-14.57253111,296.151428,-14.572531,19.297,0.146,18.822,0.119,18.375,0.118
296.15142806,-14.65676306,296.151428,-14.656763,17.352,0.029,16.374,0.015,15.885,0.015
296.15142806,-14.67174,296.151428,-14.67174,15.417,0.008,15.033,0.006,14.982,0.008
296.15142806,-14.96686111,296.151428,-14.966861,19.022,0.121,18.55,0.122,18.578,0.174
296.15145889,-14.77857806,296.151459,-14.778578,18.581,0.086,17.939,0.074,17.725,0.078
296.15145889,-15.05284806,296.151459,-15.052848,17.049,0.025,16.596,0.022,16.491,0.029
296.15152,-14.66155194,296.15152,-14.661552,17.066,0.024,16.542,0.018,16.301,0.021
296.15155,-14.849505,296.15155,-14.849505,18.592,0.087,18.019,0.08,17.567,0.068
296.15155,-14.87412806,296.15155,-14.874128,18.672,0.093,17.965,0.077,17.421,0.06
296.15155,-14.994615,296.15155,-14.994615,14.389,0.005,14.091,0.004,14.018,0.005
296.15158111,-14.73259889,296.151581,-14.732599,19.255,0.15,18.279,0.102,17.854,0.087
296.15158111,-14.88178611,296.151581,-14.881786,19.741,0.227,18.772,0.153,18.511,0.151
296.15158111,-14.90474111,296.151581,-14.904741,19.404,0.171,18.749,0.15,18.695,0.176
296.15161111,-15.05897806,296.151611,-15.058978,16.173,0.013,15.588,0.01,15.308,0.012
296.15167194,-14.50548611,296.151672,-14.505486,16.695,0.018,16.27,0.014,16.208,0.019
296.15167194,-14.65143889,296.151672,-14.651439,18.903,0.106,18.195,0.07,18.088,0.093
296.15167194,-14.71375611,296.151672,-14.713756,18.725,0.092,18.331,0.079,18.411,0.122
296.15167194,-15.11860611,296.151672,-15.118606,17.843,0.045,17.294,0.04,17.192,0.053
296.15179389,-14.76954194,296.151794,-14.769542,17.8,0.045,17.368,0.046,17.064,0.044
296.15179389,-15.09421111,296.151794,-15.094211,16.477,0.016,16.194,0.016,16.106,0.021
296.151825,-14.51964389,296.151825,-14.519644,16.016,0.011,15.65,0.009,15.592,0.012
296.151825,-14.56561694,296.151825,-14.565617,19.535,0.178,18.652,0.103,19.012,0.201
296.151825,-14.70592194,296.151825,-14.705922,17.674,0.038,17.222,0.031,17.225,0.045
296.151855,-14.55057806,296.151855,-14.550578,15.787,0.01,15.434,0.008,15.393,0.011
296.151855,-14.820825,296.151855,-14.820825,19.106,0.134,18.337,0.105,18.325,0.13
296.151855,-14.948625,296.151855,-14.948625,13.623,0.003,13.332,0.002,13.261,0.003
296.15188611,-14.81048611,296.151886,-14.810486,19.174,0.142,18.371,0.109,18.061,0.103
296.15188611,-14.84701111,296.151886,-14.847011,18.842,0.107,18.008,0.08,17.857,0.087
296.15191694,-14.69737194,296.151917,-14.697372,18.227,0.06,17.73,0.047,17.488,0.056
296.15194694,-14.58027194,296.151947,-14.580272,19.467,0.169,19.108,0.152,19.243,0.244
296.15194694,-14.84505,296.151947,-14.84505,19.626,0.206,19.091,0.201,19.021,0.232
296.15194694,-15.03580306,296.151947,-15.035803,18.954,0.113,18.147,0.083,18.008,0.106
296.15203889,-14.55802194,296.152039,-14.558022,18.319,0.064,17.822,0.051,17.599,0.061
296.15203889,-14.97188,296.152039,-14.97188,18.906,0.11,18.821,0.151,18.68,0.19
296.15206889,-14.62273306,296.152069,-14.622733,18.265,0.062,17.577,0.041,17.259,0.046
296.15206889,-14.65781611,296.152069,-14.657816,16.985,0.022,16.587,0.018,16.567,0.026
296.15206889,-14.67440306,296.152069,-14.674403,17.858,0.044,17.177,0.03,16.966,0.036
296.15206889,-15.09636889,296.152069,-15.096369,18.3,0.066,17.94,0.07,17.913,0.097
296.15213,-14.48373111,296.15213,-14.483731,17.052,0.023,16.604,0.019,16.559,0.026
296.15213,-14.82166389,296.15213,-14.821664,18.246,0.065,17.411,0.048,17.383,0.058
296.15216111,-14.74307806,296.152161,-14.743078,19.403,0.169,18.337,0.106,18.239,0.12
296.15216111,-15.06618889,296.152161,-15.066189,17.353,0.031,16.779,0.026,16.565,0.031
296.15219111,-14.55368889,296.152191,-14.553689,19.319,0.148,18.663,0.104,18.5,0.131
296.15222194,-14.71611111,296.152222,-14.716111,14.003,0.004,13.639,0.003,13.584,0.003
296.15225194,-14.78489806,296.152252,-14.784898,16.712,0.02,16.433,0.021,16.422,0.026
296.15228306,-14.56183889,296.152283,-14.561839,18.117,0.054,17.622,0.043,17.627,0.062
296.15228306,-14.788395,296.152283,-14.788395,17.135,0.027,16.3,0.019,15.976,0.018
296.15228306,-14.82732806,296.152283,-14.827328,19.137,0.137,18.193,0.093,18.293,0.126
296.15231306,-14.501575,296.152313,-14.501575,17.469,0.032,16.993,0.025,16.981,0.036
296.15234389,-14.505545,296.152344,-14.505545,17.873,0.044,17.442,0.036,17.301,0.047
296.15234389,-14.59483306,296.152344,-14.594833,18.409,0.07,18.069,0.063,18.11,0.094
296.15237389,-14.6857,296.152374,-14.6857,19.229,0.14,18.206,0.071,18.177,0.1
296.152405,-14.91933306,296.152405,-14.919333,15.235,0.007,14.698,0.006,14.607,0.007
296.152405,-14.94040889,296.152405,-14.940409,18.736,0.096,18.475,0.113,18.232,0.131
296.152435,-14.56130306,296.152435,-14.561303,16.476,0.015,15.952,0.011,15.866,0.015
296.152435,-14.89310611,296.152435,-14.893106,19.238,0.149,18.26,0.099,17.895,0.089
296.152435,-15.02786611,296.152435,-15.027866,19.002,0.118,18.405,0.104,17.783,0.088
296.15249611,-14.58251111,296.152496,-14.582511,17.832,0.043,17.06,0.027,16.901,0.034
296.15252694,-15.081795,296.152527,-15.081795,16.684,0.019,16.064,0.015,15.897,0.018
296.15255694,-14.67363611,296.152557,-14.673636,18.077,0.053,17.457,0.037,17.273,0.046
296.15258806,-14.77528,296.152588,-14.77528,17.568,0.037,17.168,0.038,17.232,0.051
296.15261806,-14.79817306,296.152618,-14.798173,15.704,0.01,15.241,0.008,15.175,0.01
296.15271,-14.73399694,296.15271,-14.733997,19.257,0.15,18.74,0.149,18.71,0.18
296.15271,-14.76199694,296.15271,-14.761997,18.556,0.084,18.124,0.088,18.178,0.114
296.15271,-14.94334389,296.15271,-14.943344,17.34,0.031,16.907,0.03,16.748,0.038
296.15271,-15.10625111,296.15271,-15.106251,16.772,0.02,16.472,0.02,16.382,0.027
