Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
30920,296.24246,-14.91158,18.95,,17.21,,15.86,,LPV,0.110614012,Whitelock
11140,296.22876,-14.79337,18.75,,17.25,,15.93,,LPV,0.008392115,Whitelock
20439,296.2464,-14.73473,19.15,,17.32,,15.77,,LPV,0.068919689,Whitelock
10753,296.24295,-14.83836,18.4,,17.06,,15.88,,LPV,0.038908336,Whitelock
40520,296.26687,-14.74039,18.41,,16.86,,15.51,,LPV,0.071516678,Whitelock
31168,296.23883,-14.87026,19.49,,17.5,,15.82,,LPV,0.069156034,Whitelock
21671,296.26569,-14.72024,19.78,,17.78,,16.16,,LPV,0.088907936,Whitelock
11174,296.21774,-14.78943,19.12,,17.42,,15.9,,LPV,0.017324122,Whitelock
20569,296.29114,-14.6977,19.24,,17.62,,16.03,,LPV,0.120614512,Whitelock
12445,296.21661,-14.79057,20.26,,18.34,,16.43,,LPV,0.017392588,Whitelock
21141,296.29965,-14.69757,18.16,,16.62,,15.42,,LPV,0.125251477,Whitelock
21234,296.28125,-14.67393,20.16,,18.21,,16.25,,LPV,0.137637459,Whitelock
12147,296.28897,-14.81087,19.93,,17.89,,16.24,,LPV,0.059683339,Whitelock
11299,296.25732,-14.77645,19.06,,17.3,,15.73,,LPV,0.037181054,Whitelock
13293,296.25696,-14.83051,20.3,,18.37,,16.42,,LPV,0.039478946,Whitelock
21029,296.19858,-14.71837,19.11,,17.07,,15.55,,LPV,0.089028683,Whitelock
40102,296.19682,-14.75119,19.69,,17.43,,15.69,,LPV,0.060408135,Whitelock
12177,296.28424,-14.80892,20.5,,18.1,,16.1,,LPV,0.054722391,Whitelock
10807,296.21631,-14.83196,20.37,,18,,15.89,,LPV,0.033240039,Whitelock
40623,296.29793,-14.74687,20.4,,18.08,,16.11,,LPV,0.087278433,Whitelock
30268,296.25891,-14.88796,16.73,,15.44,,14.45,,LPV,0.091004133,Whitelock
20540,296.18011,-14.71067,17.88,,16.89,,16.39,,C,0.103778669,Whitelock
40590,296.28567,-14.73952,18.01,,17.04,,16.39,,C,0.08343723,Whitelock
20578,296.29065,-14.69641,17.8,,16.82,,16.14,,C,0.12148288,Whitelock
20542,296.17703,-14.71031,17.84,,16.76,,16.02,,C,0.105605258,Whitelock
30430,296.21802,-14.92573,17.67,,16.56,,15.86,,C,0.124637089,Whitelock
12400,296.17468,-14.79389,18,,16.75,,15.88,,C,0.055864397,Whitelock
30583,296.30014,-14.87872,18.37,,17.07,,15.88,,C,0.104193676,Whitelock
20375,296.18277,-14.74815,18.03,,16.62,,15.59,,C,0.071379712,Whitelock
20657,296.22934,-14.65254,17.98,,16.59,,15.56,,C,0.14913146,Whitelock
20588,296.29919,-14.69143,17.56,,16.22,,15.16,,C,0.130154192,Whitelock
10032,296.22696,-14.80191,14.48,,13.66,,13.34,,s,0.0030494589684059346,Whitelock
10074,296.24005,-14.80796,14.74,,13.94,,13.66,,s,0.0118560786097075,Whitelock
20022,296.20816,-14.72616,14.09,,13.21,,12.83,,s,0.07860499793270027,Whitelock
40397,296.24301,-14.74652,14.1,,13.3,,12.99,,s,0.05666376796507755,Whitelock
,296.22287,-14.71018,17.6,,16.76,,16.37,,C,0.091767407,Sibbons
,296.22888,-14.72012,17.5,,16.56,,16.3,,C,0.081557691,Sibbons
,296.22033,-14.72841,18.26,,17.25,,17.15,,C,0.073895443,Sibbons
,296.12738,-14.73369,17.56,,16.81,,16.41,,C,0.123094049,Sibbons
,296.31088,-14.73645,17.18,,16.31,,15.91,,C,0.103900062,Sibbons
,296.28564,-14.74075,16.67,,15.62,,15.09,,C,0.082504885,Sibbons
,296.18609,-14.7787,16.72,,15.9,,15.54,,C,0.049555111,Sibbons
,296.24578,-14.7865,17.58,,16.73,,16.46,,C,0.021889205,Sibbons
,296.23651,-14.79789,17.25,,16.52,,16.22,,C,0.007527848,Sibbons
,296.22512,-14.86821,17.31,,16.58,,16.32,,C,0.066718708,Sibbons
,296.21267,-14.87307,17.66,,16.8,,16.47,,C,0.073473049,Sibbons
,296.117004,-14.632751,16.46,,15.59,,15.26,,C,0.203228257,Sibbons
,296.233887,-14.671288,17.14,,16.26,,16.01,,C,0.130439928,Sibbons
,295.968842,-14.682981,16.82,,16.02,,15.68,,C,0.286863347,Sibbons
,296.259827,-14.684196,17.31,,16.47,,16.21,,C,0.121201446,Sibbons
,296.411377,-14.685686,17.47,,16.58,,16.11,,C,0.215290279,Sibbons
,296.156006,-14.687428,17.31,,16.25,,15.68,,C,0.136111523,Sibbons
,296.179413,-14.688039,17.24,,16.35,,16.08,,C,0.124382671,Sibbons
,296.248596,-14.689795,17.26,,16.43,,16.11,,C,0.113409994,Sibbons
,295.969452,-14.694445,17.32,,16.4,,16.13,,C,0.281748932,Sibbons
,296.350922,-14.720666,17.05,,16.13,,15.75,,C,0.145546481,Sibbons
,296.375854,-14.73088,16.15,,15.33,,15.03,,C,0.162125302,Sibbons
