Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
71,20569,296.29114,-14.6977,19.24,,17.62,,16.03,,LPV
72,12445,296.21661,-14.79057,20.26,,18.34,,16.43,,LPV
73,21141,296.29965,-14.69757,18.16,,16.62,,15.42,,LPV
74,21234,296.28125,-14.67393,20.16,,18.21,,16.25,,LPV
75,12147,296.28897,-14.81087,19.93,,17.89,,16.24,,LPV
76,11299,296.25732,-14.77645,19.06,,17.3,,15.73,,LPV
77,13293,296.25696,-14.83051,20.3,,18.37,,16.42,,LPV
78,21029,296.19858,-14.71837,19.11,,17.07,,15.55,,LPV
79,40102,296.19682,-14.75119,19.69,,17.43,,15.69,,LPV
80,12177,296.28424,-14.80892,20.5,,18.1,,16.1,,LPV
81,10807,296.21631,-14.83196,20.37,,18,,15.89,,LPV
82,40623,296.29793,-14.74687,20.4,,18.08,,16.11,,LPV
83,30268,296.25891,-14.88796,16.73,,15.44,,14.45,,LPV
84,20540,296.18011,-14.71067,17.88,,16.89,,16.39,,C
85,40590,296.28567,-14.73952,18.01,,17.04,,16.39,,C
86,20578,296.29065,-14.69641,17.8,,16.82,,16.14,,C
87,20542,296.17703,-14.71031,17.84,,16.76,,16.02,,C
88,30430,296.21802,-14.92573,17.67,,16.56,,15.86,,C
89,12400,296.17468,-14.79389,18,,16.75,,15.88,,C
90,30583,296.30014,-14.87872,18.37,,17.07,,15.88,,C
91,20375,296.18277,-14.74815,18.03,,16.62,,15.59,,C
92,20657,296.22934,-14.65254,17.98,,16.59,,15.56,,C
93,20588,296.29919,-14.69143,17.56,,16.22,,15.16,,C
94,40363,296.23649,-14.85697,19.18,,17.73,,16.32,,C
95,,296.22287,-14.71018,17.6,,16.76,,16.37,,C
96,,296.22888,-14.72012,17.5,,16.56,,16.3,,C
97,,296.22033,-14.72841,18.26,,17.25,,17.15,,C
98,,296.12738,-14.73369,17.56,,16.81,,16.41,,C
99,,296.31088,-14.73645,17.18,,16.31,,15.91,,C
100,,296.28564,-14.74075,16.67,,15.62,,15.09,,C
101,,296.18609,-14.7787,16.72,,15.9,,15.54,,C
102,,296.24578,-14.7865,17.58,,16.73,,16.46,,C
103,,296.23651,-14.79789,17.25,,16.52,,16.22,,C
104,,296.22512,-14.86821,17.31,,16.58,,16.32,,C
105,,296.21267,-14.87307,17.66,,16.8,,16.47,,C
106,,296.117004,-14.632751,16.46,,15.59,,15.26,,C
107,,296.233887,-14.671288,17.14,,16.26,,16.01,,C
108,,295.968842,-14.682981,16.82,,16.02,,15.68,,C
109,,296.259827,-14.684196,17.31,,16.47,,16.21,,C
110,,296.411377,-14.685686,17.47,,16.58,,16.11,,C
111,,296.156006,-14.687428,17.31,,16.25,,15.68,,C
112,,296.179413,-14.688039,17.24,,16.35,,16.08,,C
113,,296.248596,-14.689795,17.26,,16.43,,16.11,,C
114,,295.969452,-14.694445,17.32,,16.4,,16.13,,C
115,,296.350922,-14.720666,17.05,,16.13,,15.75,,C
116,,296.375854,-14.73088,16.15,,15.33,,15.03,,C
117,,296.436554,-14.743853,17.45,,16.68,,16.56,,C
118,,296.485382,-14.756809,16.74,,15.93,,15.63,,C
119,,296.131714,-14.759347,17.37,,16.47,,16.18,,C
120,,296.112915,-14.776258,17.35,,16.46,,15.92,,C
121,,296.152313,-14.788395,17.14,,16.3,,15.98,,C
122,,296.283356,-14.789384,17.47,,16.75,,16.45,,C
123,,296.374786,-14.798067,17.73,,16.79,,16.55,,C
124,,296.170349,-14.798781,17.4,,16.44,,15.76,,C
125,,296.073059,-14.801702,17.62,,16.74,,16.46,,C
126,,296.160095,-14.802064,17.38,,16.61,,16.35,,C
127,,296.338257,-14.808908,17.41,,16.5,,16.05,,C
128,,296.100708,-14.828527,16.72,,15.96,,15.64,,C
129,,296.129822,-14.832311,17.56,,16.74,,16.49,,C
130,,296.084503,-14.832314,17.5,,16.6,,16.15,,C
131,,296.434357,-14.834667,17.48,,16.72,,16.32,,C
132,,296.30838,-14.840508,17.25,,16.46,,16.08,,C
133,,296.173828,-14.855554,17.84,,16.97,,16.65,,C
134,,296.080383,-14.858717,16.31,,15.7,,15.29,,C
135,,296.28244,-14.868937,17.48,,16.72,,16.55,,C
136,,296.236908,-14.87212,18.02,,17.07,,16.82,,C
