Ra(J2000) deg,Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,selected_Z
296.257843,-14.793209,C,C,0.029100192,89.99,89.99,17.71,89.99,17.14,89.99,16.81,89.99,16.46,0.05,16.51,0.06,16.42,0.13,15.69,0.08,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,0.9000000000000021,0.011520000000000197,1.0268807201839918,9.84916,7065778192.0601015,5.4412767868079746,276233.7802763438,0.003
296.256256,-14.807403,C,C,0.026874613,20.286,0.023,17.224,89.99,16.327,89.99,15.476095029078124,89.99,14.97,0.04,15.02,0.03,14.72,0.07,13.48,0.08,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.2616325480194239,1.826554133985219,9.169101561285188,1476051672.7700596,6.401571589753523,2520992.7096077837,0.006
296.213776,-14.783867,C,C,0.024086614,20.232,0.023,17.69,89.99,17.08,89.99,16.65,89.99,16.26,0.04,16.31,0.04,16.36,0.08,15.61,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.0400000000000027,0.04473815840000017,1.108506281383614,9.7802,6028371389.224656,5.596980770606333,395349.11468321807,0.003
296.23456,-14.7733,LAV,C/O,0.028734135,20.482,0.066,17.8,0.37,16.56,0.32,15.157417357686711,0.27,14.13,0.04,13.91,0.06,13.65,0.03,13.32,0.02,14.768,0.06,14.781,0.105,12.563,89.99,8.845,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.3205124409697877,2.0917628277016385,9.01911529022842,1044997593.275227,6.357599233172962,2278238.7435956793,0.008
296.24246,-14.82114,LAV,C/O,0.023115633,89.99,89.99,19.79,0.74,18.4,0.44,16.183918326957496,0.21,14.64,0.06,14.0,0.06,13.51,0.03,13.23,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.7189999999999994,0.13085288019725638,1.3516146182541664,9.579318798918681,3795935277.740851,6.038531992343373,1092778.1238260313,0.003
296.208191,-14.797331,C,C,0.022236443,20.015,0.02,17.470000000000002,89.99,16.91,89.99,16.38,89.99,15.98,0.05,16.19,0.04,16.05,0.12,15.51,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.0900000000000034,0.09462421106000019,1.243438216448959,9.66383,4611370319.934743,5.8495550508874965,707220.8418560274,0.003
296.22364,-14.77473,O,C/O,0.027680556,19.666,0.214,16.240000000000002,89.99,15.58,89.99,15.06,89.99,14.34,0.04,14.19,0.06,14.03,0.04,13.49,0.03,14.788,0.056,14.733,0.091,12.552,89.99,8.405,89.99,89.99,89.99,89.99,89.99,89.99,1.1800000000000015,0.3385115796199998,2.180276529255728,8.978200000000001,951042664.1573945,6.34319222968769,2203901.749676366,0.008
296.25427,-14.81764,S,C/O,0.029052948,20.558,0.041,17.970000000000002,0.07,17.25,0.1,16.63,0.05,15.92,0.03,15.68,0.05,15.7,0.06,14.84,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.3400000000000034,0.04843342156000019,1.1179784225330252,9.77158,5909898198.965728,5.614647280994466,411762.963575348,0.003
296.234558,-14.767653,C,C,0.034321009,19.51,0.025,16.76,89.99,16.04,89.99,15.549999999999999,89.99,15.07,0.05,15.17,0.04,15.16,0.04,15.03,0.09,15.124,0.07,16.099,0.284,12.506,89.99,8.891,89.99,22.305,0.053,23.036,21.457,20.745,1.2100000000000026,0.24797763220000024,1.770017793393115,9.2232,1671860357.204467,6.40341389487033,2531709.6376564256,0.006
296.259552,-14.815343,C,C,0.032561812,20.113,0.039,17.228,89.99,16.335,89.99,15.647,89.99,14.97,0.03,15.11,0.03,15.03,0.05,14.73,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,1.5810000000000013,0.23005560587399998,1.698461104840674,9.294204,1968810876.8714094,6.395294302513042,2484816.3870608686,0.006
