Ra(J2000) deg	Dec(J2000) deg	J	eJ	Ks	eKs
295.9695	-14.6944	17.32	0.00	16.13	0.00
296.2868	-14.6973	17.18	0.00	16.17	0.00
296.3308	-14.7071	15.97	0.00	14.94	0.00
296.3509	-14.7207	17.05	0.00	15.75	0.00
296.3759	-14.7309	16.15	0.00	15.03	0.00
296.4366	-14.7439	17.45	0.00	16.56	0.00
296.2347	-14.7504	17.23	0.00	16.24	0.00
296.4854	-14.7568	16.74	0.00	15.63	0.00
296.1317	-14.7593	17.37	0.00	16.18	0.00
296.1129	-14.7763	17.35	0.00	15.92	0.00
296.1523	-14.7884	17.14	0.00	15.98	0.00
296.2834	-14.7894	17.47	0.00	16.45	0.00
296.3195	-14.7898	16.99	0.00	15.58	0.00
296.3748	-14.7981	17.73	0.00	16.55	0.00
296.1703	-14.7988	17.40	0.00	15.76	0.00
296.0731	-14.8017	17.62	0.00	16.46	0.00
296.1601	-14.8021	17.38	0.00	16.35	0.00
296.3383	-14.8089	17.41	0.00	16.05	0.00
296.2390	-14.8196	17.84	0.00	16.83	0.00
296.1007	-14.8285	16.72	0.00	15.64	0.00
296.1298	-14.8323	17.56	0.00	16.49	0.00
296.0845	-14.8323	17.50	0.00	16.15	0.00
296.4344	-14.8347	17.48	0.00	16.32	0.00
296.3084	-14.8405	17.25	0.00	16.08	0.00
296.1738	-14.8556	17.84	0.00	16.65	0.00
296.0804	-14.8587	16.31	0.00	15.29	0.00
296.2824	-14.8689	17.48	0.00	16.55	0.00
296.2369	-14.8721	18.02	0.00	16.82	0.00
296.0966	-14.8814	17.98	0.00	17.03	0.00
296.2614	-14.8837	17.94	0.00	16.79	0.00
296.4312	-14.8894	17.33	0.00	16.18	0.00
296.1631	-14.8945	16.75	0.00	15.44	0.00
296.1186	-14.8987	16.89	0.00	15.73	0.00
296.2510	-14.9064	17.96	0.00	16.77	0.00
296.3538	-14.9124	17.22	0.00	15.96	0.00
296.2239	-14.9224	17.22	0.00	15.81	0.00
296.1577	-14.9291	99.99	0.00	16.12	0.00
296.3325	-14.9511	17.76	0.00	16.48	0.00
296.0345	-14.9513	17.57	0.00	16.39	0.00
296.3458	-14.9601	16.91	0.00	15.72	0.00
296.3379	-14.9886	16.73	0.00	15.19	0.00
296.2813	-14.9887	17.16	0.00	16.07	0.00
296.2045	-14.6743	18.32	0.00	17.28	0.00
296.2471	-14.7230	18.13	0.00	17.03	0.00
296.2444	-14.7547	17.25	0.00	16.22	0.00
296.3509	-14.7571	16.98	0.00	15.85	0.00
296.2346	-14.7677	16.96	0.00	15.62	0.00
296.2904	-14.7745	17.63	0.00	16.69	0.00
296.2784	-14.7801	17.65	0.00	15.76	0.00
296.3523	-14.7807	17.09	0.00	15.76	0.00
296.2290	-14.7813	17.61	0.00	15.94	0.00
296.2138	-14.7839	17.89	0.00	16.72	0.00
296.2578	-14.7932	17.91	0.00	16.88	0.00
296.2082	-14.7973	17.67	0.00	16.45	0.00
296.1843	-14.7992	17.83	0.00	16.78	0.00
296.2741	-14.8002	17.57	0.00	16.40	0.00
296.2513	-14.8031	17.41	0.00	16.15	0.00
296.4049	-14.8125	99.99	0.00	16.16	0.00
296.1913	-14.8187	16.95	0.00	15.64	0.00
296.2126	-14.8249	17.39	0.00	16.25	0.00
296.1830	-14.8289	17.60	0.00	16.58	0.00
296.2331	-14.8307	17.39	0.00	16.31	0.00
296.2415	-14.8462	18.41	0.00	16.36	0.00
296.2348	-14.8626	17.71	0.00	16.68	0.00
296.1536	-14.8867	18.00	0.00	16.92	0.00
296.1837	-14.9621	18.24	0.00	16.82	0.00
296.3583	-13.8970	17.58	0.00	16.62	0.00
296.3300	-13.9385	17.49	0.00	16.70	0.00
296.0793	-13.9738	17.74	0.00	16.90	0.00
296.3969	-13.9879	17.15	0.00	16.30	0.00
296.6521	-14.0153	18.33	0.00	17.32	0.00
296.7117	-14.0327	18.29	0.00	17.35	0.00
296.4843	-14.1542	18.15	0.00	16.43	0.00
295.6043	-14.1601	17.65	0.00	16.73	0.00
296.4927	-14.1743	17.46	0.00	16.57	0.00
296.0687	-14.2288	17.94	0.00	17.00	0.00
295.5253	-14.2302	17.56	0.00	16.77	0.00
296.9797	-14.2425	17.83	0.00	16.91	0.00
296.4613	-14.2566	17.03	0.00	16.12	0.00
295.5885	-14.2705	17.46	0.00	16.56	0.00
295.4625	-14.2837	17.55	0.00	16.63	0.00
295.5710	-14.2838	17.75	0.00	16.86	0.00
295.8087	-14.3808	17.90	0.00	17.08	0.00
296.8211	-14.4041	17.67	0.00	16.79	0.00
297.1003	-14.4324	18.51	0.00	17.34	0.00
296.7871	-14.4885	17.80	0.00	16.77	0.00
297.0240	-14.4918	17.85	0.00	17.02	0.00
296.8004	-14.5496	17.48	0.00	16.57	0.00
295.4092	-14.5679	18.05	0.00	17.14	0.00
297.0727	-14.5825	17.77	0.00	16.86	0.00
296.8530	-14.5907	18.26	0.00	17.34	0.00
296.8130	-14.6120	18.19	0.00	17.19	0.00
297.1115	-14.6241	17.25	0.00	16.37	0.00
296.9113	-14.6362	17.79	0.00	16.91	0.00
297.1484	-14.6712	17.74	0.00	16.82	0.00
295.6097	-14.7429	17.68	0.00	16.69	0.00
295.5161	-14.7470	16.85	0.00	15.87	0.00
295.5591	-14.8014	17.60	0.00	16.65	0.00
295.5279	-14.8036	17.05	0.00	16.12	0.00
295.6219	-14.8043	17.94	0.00	16.95	0.00
295.5125	-14.8268	17.85	0.00	17.01	0.00
295.5244	-14.8552	18.01	0.00	17.11	0.00
295.5359	-14.8730	17.77	0.00	16.99	0.00
295.6212	-14.8859	18.13	0.00	17.13	0.00
295.5475	-14.8869	17.05	0.00	16.13	0.00
295.5406	-14.9339	17.48	0.00	16.64	0.00
295.6393	-14.9802	17.65	0.00	16.77	0.00
295.4047	-15.0152	16.36	0.00	15.48	0.00
295.7205	-15.1256	17.63	0.00	16.07	0.00
295.6402	-15.1297	16.22	0.00	15.26	0.00
295.4173	-15.1719	17.02	0.00	16.09	0.00
295.4059	-15.1896	16.94	0.00	16.03	0.00
296.7679	-15.2044	15.14	0.00	14.22	0.00
295.7998	-15.2294	17.06	0.00	16.16	0.00
295.4782	-15.2320	17.00	0.00	16.15	0.00
295.7770	-15.2414	18.24	0.00	17.25	0.00
295.7434	-15.2578	18.33	0.00	17.29	0.00
295.4917	-15.2713	17.58	0.00	16.68	0.00
295.8729	-15.2897	17.27	0.00	16.29	0.00
295.5349	-15.3035	17.08	0.00	16.18	0.00
295.4992	-15.3044	17.58	0.00	16.75	0.00
295.8791	-15.3090	17.90	0.00	16.88	0.00
295.7940	-15.3291	17.83	0.00	16.78	0.00
295.9490	-15.3295	18.11	0.00	17.07	0.00
295.5762	-15.3334	16.93	0.00	16.05	0.00
295.8978	-15.3378	17.39	0.00	16.39	0.00
295.5370	-15.3580	17.10	0.00	16.11	0.00
295.9666	-15.3582	18.35	0.00	17.07	0.00
296.0117	-15.3746	17.91	0.00	17.16	0.00
295.5169	-15.3809	17.16	0.00	16.24	0.00
296.3424	-15.3862	18.09	0.00	17.22	0.00
295.6490	-15.3953	17.62	0.00	16.70	0.00
296.1232	-15.4553	17.35	0.00	16.47	0.00
296.1823	-15.4562	17.68	0.00	16.80	0.00
296.0191	-15.4688	18.21	0.00	16.65	0.00
295.5879	-15.4876	17.33	0.00	16.51	0.00
295.7729	-15.5140	17.73	0.00	16.74	0.00
296.7812	-15.5675	17.99	0.00	17.12	0.00
296.5385	-15.5763	17.82	0.00	16.87	0.00
296.1903	-14.6418	17.59	0.00	16.40	0.00
296.3261	-14.6662	17.58	0.00	16.51	0.00
