Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
10870,296.17892,-14.82286,17.52,0.04,16.53,0.04,16.19,0.05,S
10784,296.21545,-14.83469,17.45,0.03,16.53,0.04,16.2,0.06,S
11004,296.27341,-14.80861,17.6,0.03,16.62,0.03,16.27,0.05,S
11029,296.28308,-14.80497,17.46,0.03,16.55,0.02,16.22,0.05,S
12050,296.25427,-14.81764,18.17,0.07,17.25,0.1,16.7,0.05,S
30528,296.19156,-14.89296,17.76,0.06,16.85,0.04,16.51,0.1,S
10326,296.25522,-14.82579,16.82,0.03,15.86,0.03,15.52,0.02,S
10293,296.29922,-14.8365,17.87,0.88,16.35,0.72,14.98,0.07,L
10310,296.19168,-14.82965,18.32,0.31,16.8,0.19,15.67,0.1,L
10371,296.28415,-14.81194,17.33,0.16,15.94,0.12,15.04,0.07,L
10501,296.23456,-14.7733,18,0.37,16.56,0.32,15.48,0.27,L
10968,296.20154,-14.81282,19.18,0.6,17.3,0.3,15.91,0.2,L
11391,296.18323,-14.76308,18.39,0.32,16.94,0.18,15.82,0.14,L
11401,296.27222,-14.76143,18.09,0.24,16.73,0.17,15.62,0.07,L
11403,296.22778,-14.76111,18.35,0.34,17.01,0.15,16.18,0.09,L
11991,296.27774,-14.82287,18.46,0.18,17.17,0.22,16.13,0.2,L
12070,296.24905,-14.81619,17.49,0.09,16.92,0.21,15.98,0.27,L
12660,296.25348,-14.76936,18.38,0.35,16.83,0.3,15.54,0.27,L
12711,296.24728,-14.76419,18.94,1.05,17.79,0.92,16.8,0.63,L
13390,296.24246,-14.82114,19.99,0.74,18.4,0.44,16.77,0.21,L
14105,296.17993,-14.75767,19.23,0.39,17.44,0.33,15.98,0.26,L
20438,296.27051,-14.73481,19.39,0.38,17.7,0.27,16.08,0.21,L
20608,296.18378,-14.68249,19.57,1.4,17.64,0.95,16.06,0.67,L
20614,296.2677,-14.68061,19.6,1.62,17.6,0.76,16.3,0.53,L
21316,296.17764,-14.6424,18.63,0.79,17.47,0.64,16.42,0.45,L
30767,296.26511,-14.96155,18.07,0.4,17.09,0.3,16.45,0.2,L
30924,296.21112,-14.91074,19.46,0.36,17.55,0.2,16.25,0.13,L
30961,296.30179,-14.90356,19.75,0.26,17.75,0.18,15.96,0.44,L
40030,296.18011,-14.75091,17.02,0.16,16.27,0.2,15.81,0.12,L
40275,296.22681,-14.75065,17.13,0.34,15.92,0.29,15.11,0.28,L
40327,296.23346,-14.74996,17.71,0.18,16.93,0.23,16.52,0.18,L
40419,296.24622,-14.86655,17.98,0.08,16.67,0.06,15.79,0.08,L
40493,296.26105,-14.73764,18.29,0.15,16.78,0.16,15.38,0.19,L
40538,296.2731,-14.75146,17.31,0.16,16.57,0.17,15.96,0.2,L
12557,296.18398,-14.78018,18.23,,17.51,,17.12,,O
11226,296.25229,-14.78475,17.49,,16.54,,16.08,,O
20331,296.20415,-14.63486,16.58,,15.91,,15.46,,O
10184,296.22364,-14.77473,16.44,,15.58,,15.13,,O
30133,296.21816,-14.88035,16.3,,15.53,,15.09,,O
20134,296.21322,-14.68097,16.35,,15.55,,15.07,,O
40139,296.20428,-14.74271,15.25,,14.32,,13.92,,O
10198,296.25088,-14.76786,15.5,,14.68,,14.19,,O
30292,296.18801,-14.87231,15.88,,15.19,,14.68,,O
10091,296.26702,-14.76311,15.46,,14.67,,14.18,,O
20004,296.21293,-14.73224,13.72,,12.97,,12.57,,O
10817,296.23639,-14.83054,17.7,,16.76,,16.04,,Unknown
12751,296.21027,-14.75973,17.89,,16.91,,16.29,,Unknown
11032,296.18048,-14.80431,18.2,,16.91,,15.94,,Unknown
10748,296.17438,-14.83893,18.58,,17.16,,16.11,,Unknown
12208,296.23352,-14.80653,17.87,,16.61,,15.62,,Unknown
21419,296.27563,-14.74923,19.93,,18.27,,16.57,,Unknown
13364,296.19489,-14.82267,18.1,,16.85,,15.86,,Unknown
20239,296.22632,-14.72554,18.04,,16.71,,15.66,,Unknown
20558,296.19647,-14.70265,18.21,,16.6,,15.31,,Unknown
20840,296.30347,-14.74166,18.7,,17.18,,15.98,,Unknown
12466,296.17462,-14.78854,18.42,,17.09,,16.03,,Unknown
40114,296.19916,-14.8616,20.21,,18.61,,16.99,,Unknown
11059,296.21259,-14.80142,18.38,,16.9,,15.79,,Unknown
11296,296.21729,-14.77647,18.37,,16.99,,15.78,,Unknown
30928,296.22229,-14.90997,18.95,,17.42,,16.28,,Unknown
13106,296.24048,-14.84939,19.1,,17.38,,15.96,,Unknown
11305,296.17957,-14.77527,18.02,,16.56,,15.45,,Unknown
30920,296.24246,-14.91158,18.95,,17.21,,15.86,,Unknown
11140,296.22876,-14.79337,18.75,,17.25,,15.93,,Unknown
20439,296.2464,-14.73473,19.15,,17.32,,15.77,,Unknown
10753,296.24295,-14.83836,18.4,,17.06,,15.88,,Unknown
40520,296.26687,-14.74039,18.41,,16.86,,15.51,,Unknown
31168,296.23883,-14.87026,19.49,,17.5,,15.82,,Unknown
21671,296.26569,-14.72024,19.78,,17.78,,16.16,,Unknown
11174,296.21774,-14.78943,19.12,,17.42,,15.9,,Unknown
20569,296.29114,-14.6977,19.24,,17.62,,16.03,,Unknown
12445,296.21661,-14.79057,20.26,,18.34,,16.43,,Unknown
21141,296.29965,-14.69757,18.16,,16.62,,15.42,,Unknown
21234,296.28125,-14.67393,20.16,,18.21,,16.25,,Unknown
12147,296.28897,-14.81087,19.93,,17.89,,16.24,,Unknown
11299,296.25732,-14.77645,19.06,,17.3,,15.73,,Unknown
13293,296.25696,-14.83051,20.3,,18.37,,16.42,,Unknown
21029,296.19858,-14.71837,19.11,,17.07,,15.55,,Unknown
40102,296.19682,-14.75119,19.69,,17.43,,15.69,,Unknown
12177,296.28424,-14.80892,20.5,,18.1,,16.1,,Unknown
10807,296.21631,-14.83196,20.37,,18,,15.89,,Unknown
40623,296.29793,-14.74687,20.4,,18.08,,16.11,,Unknown
30268,296.25891,-14.88796,16.73,,15.44,,14.45,,Unknown
20540,296.18011,-14.71067,17.88,,16.89,,16.39,,C
40590,296.28567,-14.73952,18.01,,17.04,,16.39,,C
20578,296.29065,-14.69641,17.8,,16.82,,16.14,,C
20542,296.17703,-14.71031,17.84,,16.76,,16.02,,C
30430,296.21802,-14.92573,17.67,,16.56,,15.86,,C
12400,296.17468,-14.79389,18,,16.75,,15.88,,C
30583,296.30014,-14.87872,18.37,,17.07,,15.88,,C
20375,296.18277,-14.74815,18.03,,16.62,,15.59,,C
20657,296.22934,-14.65254,17.98,,16.59,,15.56,,C
20588,296.29919,-14.69143,17.56,,16.22,,15.16,,C
40363,296.23649,-14.85697,19.18,,17.73,,16.32,,C
10032.0,296.22696,-14.80191,14.48,,13.66,,13.34,,s
10074.0,296.24005,-14.80796,14.74,,13.94,,13.66,,s
20022.0,296.20816,-14.72616,14.09,,13.21,,12.83,,s
40397.0,296.24301,-14.74652,14.1,,13.3,,12.99,,s
,296.22287,-14.71018,17.6,,16.76,,16.37,,Ce  
,296.22888,-14.72012,17.5,,16.56,,16.3,,Ce  
,296.22033,-14.72841,18.26,,17.25,,17.15,,Ce  
,296.12738,-14.73369,17.56,,16.81,,16.41,,Ce  
,296.31088,-14.73645,17.18,,16.31,,15.91,,Ce  
,296.28564,-14.74075,16.67,,15.62,,15.09,,Ce: 
,296.18609,-14.7787,16.72,,15.9,,15.54,,Ce  
,296.24578,-14.7865,17.58,,16.73,,16.46,,Ce: 
,296.23651,-14.79789,17.25,,16.52,,16.22,,Ce  
,296.22512,-14.86821,17.31,,16.58,,16.32,,Ce  
,296.21267,-14.87307,17.66,,16.8,,16.47,,Ce  
,295.98809,-13.95111,18.11,,17.36,,17.12,,dMe:
,295.96771,-13.98843,17.87,,17.09,,16.91,,dMe 
,295.95544,-14.21816,18.09,,17.36,,17.22,,dMe:
,295.95578,-14.27512,18.01,,17.29,,17.19,,Uncl
,296.117004,-14.632751,16.46,,15.59,,15.26,,C:  
,296.233887,-14.671288,17.14,,16.26,,16.01,,C   
,295.968842,-14.682981,16.82,,16.02,,15.68,,C   
,296.259827,-14.684196,17.31,,16.47,,16.21,,C   
,296.411377,-14.685686,17.47,,16.58,,16.11,,C:  
,296.156006,-14.687428,17.31,,16.25,,15.68,,Ce: 
,296.179413,-14.688039,17.24,,16.35,,16.08,,C   
,296.248596,-14.689795,17.26,,16.43,,16.11,,C   
,295.969452,-14.694445,17.32,,16.4,,16.13,,C   
,296.286774,-14.697333,17.18,,16.4,,16.17,,dK  
,296.33078,-14.707144,15.97,,15.27,,14.94,,dM: 
,296.350922,-14.720666,17.05,,16.13,,15.75,,C   
,296.375854,-14.73088,16.15,,15.33,,15.03,,C   
,296.436554,-14.743853,17.45,,16.68,,16.56,,C   
,296.234741,-14.750431,17.23,,16.46,,16.24,,Uncl
,296.485382,-14.756809,16.74,,15.93,,15.63,,C:  
,296.131714,-14.759347,17.37,,16.47,,16.18,,Ce  
,296.112915,-14.776258,17.35,,16.46,,15.92,,C   
