Id-main,Ra(J2000) deg,Dec(J2000) deg,J,Ks,Types,DCG,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
10870.0,296.17892,-14.82286,17.32,16.12,S,0.0553008363408852,1.1999999999999993,0.06312999999999969,1.156458360078207,9.75900681,5741254647.710823,5.7290017845280765,535798.8591211974
10784.0,296.21545,-14.83469,17.25,16.13,S,0.0360835544258221,1.120000000000001,0.06152000000000002,1.1521791184133292,9.76426024,5811125302.1953,5.721116536509998,526158.4342945546
11004.0,296.27341,-14.80861,17.400000000000002,16.2,S,0.0439612522569536,1.2000000000000028,0.05025000000000013,1.122664525980235,9.801034249999999,6324617275.798793,5.6648629615932435,462235.1435095692
11029.0,296.28308,-14.80497,17.26,16.15,S,0.0531824820781841,1.110000000000003,0.05830000000000024,1.1436680799117083,9.774767099999998,5953427921.966273,5.705230885437695,507260.3131111088
12050.0,296.25427,-14.81764,17.970000000000002,16.63,S,0.0290529482152862,1.3400000000000034,-0.030399999999999983,0.9323951375406332,10.0641952,11592983026.324972,5.219061910577754,165600.6017544092
30528.0,296.19156,-14.89296,17.560000000000002,16.44,S,0.0990530044976071,1.120000000000001,0.0037999999999995815,1.0087882149492684,9.952600600000002,8966038512.674446,5.415949027527393,260584.76877313762
10326.0,296.25522,-14.82579,16.62,15.45,S,0.0348973179485115,1.1700000000000017,0.21899999999999986,1.6557699634695275,9.285785,1931012121.6104107,6.288761687210977,1944292.8863640327
10293.0,296.29922,-14.8365,17.67,14.552613926538918,LAV,0.0774889495347318,1.726,0.4782380750336781,3.007724649415948,8.614803342630129,411910955.206593,5.841396173928913,694058.6544118166
10310.0,296.19168,-14.82965,18.12,15.325566206645938,LAV,0.0474478956329991,1.726,0.24513109660435273,1.7584543427906938,9.220849224938183,1662835259.6248243,6.339265996505692,2184067.1988505526
10371.0,296.28415,-14.81194,17.13,14.81999462680647,LAV,0.0551152918889052,1.726,0.3804116495704135,2.4011077503251435,8.884677050817523,766791077.6767353,6.271448942084026,1868310.0161102456
10501.0,296.23456,-14.7733,17.8,15.180498691703908,LAV,0.028734134752932,1.726,0.27559527474217904,1.8862327224460251,9.145145742265685,1396837038.5277925,6.373255250453199,2361865.978726261
10968.0,296.20154,-14.81282,18.98,15.351272816369468,LAV,0.0305662248241381,1.726,0.23973270856241147,1.736731608693014,9.234264219222407,1715000374.5311735,6.330413920615122,2140000.7256577257
11391.0,296.18323,-14.76308,18.19,15.503216966681611,LAV,0.0606351465736124,1.726,0.20782443699686137,1.613706086280616,9.3135562740628,2058525608.401427,6.2613976523731605,1825566.4778599571
11401.0,296.27222,-14.76143,17.89,15.337780416726202,LAV,0.0583248317614268,1.726,0.24256611248749715,1.7480993546789116,9.22722321046857,1687420070.8274348,6.335164272077693,2163536.7276876033
11403.0,296.22778,-14.76111,18.150000000000002,16.001470766859978,LAV,0.0406207090041525,1.726,0.08221320653554343,1.2084069281221832,9.696738307074522,4974372537.733364,5.819397060257722,659776.8304650247
11991.0,296.27774,-14.82287,18.26,15.89616924678863,LAV,0.0522355013376701,1.726,0.09908813412028117,1.2562848836482778,9.641675418365523,4382030725.359134,5.894273312723993,783922.8304275994
12070.0,296.24905,-14.81619,17.29,15.91,LAV,0.0239527221834963,1.379999999999999,0.09533999999999976,1.2454892975217184,9.65390558,4507187030.972777,5.878076242280167,755224.7990178127
12660.0,296.25348,-14.76936,18.18,15.129895651561212,LAV,0.0399405370519755,1.726,0.28527203497070763,1.9287326615342772,9.121098993097792,1321596844.6824305,6.378243364347783,2389149.708813298
12711.0,296.24728,-14.76419,18.740000000000002,16.531250494830502,LAV,0.041271646441583,1.726,-0.012625089069490558,0.9713481356005802,10.006195665633747,10143682930.180105,5.322547978767121,210158.9929777612
13390.0,296.24246,-14.82114,19.79,16.228554541391762,LAV,0.0231156332381227,1.726,0.04565271883592614,1.1108430925398407,9.816035178438373,6546892026.273513,5.641404409152816,437929.7095786386
14105.0,296.17993,-14.75767,19.03,15.428185506378385,LAV,0.0666558692089493,1.726,0.22358104366053877,1.6733278668522165,9.27440110650356,1881053321.4952474,6.298995770569164,1990653.9526616423
20438.0,296.27051,-14.73481,19.19,15.507447436351628,LAV,0.0781749301246804,1.726,0.20693603836615782,1.6104084414196047,9.315763944660098,2069016455.0622995,6.259078249674788,1815842.8055647875
20608.0,296.18378,-14.68249,19.37,15.418320536262444,LAV,0.1278286384187851,1.726,0.22565268738488653,1.6813289362016877,9.269253071848556,1858887349.392747,6.303433709369386,2011100.2008031497
20614.0,296.2677,-14.68061,19.400000000000002,15.73090378135609,LAV,0.1267943752695596,1.726,0.14387507525249932,1.392756119215182,9.495535629451094,3129937240.5905757,6.066697243100903,1165996.4900883425
21316.0,296.17764,-14.6424,18.43,16.227645386842145,LAV,0.1676559050555692,1.726,0.04579909271841465,1.1112175523294403,9.815557560459812,6539695999.902235,5.642155721484388,438687.96639886446
30767.0,296.26511,-14.96155,17.87,16.38,LAV,0.1636897263116979,1.490000000000002,0.014599999999999946,1.0341892044331928,9.9173602,8267233423.325841,5.475993288624147,299221.8395962047
30924.0,296.21112,-14.91074,19.26,15.712010886396222,LAV,0.1106920019694336,1.726,0.14899504978662392,1.4092727350344896,9.478829152546247,3011820968.445592,6.08373306361374,1212643.2777535392
30961.0,296.30179,-14.90356,19.55,15.221542876137589,LAV,0.1246409892450918,1.726,0.266975996011106,1.8491664104570764,9.166564649912402,1467454518.7531235,6.36642989789261,2325037.157227531
40030.0,296.18011,-14.75091,16.82,15.74,LAV,0.0711729562404184,1.08,0.14141000000000004,1.3848731652379223,9.50357917,3188446762.73312,6.058288488505164,1143637.7660227125
40275.0,296.22681,-14.75065,16.93,14.983315941926868,LAV,0.0511196293022558,1.726,0.33027200582845095,2.1393015499952988,9.0092740655163,1021583960.2633057,6.363405340064109,2308901.1500708284
40327.0,296.23346,-14.74996,17.51,16.45,LAV,0.0518256278302513,1.0600000000000023,0.0020000000000000018,1.0046157902783952,9.958474,9088118894.024975,5.405830848328161,254583.8490707958
40419.0,296.24622,-14.86655,17.78,15.60455807685106,LAV,0.066876773247513,1.726,0.1781147611733629,1.507005235742457,9.387384818484193,2439971864.4948807,6.1726996831505305,1488331.5329375565
40493.0,296.26105,-14.73764,18.09,14.94570123653,LAV,0.0711613898121688,1.726,0.3418197203852893,2.1969477103703157,8.980577994842557,956264414.8982775,6.349323869982755,2235238.5041745575
40538.0,296.2731,-14.75146,17.11,15.89,LAV,0.0661713994109114,1.2199999999999989,0.10075999999999974,1.2611304155644576,9.63622012,4327331040.849994,5.901415666414909,796921.7251150975
12557.0,296.18398,-14.78018,18.03,17.05,O,0.0507903583369902,0.9800000000000004,-0.10600000000000032,0.7834296427662112,10.310878,20458698396.875942,4.76263715756504,57894.480006953905
11226.0,296.25229,-14.78475,17.29,16.009999999999998,O,0.0279844689068754,1.2800000000000011,0.08084000000000024,1.2045920704938202,9.70121908,5025960603.399045,5.813088389328055,650262.0207708834
20331.0,296.20415,-14.63486,16.38,15.39,O,0.168801062200448,0.9899999999999984,0.23159999999999958,1.7045117524684723,9.254474000000002,1796693513.9214404,6.3155104822642345,2067809.2905936104
10184.0,296.22364,-14.77473,16.240000000000002,15.06,O,0.0276805563527967,1.1800000000000015,0.3067299999999995,2.0264225050573716,9.067775950000001,1168896208.6812494,6.379052819672907,2393606.8534567067
30133.0,296.21816,-14.88035,16.1,15.02,O,0.079565872080938,1.0800000000000018,0.31900999999999957,2.084538880826218,9.037260150000002,1089582576.9336662,6.373068090405429,2360848.347301023
20134.0,296.21322,-14.68097,16.150000000000002,15.0,O,0.1218608156874111,1.1500000000000021,0.32514999999999983,2.114219139166676,9.02200225,1051967323.8587308,6.368296994454462,2335054.3550066315
40363.0,296.23649,-14.85697,18.98,15.902982961552295,C,0.0556795303500298,1.726,0.09724161741932802,1.2509547986883343,9.647700602360732,4443248494.010087,5.886325579685151,769707.2542797725
10198.0,296.25088,-14.76786,15.3,14.12,O,0.0397377717039968,1.1800000000000015,0.6396999999999999,4.362144019080488,8.1700278,147920307.1685938,5.078273296884094,119749.38643632673
30292.0,296.18801,-14.87231,15.680000000000001,14.61,O,0.0821776715416054,1.070000000000002,0.4571200000000002,2.86496948087249,8.674292959999999,472381586.05180997,5.958737473224221,909363.405150823
10091.0,296.26702,-14.76311,15.260000000000002,14.11,O,0.0534542234065639,1.1500000000000021,0.6436000000000002,4.401492842868152,8.1613464,144992787.73666066,5.072801444961308,118250.08047298169
20004.0,296.21293,-14.73224,13.520000000000001,12.5,O,0.0714976209394527,1.0200000000000014,1.2236999999999996,16.73786266001991,7.0891102,12277507.270940255,5.373618685548198,236384.331043986
