Gc,logAg,e [M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,U,B,V,R,I,J,H,K,Mact
1,8.95,0.27,0.17309,-2.426,3.509,5.085,10.3,0.723,0.77,20.68,27.234,25.487,23.65,22.297,20.625,19.019,18.402,18.085,0.173
1,8.95,0.29,0.10278,-2.994,3.449,5.184,10.7,0.743,0,22.954,31.356,29.01,26.922,25.237,23.143,21.171,20.558,20.215,0.103
1,8.95,0.29,0.2323,-2.139,3.537,5.038,11.5,0.764,0,21.617,27.367,25.807,24.086,22.882,21.472,20.062,19.416,19.124,0.232
1,8.95,0.31,0.64425,-1.046,3.625,4.738,9.9,0.694,0,17.286,21.515,20.226,18.812,17.88,17.033,15.93,15.154,15.007,0.644
1,8.95,0.33,0.82169,-0.591,3.679,4.606,8.4,0.525,0,14.648,17.763,16.753,15.553,14.832,14.245,13.401,12.791,12.689,0.822
1,8.95,0.33,0.13525,-2.695,3.479,5.125,8.8,0.577,0,20.307,27.274,25.369,23.48,22.039,20.237,18.556,17.96,17.64,0.135
1,8.95,0.33,0.49244,-1.42,3.588,4.848,11.9,0.768,0.76,19.777,24.674,23.385,21.895,20.803,19.591,18.287,17.573,17.357,0.492
1,8.95,0.33,0.22191,-2.176,3.535,5.047,12.8,0.77,0,23.011,28.814,27.243,25.513,24.3,22.874,21.453,20.808,20.515,0.222
1,8.95,0.35,0.28401,-1.97,3.548,5,11.9,0.768,0,21.596,27.143,25.625,23.936,22.768,21.432,20.07,19.412,19.126,0.284
1,8.95,0.37,0.67705,-0.962,3.633,4.71,11.1,0.757,0,18.276,22.505,21.207,19.793,18.874,18.053,16.96,16.194,16.05,0.677
1,8.95,0.37,0.98123,-0.209,3.732,4.513,11.3,0.761,0,16.592,19.219,18.549,17.48,16.867,16.336,15.6,15.122,15.027,0.981
1,8.95,0.41,0.17829,-2.393,3.513,5.081,8.7,0.564,0,19.454,25.423,23.793,22.049,20.788,19.251,17.782,17.177,16.882,0.178
1,8.95,0.43,0.33563,-1.824,3.558,4.967,10.5,0.734,0,19.829,25.106,23.683,22.078,20.939,19.635,18.299,17.63,17.368,0.336
1,8.95,0.45,0.10556,-2.959,3.453,5.177,11.3,0.761,0.71,23.249,31.724,29.423,27.339,25.651,23.548,21.464,20.827,20.474,0.106
1,8.95,0.47,0.30687,-1.903,3.553,4.984,9.8,0.686,0.77,18.818,24.242,22.754,21.096,19.94,18.608,17.261,16.612,16.335,0.307
1,8.97,-0.45,0.46544,-1.383,3.615,4.895,12.3,0.769,0.75,20.093,24.352,23.176,21.699,20.72,19.863,18.748,18.034,17.839,0.465
1,8.97,-0.43,0.15416,-2.483,3.521,5.141,11.4,0.763,0,22.378,28.749,26.844,24.929,23.668,22.252,20.822,20.161,19.859,0.154
1,8.97,-0.41,0.10291,-2.966,3.472,5.251,11.5,0.764,0,23.684,31.94,29.342,27.171,25.595,23.704,21.996,21.337,21.032,0.103
1,8.97,-0.39,2.27168,-0.438,4.586,8.016,9.9,0.694,0,15.766,18.927,19.902,20.002,20.013,20.049,20.244,20.297,20.362,0.705
1,8.97,-0.37,0.14259,-2.585,3.509,5.158,10.5,0.734,0,21.732,28.413,26.422,24.473,23.156,21.624,20.131,19.477,19.173,0.143
1,8.97,-0.37,0.28538,-1.879,3.579,5.036,11.1,0.757,0,20.568,25.39,24.041,22.44,21.361,20.334,19.126,18.459,18.221,0.285
1,8.97,-0.37,0.2811,-1.892,3.579,5.039,11.5,0.764,0,21,25.852,24.495,22.887,21.805,20.771,19.558,18.891,18.651,0.281
1,8.97,-0.35,0.2983,-1.844,3.581,5.025,15.4,0.77,0.89,24.143,29.017,27.657,26.048,24.962,23.918,22.698,22.031,21.791,0.298
1,8.97,-0.33,0.65802,-0.885,3.658,4.72,9.4,0.647,0,16.383,19.749,18.781,17.537,16.754,16.089,15.137,14.437,14.309,0.658
1,8.97,-0.31,0.59863,-1.058,3.637,4.769,9.1,0.613,0,16.516,20.185,19.107,17.783,16.929,16.207,15.202,14.47,14.328,0.599
1,8.97,-0.31,0.09554,-3.106,3.45,5.271,9.8,0.686,0,22.334,31.345,28.495,26.27,24.512,22.42,20.554,19.919,19.62,0.096
1,8.97,-0.31,0.12714,-2.725,3.494,5.189,11.4,0.763,0,22.983,30.175,28.04,26.03,24.623,22.939,21.348,20.696,20.385,0.127
1,8.97,-0.29,1.19107,0.38,3.827,4.388,10.8,0.747,0,14.62,16.09,15.999,15.385,14.987,14.598,14.104,13.808,13.743,1.191
1,8.97,-0.29,0.48569,-1.364,3.609,4.871,11.5,0.764,0.87,19.106,23.474,22.259,20.772,19.775,18.877,17.737,17.014,16.821,0.486
1,8.97,-0.27,1.57674,0.986,3.897,4.184,15.2,0.77,0,17.504,18.888,18.681,18.256,17.994,17.73,17.38,17.215,17.155,1.577
1,8.97,-0.25,0.08395,-3.396,3.401,5.309,9.1,0.613,0.88,21.926,33.13,29.682,27.277,25.105,22.622,20.027,19.361,18.999,0.084
1,8.97,-0.25,0.11473,-2.839,3.481,5.207,11.2,0.759,0,23.067,30.663,28.413,26.363,24.876,23.069,21.392,20.748,20.433,0.115
1,8.97,-0.23,2.13811,1.658,3.705,2.875,9.4,0.647,0,10.024,12.644,11.989,10.891,10.275,9.714,8.919,8.366,8.267,2.138
1,8.97,-0.23,0.26389,-1.968,3.567,5.042,10,0.702,0,19.689,24.725,23.301,21.676,20.573,19.441,18.194,17.537,17.286,0.264
1,8.97,-0.23,0.12099,-2.787,3.485,5.195,10.9,0.751,0,22.637,30.03,27.863,25.846,24.39,22.622,20.969,20.328,20.013,0.121
1,8.97,-0.23,0.13062,-2.704,3.493,5.176,11.8,0.767,0,23.329,30.454,28.388,26.405,24.997,23.297,21.687,21.043,20.729,0.131
1,8.97,-0.23,1.85827,1.326,3.899,3.923,13,0.77,0,14.455,15.842,15.595,15.192,14.941,14.687,14.342,14.184,14.123,1.858
1,8.97,-0.21,0.13812,-2.641,3.498,5.158,10,0.702,0,21.372,28.18,26.219,24.289,22.927,21.285,19.724,19.089,18.779,0.138
1,8.97,-0.21,0.67717,-0.868,3.656,4.708,10.3,0.723,0,17.239,20.804,19.77,18.486,17.676,16.99,16.007,15.291,15.16,0.677
1,8.97,-0.21,0.18692,-2.289,3.54,5.107,10.8,0.747,0.86,20.743,26.704,25.005,23.206,21.985,20.596,19.186,18.537,18.241,0.187
1,8.97,-0.21,3.83621,-2.586,4.114,8.335,11.2,0.759,0,22.435,23.971,24.188,24.049,23.954,23.861,23.78,23.74,23.725,0.809
1,8.97,-0.19,0.98829,-0.093,3.761,4.515,12,0.768,0,17.004,19.025,18.732,17.851,17.322,16.827,16.164,15.731,15.645,0.988
1,8.97,-0.17,0.37672,-1.666,3.583,4.957,11.1,0.757,0,20.036,24.809,23.497,21.941,20.87,19.805,18.585,17.903,17.677,0.377
1,8.97,-0.17,0.43019,-1.526,3.592,4.91,12.1,0.769,0.93,20.022,24.691,23.407,21.872,20.82,19.798,18.595,17.896,17.682,0.43
1,8.97,-0.15,0.59958,-1.096,3.629,4.773,7.8,0.443,0,15.311,18.92,17.805,16.486,15.627,14.904,13.918,13.188,13.052,0.6
1,8.97,-0.15,0.18675,-2.3,3.537,5.103,10.6,0.739,0,21.119,26.922,25.281,23.518,22.317,20.954,19.57,18.922,18.631,0.187
1,8.97,-0.15,0.26132,-1.989,3.562,5.039,10.7,0.743,0,20.443,25.662,24.2,22.551,21.427,20.231,18.945,18.284,18.022,0.261
1,8.97,-0.15,1.47247,0.794,3.867,4.224,12,0.768,0,14.785,16.208,16.042,15.532,15.208,14.889,14.48,14.263,14.201,1.472
1,8.97,-0.15,0.22012,-2.135,3.553,5.075,12.3,0.769,0,22.408,27.902,26.348,24.638,23.485,22.229,20.905,20.245,19.964,0.22
1,8.97,-0.15,0.19653,-2.234,3.546,5.094,14.4,0.77,0,24.756,30.428,28.821,27.077,25.9,24.592,23.237,22.58,22.292,0.197
1,8.97,-0.13,0.10007,-3.026,3.456,5.236,9.1,0.613,0,21.436,29.665,27.219,25.133,23.491,21.48,19.642,19.029,18.713,0.1
1,8.97,-0.13,0.42829,-1.538,3.589,4.91,10.3,0.723,0,18.914,23.522,22.249,20.731,19.686,18.664,17.47,16.773,16.564,0.428
1,8.97,-0.13,0.81811,-0.516,3.703,4.624,10.5,0.734,0.98,15.854,18.707,17.973,16.848,16.18,15.592,14.758,14.173,14.066,0.818
1,8.97,-0.13,0.47196,-1.43,3.598,4.878,10.7,0.743,0,19.045,23.52,22.274,20.779,19.761,18.807,17.64,16.915,16.722,0.472
1,8.97,-0.13,0.59037,-1.125,3.625,4.781,11.3,0.761,0,18.883,23.045,21.831,20.404,19.472,18.668,17.574,16.802,16.643,0.59
1,8.97,-0.13,0.11416,-2.855,3.476,5.199,11.6,0.765,0,23.509,31.137,28.955,26.927,25.414,23.548,21.813,21.181,20.856,0.114
1,8.97,-0.13,0.22215,-2.131,3.553,5.072,12.7,0.77,0,22.798,28.303,26.751,25.042,23.887,22.62,21.292,20.632,20.35,0.222
1,8.97,-0.13,1.51505,0.847,3.871,4.201,14.4,0.77,0,17.053,18.472,18.295,17.797,17.482,17.171,16.771,16.564,16.501,1.515
1,8.97,-0.11,0.11679,-2.835,3.477,5.194,8.9,0.589,0,20.757,28.036,25.938,23.977,22.507,20.688,19.011,18.401,18.088,0.117
1,8.97,-0.11,0.10977,-2.896,3.471,5.205,10,0.702,0,22.011,29.698,27.49,25.466,23.931,22.037,20.282,19.66,19.338,0.11
1,8.97,-0.11,0.10924,-2.904,3.47,5.206,10.4,0.729,0,22.429,30.194,27.966,25.929,24.383,22.475,20.706,20.081,19.756,0.109
1,8.97,-0.11,0.82676,-0.501,3.704,4.619,11.6,0.765,0,17.623,20.47,19.752,18.631,17.968,17.381,16.55,15.973,15.866,0.827
1,8.97,-0.11,0.17506,-2.383,3.525,5.11,11.7,0.766,0,22.428,28.508,26.822,25.022,23.774,22.306,20.853,20.212,19.912,0.175
1,8.97,-0.11,0.74093,-0.728,3.672,4.669,14.8,0.77,0,21.391,24.796,23.826,22.581,21.813,21.158,20.213,19.537,19.414,0.741
1,8.97,-0.09,0.64183,-0.999,3.638,4.741,9.5,0.657,0,16.767,20.587,19.44,18.091,17.223,16.486,15.46,14.714,14.574,0.642
1,8.97,-0.09,2.17281,1.625,3.697,2.885,10.2,0.717,0.84,10.543,12.736,12.275,11.417,10.883,10.373,9.619,9.091,8.99,2.173
1,8.97,-0.09,0.274,-1.961,3.561,5.027,10.8,0.747,0,20.474,25.715,24.261,22.617,21.489,20.268,18.97,18.308,18.045,0.274
1,8.97,-0.09,0.13261,-2.701,3.489,5.162,10.9,0.751,0,22.423,29.505,27.531,25.588,24.162,22.41,20.755,20.127,19.807,0.133
1,8.97,-0.09,0.76591,-0.669,3.68,4.656,11.5,0.764,0,17.943,21.212,20.295,19.08,18.339,17.702,16.787,16.135,16.017,0.766
1,8.97,-0.09,0.44228,-1.51,3.589,4.898,11.7,0.766,0,20.246,24.922,23.639,22.115,21.062,20.023,18.813,18.107,17.897,0.442
1,8.97,-0.09,0.21988,-2.146,3.55,5.071,11.8,0.767,0.84,21.374,27.059,25.473,23.74,22.557,21.216,19.843,19.19,18.9,0.22
1,8.97,-0.09,0.18866,-2.296,3.535,5.097,11.9,0.768,0.73,22.02,28.106,26.434,24.644,23.392,21.913,20.438,19.796,19.494,0.189
1,8.97,-0.07,0.82282,-0.527,3.699,4.622,9.2,0.625,0.95,14.67,17.51,16.726,15.597,14.923,14.342,13.512,12.914,12.811,0.823
1,8.97,-0.07,3.65226,-2.618,4.098,8.281,9.8,0.686,0,21.116,22.488,22.68,22.553,22.47,22.387,22.317,22.282,22.269,0.772
1,8.97,-0.07,0.23855,-2.079,3.553,5.052,10,0.702,0,19.969,25.34,23.833,22.16,21.019,19.752,18.439,17.786,17.51,0.239
1,8.97,-0.07,0.24152,-2.068,3.553,5.049,10.2,0.717,0,20.141,25.518,24.012,22.34,21.198,19.931,18.616,17.961,17.686,0.242
1,8.97,-0.07,0.26899,-1.98,3.559,5.029,10.3,0.723,0,20.02,25.271,23.811,22.167,21.038,19.803,18.504,17.846,17.581,0.269
1,8.97,-0.07,0.33578,-1.796,3.571,4.988,10.4,0.729,0.84,19.078,24.144,22.751,21.149,20.04,18.85,17.575,16.912,16.662,0.336
1,8.97,-0.07,0.30002,-1.887,3.565,5.007,10.5,0.734,0,19.988,25.117,23.702,22.086,20.971,19.768,18.485,17.822,17.567,0.3
1,8.97,-0.07,1.933,-2.383,4.514,10.046,10.8,0.747,0,21.527,24.427,25.339,25.397,25.393,25.416,25.583,25.626,25.685,1.674
1,8.97,-0.07,0.1005,-3.025,3.455,5.229,11,0.754,0.96,22.675,31.252,28.778,26.65,24.948,22.855,20.901,20.278,19.944,0.1
1,8.97,-0.07,0.42225,-1.563,3.585,4.912,11.4,0.763,0.73,19.638,24.509,23.181,21.623,20.54,19.42,18.171,17.487,17.257,0.422
1,8.97,-0.07,0.30384,-1.878,3.565,5.005,11.7,0.766,0,21.164,26.326,24.909,23.287,22.167,20.961,19.671,19.004,18.748,0.304
1,8.97,-0.07,0.28685,-1.927,3.562,5.017,12.4,0.77,0,21.986,27.229,25.785,24.146,23.017,21.792,20.49,19.824,19.562,0.287
1,8.97,-0.07,0.48589,-1.408,3.597,4.867,12.7,0.77,0,20.989,25.529,24.268,22.768,21.743,20.769,19.587,18.854,18.661,0.486
1,8.97,-0.05,0.15599,-2.517,3.506,5.118,9.4,0.647,0,20.463,26.8,25.056,23.238,21.927,20.33,18.804,18.188,17.883,0.156
1,8.97,-0.05,0.15125,-2.548,3.502,5.12,9.6,0.667,0,20.741,27.21,25.435,23.596,22.263,20.632,19.079,18.463,18.153,0.151
1,8.97,-0.05,0.16949,-2.428,3.517,5.11,10.6,0.739,0,21.441,27.635,25.942,24.14,22.862,21.328,19.835,19.204,18.901,0.169
1,8.97,-0.05,0.12237,-2.793,3.479,5.179,10.8,0.747,0,22.553,29.916,27.874,25.901,24.418,22.579,20.855,20.232,19.906,0.122
1,8.97,-0.05,0.54305,-1.265,3.609,4.819,11.4,0.763,0.81,18.858,23.352,22.091,20.605,19.596,18.638,17.463,16.726,16.538,0.543
1,8.97,-0.05,0.18726,-2.311,3.532,5.096,11.6,0.765,0.8,21.668,27.782,26.118,24.33,23.069,21.564,20.078,19.441,19.138,0.187
1,8.97,-0.05,0.23384,-2.1,3.551,5.056,12,0.768,1,21.269,26.793,25.257,23.558,22.398,21.097,19.754,19.094,18.811,0.234
1,8.97,-0.05,1.06715,0.041,3.771,4.454,12.7,0.77,0,17.367,19.321,19.041,18.189,17.678,17.2,16.565,16.157,16.076,1.067
1,8.97,-0.03,0.80048,-0.6,3.687,4.637,9.6,0.667,0,15.87,18.878,18.029,16.866,16.166,15.567,14.709,14.092,13.985,0.8
1,8.97,-0.03,0.17087,-2.422,3.517,5.108,9.9,0.694,0,20.725,26.832,25.163,23.382,22.113,20.585,19.104,18.48,18.18,0.171
1,8.97,-0.03,0.09352,-3.154,3.436,5.251,10,0.702,0.84,22.282,31.712,29.017,26.817,24.954,22.687,20.434,19.801,19.455,0.094
1,8.97,-0.03,0.19301,-2.277,3.536,5.089,10.2,0.717,0,20.662,26.397,24.817,23.09,21.889,20.489,19.092,18.453,18.163,0.193
1,8.97,-0.03,0.36075,-1.736,3.572,4.967,10.4,0.729,0.99,18.774,23.719,22.375,20.81,19.712,18.537,17.273,16.608,16.369,0.361
1,8.97,-0.03,0.71976,-0.81,3.658,4.684,10.5,0.734,0.86,16.823,20.6,19.484,18.152,17.305,16.583,15.563,14.827,14.69,0.72
1,8.97,-0.03,0.28131,-1.95,3.559,5.018,10.6,0.739,0,20.245,25.513,24.062,22.422,21.29,20.039,18.731,18.07,17.805,0.281
1,8.97,-0.03,0.56959,-1.202,3.614,4.799,11.5,0.764,0,19.276,23.609,22.359,20.903,19.933,19.061,17.929,17.162,16.994,0.57
1,8.97,-0.03,0.97277,-0.171,3.744,4.52,12.3,0.769,0.83,17.138,19.601,19.084,18.068,17.463,16.918,16.158,15.639,15.541,0.973
1,8.97,-0.03,0.27518,-1.968,3.558,5.023,12.5,0.77,0,22.191,27.533,26.065,24.411,23.27,22.006,20.684,20.021,19.751,0.275
1,8.97,-0.03,0.21979,-2.157,3.546,5.067,14.5,0.77,0,24.661,30.271,28.722,27.012,25.837,24.499,23.134,22.479,22.192,0.22
1,8.97,-0.01,0.23848,-2.09,3.549,5.048,9,0.602,0,18.995,24.272,22.789,21.143,20.011,18.725,17.424,16.785,16.511,0.238
1,8.97,-0.01,0.4388,-1.533,3.584,4.897,10.2,0.717,0,18.803,23.505,22.221,20.708,19.647,18.554,17.33,16.639,16.426,0.439
1,8.97,-0.01,0.45824,-1.486,3.588,4.884,10.5,0.734,0.79,18.5,23.263,21.964,20.437,19.369,18.263,17.029,16.338,16.119,0.458
1,8.97,-0.01,0.09368,-3.152,3.435,5.249,10.7,0.743,0,23.349,32.477,29.83,27.652,25.844,23.632,21.534,20.916,20.574,0.094
1,8.97,-0.01,0.11868,-2.829,3.474,5.183,10.8,0.747,0,22.642,30.107,28.058,26.081,24.572,22.692,20.928,20.311,19.98,0.119
1,8.97,-0.01,1.28078,0.449,3.814,4.299,11.2,0.759,0.96,14.215,15.842,15.673,14.977,14.542,14.129,13.597,13.273,13.201,1.281
1,8.97,-0.01,0.41502,-1.592,3.58,4.915,11.8,0.767,0,20.55,25.405,24.096,22.557,21.472,20.331,19.075,18.392,18.166,0.415
1,8.97,-0.01,0.24376,-2.07,3.551,5.043,12.7,0.77,0,22.645,28.157,26.638,24.948,23.788,22.474,21.126,20.467,20.184,0.244
1,8.97,0.01,0.40921,-1.602,3.578,4.911,9.9,0.694,0,18.674,23.454,22.161,20.642,19.564,18.413,17.168,16.497,16.274,0.409
1,8.97,0.01,0.12892,-2.743,3.481,5.163,10.4,0.729,0,22.028,29.198,27.247,25.315,23.855,22.039,20.328,19.713,19.386,0.129
1,8.97,0.01,0.11403,-2.87,3.469,5.189,10.5,0.734,0.72,22.182,30.048,27.928,25.919,24.34,22.358,20.415,19.793,19.455,0.114
1,8.97,0.01,0.09992,-3.038,3.45,5.224,10.8,0.747,0,23.166,31.561,29.198,27.106,25.427,23.342,21.388,20.772,20.432,0.1
1,8.97,0.01,0.16692,-2.453,3.512,5.108,11.3,0.761,0,22.202,28.518,26.821,25.01,23.706,22.12,20.587,19.96,19.651,0.167
1,8.97,0.01,0.43479,-1.543,3.583,4.896,11.4,0.763,0,20.026,24.831,23.534,22.007,20.93,19.806,18.559,17.866,17.647,0.435
1,8.97,0.01,0.28101,-1.955,3.557,5.014,11.6,0.765,0,21.258,26.613,25.149,23.497,22.354,21.074,19.746,19.083,18.812,0.281
1,8.97,0.01,0.2082,-2.206,3.541,5.073,11.7,0.766,0.82,21.474,27.339,25.75,24.009,22.786,21.344,19.906,19.265,18.969,0.208
1,8.97,0.01,0.27541,-1.972,3.556,5.018,12,0.768,0.8,21.152,26.627,25.13,23.454,22.295,20.98,19.631,18.972,18.693,0.275
1,8.97,0.01,0.47427,-1.449,3.591,4.872,14.4,0.77,0,22.794,27.473,26.192,24.683,23.631,22.578,21.359,20.641,20.438,0.474
1,8.97,0.03,0.32594,-1.833,3.564,4.985,9.5,0.657,0,18.853,23.876,22.494,20.915,19.81,18.59,17.317,16.661,16.412,0.326
1,8.97,0.03,0.56714,-1.219,3.611,4.799,10.1,0.71,0.8,17.457,21.878,20.623,19.162,18.165,17.209,16.045,15.307,15.126,0.567
1,8.97,0.03,0.2251,-2.144,3.544,5.057,11.6,0.765,0,21.731,27.359,25.818,24.112,22.931,21.571,20.195,19.543,19.255,0.225
1,8.97,0.03,0.21772,-2.172,3.542,5.064,12.4,0.77,0,22.6,28.268,26.719,25.006,23.818,22.446,21.061,20.41,20.121,0.218
1,8.97,0.03,0.60618,-1.12,3.621,4.769,13.6,0.77,0,21.171,25.463,24.205,22.761,21.808,20.964,19.843,19.065,18.905,0.606
1,8.97,0.05,0.1877,-2.321,3.527,5.089,8.8,0.577,0.75,18.95,24.85,23.242,21.51,20.265,18.751,17.286,16.676,16.382,0.188
1,8.97,0.05,0.14086,-2.646,3.489,5.135,9.6,0.667,0,20.985,27.794,25.945,24.069,22.667,20.928,19.286,18.678,18.359,0.141
1,8.97,0.05,0.14233,-2.633,3.49,5.132,10.5,0.734,0,21.853,28.728,26.874,24.984,23.576,21.832,20.178,19.562,19.239,0.142
1,8.97,0.05,0.61234,-1.107,3.622,4.765,10.7,0.743,0,18.238,22.485,21.23,19.796,18.851,18.016,16.904,16.128,15.971,0.612
1,8.97,0.05,0.34965,-1.773,3.567,4.969,11.5,0.764,0.95,20.008,25.157,23.765,22.167,21.046,19.808,18.504,17.835,17.583,0.35
1,8.97,0.05,0.28069,-1.961,3.555,5.012,14.4,0.77,0.75,23.576,29.088,27.584,25.903,24.738,23.41,22.051,21.393,21.112,0.281
1,8.97,0.05,0.3261,-1.835,3.563,4.983,14.6,0.77,0,23.957,29.175,27.76,26.145,25.016,23.765,22.452,21.784,21.526,0.326
1,8.97,0.07,1.72471,1.048,3.868,4.043,7.7,0.43,0,9.85,10.769,10.641,10.23,9.975,9.738,9.44,9.273,9.231,1.725
1,8.97,0.07,0.13229,-2.721,3.481,5.152,10.5,0.734,0,22.072,29.236,27.292,25.361,23.902,22.086,20.374,19.759,19.431,0.132
1,8.97,0.07,0.21598,-2.183,3.54,5.062,10.6,0.739,0,20.828,26.493,24.943,23.233,22.044,20.661,19.274,18.628,18.34,0.216
1,8.97,0.07,0.34931,-1.775,3.566,4.967,10.9,0.751,0,20.108,25.224,23.842,22.255,21.136,19.901,18.6,17.931,17.681,0.349
1,8.97,0.07,0.66562,-0.972,3.635,4.721,11.1,0.757,0.73,17.974,22.177,20.945,19.531,18.599,17.754,16.641,15.888,15.727,0.666
1,8.97,0.07,0.75612,-0.734,3.664,4.653,11.2,0.759,0,17.805,21.412,20.336,19.045,18.243,17.567,16.596,15.899,15.774,0.756
1,8.97,0.07,0.15912,-2.511,3.503,5.109,12.6,0.77,0,23.647,30.194,28.443,26.598,25.251,23.599,22.013,21.39,21.074,0.159
1,8.97,0.07,0.26514,-2.011,3.551,5.021,14.5,0.77,0.93,23.615,29.153,27.634,25.944,24.778,23.449,22.091,21.433,21.149,0.265
1,8.97,0.09,0.60617,-1.129,3.619,4.77,8.5,0.538,1,15.342,19.317,18.108,16.729,15.813,14.995,13.934,13.183,13.037,0.606
1,8.97,0.09,0.45618,-1.5,3.584,4.88,8.8,0.577,0,17.321,21.829,20.59,19.135,18.094,16.996,15.796,15.115,14.913,0.456
1,8.97,0.09,0.085,-3.344,3.403,5.268,9.8,0.686,1,22.182,32.933,29.614,27.256,25.164,22.714,20.286,19.663,19.315,0.085
1,8.97,0.09,0.09144,-3.194,3.427,5.246,10.1,0.71,0.79,22.593,32.311,29.525,27.297,25.389,23.086,20.761,20.102,19.736,0.091
1,8.97,0.09,0.31015,-1.881,3.558,4.989,10.7,0.743,0,20.173,25.457,24.015,22.385,21.249,19.975,18.654,17.991,17.725,0.31
1,8.97,0.09,0.10082,-3.032,3.449,5.214,10.8,0.747,0.73,22.947,31.6,29.216,27.108,25.394,23.268,21.162,20.514,20.156,0.101
1,8.97,0.09,0.54773,-1.274,3.604,4.812,10.9,0.751,0,18.854,23.32,22.057,20.592,19.59,18.634,17.46,16.698,16.523,0.548
1,8.97,0.09,0.10063,-3.034,3.448,5.215,11.2,0.759,0,23.556,32.04,29.654,27.551,25.856,23.753,21.776,21.159,20.817,0.101
1,8.97,0.09,0.885,-0.41,3.709,4.577,11.7,0.766,0.9,16.984,20.019,19.198,18.033,17.338,16.737,15.879,15.281,15.171,0.885
1,8.97,0.09,0.12116,-2.818,3.472,5.172,12,0.768,0,23.814,31.372,29.309,27.322,25.795,23.891,22.1,21.482,21.147,0.121
1,8.97,0.11,0.16699,-2.463,3.508,5.101,8.9,0.589,0.88,19.24,25.562,23.845,22.046,20.724,19.094,17.546,16.944,16.638,0.167
1,8.97,0.11,0.3636,-1.739,3.567,4.951,9.1,0.613,0.79,17.697,22.697,21.324,19.757,18.652,17.416,16.141,15.49,15.24,0.364
1,8.97,0.11,0.4386,-1.543,3.58,4.89,10,0.702,0.87,18.038,22.885,21.588,20.074,18.984,17.794,16.524,15.848,15.622,0.439
1,8.97,0.11,1.17727,0.227,3.786,4.371,10.3,0.723,0.91,13.992,15.873,15.58,14.75,14.254,13.799,13.196,12.812,12.734,1.177
1,8.97,0.11,0.224,-2.158,3.54,5.052,10.7,0.743,0.98,20.131,25.812,24.261,22.55,21.357,19.968,18.576,17.931,17.642,0.224
1,8.97,0.11,2.25491,1.678,3.686,2.804,10.9,0.751,0.75,11.267,13.926,13.299,12.248,11.624,11.056,10.218,9.645,9.532,2.255
1,8.97,0.11,0.11887,-2.839,3.469,5.174,11.1,0.757,0.77,22.576,30.535,28.376,26.348,24.746,22.739,20.817,20.2,19.861,0.119
1,8.97,0.11,0.26075,-2.03,3.548,5.02,11.3,0.761,0,21.144,26.691,25.17,23.479,22.311,20.975,19.615,18.958,18.673,0.261
1,8.97,0.11,0.55408,-1.26,3.605,4.806,12.5,0.77,0,20.42,24.912,23.643,22.176,21.173,20.213,19.033,18.266,18.092,0.554
1,8.97,0.11,0.13943,-2.665,3.485,5.135,12.7,0.77,0,24.132,31.212,29.306,27.385,25.942,24.152,22.454,21.835,21.507,0.139
1,8.97,0.11,0.37553,-1.706,3.569,4.94,14.7,0.77,0,23.734,28.825,27.467,25.897,24.777,23.537,22.229,21.556,21.311,0.376
1,8.97,0.13,0.13408,-2.712,3.48,5.144,10.3,0.723,0,21.85,29.023,27.078,25.148,23.684,21.862,20.146,19.533,19.205,0.134
1,8.97,0.13,0.59582,-1.161,3.615,4.779,11,0.754,0,18.672,23.038,21.77,20.324,19.354,18.457,17.312,16.538,16.375,0.596
1,8.97,0.13,0.15409,-2.55,3.496,5.107,11.2,0.759,0,22.346,29.058,27.263,25.395,24.017,22.317,20.693,20.074,19.753,0.154
1,8.97,0.15,0.29151,-1.941,3.552,4.997,8.5,0.538,0.92,17.452,22.607,21.156,19.541,18.422,17.146,15.861,15.227,14.96,0.292
1,8.97,0.15,0.33929,-1.809,3.561,4.968,10.3,0.723,0.96,18.89,24.113,22.692,21.08,19.95,18.68,17.365,16.702,16.441,0.339
1,8.97,0.15,0.75675,-0.749,3.66,4.653,10.4,0.729,0.97,16.357,20.078,18.939,17.621,16.795,16.103,15.115,14.403,14.275,0.757
1,8.97,0.15,0.36331,-1.743,3.565,4.949,10.9,0.751,0.83,19.468,24.707,23.292,21.681,20.548,19.273,17.95,17.284,17.023,0.363
1,8.97,0.15,0.13082,-2.742,3.477,5.15,11.4,0.763,0.87,22.439,29.975,27.929,25.947,24.421,22.517,20.722,20.104,19.77,0.131
1,8.97,0.15,0.16001,-2.514,3.5,5.103,11.6,0.765,0.76,22.217,29.065,27.244,25.36,23.958,22.217,20.549,19.929,19.605,0.16
1,8.97,0.15,0.23531,-2.122,3.54,5.038,14.4,0.77,0,24.474,30.176,28.625,26.91,25.715,24.326,22.929,22.279,21.989,0.235
1,8.97,0.17,0.57236,-1.223,3.607,4.794,8.4,0.525,0,16.227,20.328,19.117,17.731,16.781,15.875,14.771,14.026,13.872,0.572
1,8.97,0.17,0.09558,-3.124,3.434,5.225,9.1,0.613,0,21.679,30.612,28.014,25.875,24.088,21.896,19.823,19.222,18.886,0.096
1,8.97,0.17,0.09721,-3.096,3.438,5.219,9.2,0.625,0,21.709,30.477,27.945,25.825,24.067,21.905,19.865,19.263,18.927,0.097
