Gc,logAg,e [M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,U,B,V,R,I,J,H,K,Mact
1,7.11,-0.01,0.06088,-2.336,3.458,4.338,10.1,0.71,0.71,20.194,27.993,26.007,24.036,22.418,20.382,18.41,17.817,17.455,0.061
1,7.11,0.07,0.13838,-1.784,3.496,4.294,12,0.768,0,21.23,27.865,26.131,24.285,22.912,21.212,19.58,18.964,18.64,0.138
1,7.11,0.13,0.15504,-1.785,3.5,4.36,8.6,0.551,0.77,17.188,23.52,21.834,20.048,18.709,17.045,15.469,14.878,14.567,0.155
1,7.11,0.17,0.09473,-2.012,3.477,4.281,9.4,0.647,0,19.2,26.181,24.342,22.459,21.006,19.186,17.468,16.871,16.539,0.095
1,7.11,0.19,0.91115,-0.393,3.708,4.568,10.3,0.723,0,16.052,18.909,18.129,16.998,16.339,15.771,14.967,14.417,14.315,0.911
1,7.11,0.23,0.0923,-2.03,3.475,4.277,10.2,0.717,0,20.044,27.206,25.331,23.417,21.937,20.082,18.325,17.721,17.383,0.092
1,7.15,0.07,0.064,-2.32,3.461,4.352,8.7,0.564,0.86,18.619,26.139,24.134,22.191,20.627,18.659,16.805,16.222,15.883,0.064
1,7.15,0.21,0.02769,-2.796,3.391,4.187,10.6,0.739,0,22.359,31.436,29.489,27.478,25.514,23.091,20.478,19.898,19.455,0.028
1,7.17,-0.09,0.3693,-1.704,3.577,4.963,8.9,0.589,0,17.93,22.555,21.268,19.754,18.696,17.601,16.403,15.75,15.528,0.369
1,7.17,0.11,0.12679,-1.855,3.491,4.305,11.2,0.759,0,20.607,27.38,25.609,23.745,22.344,20.605,18.941,18.327,17.999,0.127
1,7.19,-0.15,0.07593,-2.191,3.476,4.358,11.6,0.765,0,21.848,29.243,27.212,25.229,23.74,21.895,20.158,19.532,19.198,0.076
1,7.19,0.25,0.15859,-1.84,3.488,4.295,11.1,0.757,0.83,19.719,26.402,24.656,22.805,21.421,19.704,18.059,17.444,17.119,0.132
1,7.21,-0.07,0.10306,-1.974,3.493,4.342,10.8,0.747,0,20.505,27.276,25.465,23.586,22.196,20.483,18.846,18.226,17.902,0.103
1,7.21,0.09,0.04726,-2.534,3.438,4.346,11,0.754,0,22.104,30.168,28.202,26.221,24.528,22.4,20.31,19.719,19.341,0.047
1,7.21,0.23,0.1536,-1.795,3.496,4.348,10.4,0.729,0.92,18.911,25.573,23.827,21.98,20.597,18.882,17.241,16.63,16.306,0.154
1,7.21,0.29,0.21187,-2.215,3.533,5.057,11.2,0.759,0,21.507,27.335,25.757,24.024,22.805,21.367,19.94,19.299,19.005,0.212
1,7.23,-0.03,0.14216,-1.789,3.503,4.337,11.6,0.765,0,20.844,27.332,25.617,23.785,22.444,20.798,19.21,18.589,18.271,0.142
1,7.23,0.13,0.384,-1.69,3.569,4.936,10,0.702,0.83,18.438,23.506,22.137,20.566,19.451,18.206,16.909,16.245,15.997,0.384
1,7.25,-0.09,0.25124,-2.032,3.557,5.043,14,0.77,0,23.849,29.232,27.734,26.06,24.917,23.665,22.346,21.684,21.411,0.251
1,7.25,0.05,0.07365,-2.255,3.468,4.377,9.1,0.613,0,19.507,26.738,24.823,22.911,21.407,19.519,17.739,17.148,16.813,0.074
1,7.25,0.11,0.39008,-1.671,3.571,4.931,14.1,0.77,0,23.048,28.089,26.75,25.195,24.08,22.847,21.544,20.869,20.629,0.39
1,7.25,0.17,0.39554,-1.662,3.57,4.923,10.7,0.743,0.97,18.914,23.968,22.625,21.073,19.955,18.705,17.397,16.724,16.482,0.396
1,7.25,0.33,0.35446,-1.774,3.562,4.955,10,0.702,0,19.206,24.354,22.969,21.395,20.269,18.987,17.669,17.001,16.749,0.354
1,7.27,0.05,0.04492,-2.598,3.432,4.363,9.5,0.657,0,20.764,28.704,26.837,24.905,23.202,21.058,18.931,18.357,17.973,0.045
1,7.27,0.05,0.10092,-2.009,3.485,4.339,9.9,0.694,0,19.693,26.514,24.722,22.856,21.439,19.673,17.994,17.39,17.062,0.101
1,7.27,0.13,0.11445,-1.942,3.486,4.329,11.4,0.763,0,21.025,27.939,26.133,24.25,22.822,21.045,19.348,18.736,18.404,0.114
1,7.27,0.19,0.07605,-2.226,3.466,4.356,10.4,0.729,0,20.734,28.188,26.231,24.28,22.746,20.822,18.997,18.393,18.049,0.076
1,7.29,-0.07,0.3206,-1.837,3.568,4.999,12.1,0.769,0,21.462,26.562,25.166,23.559,22.445,21.256,19.974,19.306,19.055,0.321
1,7.29,-0.01,0.7369,-0.783,3.662,4.683,13.9,0.77,0,20.628,24.249,23.183,21.89,21.082,20.4,19.42,18.713,18.586,0.737
