,index,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog,index,_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),IRAC1(mag),dIRAC1(mag),IRAC2(mag),dIRAC2(mag),l_IRAC3( ),IRAC3(mag),dIRAC3(mag),l_IRAC4( ),IRAC4(mag),dIRAC4(mag),l_MIPS24( ),MIPS24(mag)
26,227,,296.103625,-14.72475,17.362,,,,15.267,,C,0.147943662,demmers,2984,296.10372889,-14.7247,296.103729,-14.7247,14.75,0.02,14.91,-0.05, ,14.91,-0.16, ,14.24,-0.05, ,11.78
27,228,,296.1045,-14.84272222,18.09,,,,15.562,,C,0.132043685,demmers,3041,296.10461389,-14.84272,296.104614,-14.84272,15.11,-0.02,14.95,-0.02, ,15.12,0.15, ,14.93,0.14,>,12.37
28,187,,296.106384,-14.767224,17.62,,16.8,,16.58,,C ,0.128325533,Sibbons,3135,296.10629306,-14.76726,296.106293,-14.76726,16.31,-0.03,16.33,-0.02, ,16.68,0.29, ,15.29,-0.05,>,12.96
29,229,,296.106625,-14.87427778,17.896,,,,16.268,,C,0.143154743,demmers,3160,296.10678111,-14.87421,296.106781,-14.87421,15.92,-0.01,15.9,0.02, ,15.67,-0.07, ,15.48,-0.04, ,11.59
30,230,,296.1095,-14.93286111,17.901,,,,15.859,,C,0.178132977,demmers,3330,296.10952806,-14.9329,296.109528,-14.9329,15.01,-0.01,15.04,-0.03, ,15.09,-0.08, ,14.73,-0.29,>,12.5
31,231,,296.1097083,-14.74066667,17.474,,,,15.91,,C,0.134875866,demmers,3344,296.10974111,-14.74068,296.109741,-14.74068,15.5,-0.04,15.58,-0.02, ,15.3,-0.14, ,15.04,-0.35, ,12.27
32,182,,296.110779,-14.725801,17.15,,16.18,,15.45,,C ,0.141314373,Sibbons,3414,296.11071806,-14.72588,296.110718,-14.72588,15.15,0.35,15.19,0.33, ,15.18,0.33, ,14.58,0.29,>,12.41
33,232,,296.111,-14.85966667,17.429,,,,15.315,,C,0.132380564,demmers,3442,296.11108389,-14.85967,296.111084,-14.85967,14.78,-0.03,14.88,-0.06, ,14.97,-0.18, ,14.5,-0.02,>,12.52
34,233,,296.1127917,-14.86825,17.534,,,,15.622,,C,0.134798672,demmers,3560,296.11285389,-14.86825,296.112854,-14.86825,15.01,-0.03,15.33,0.03, ,14.92,-0.21, ,14.71,0.05,>,12.57
35,121,,296.112915,-14.776258,17.35,,16.46,,15.92,,C,0.119810963,Sibbons,3570,296.11297611,-14.77625,296.112976,-14.77625,15.44,0.04,15.43,0.0, ,15.65,0.39, ,15.17,0.23,>,12.64
