,Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,R,DCG
84,296.17764,-14.6424,18.63,17.47,16.42,LAV,,0.16765590505556924
85,296.26511,-14.96155,18.07,17.09,16.45,LAV,,0.16368972631169795
86,296.21112,-14.91074,19.46,17.55,16.25,LAV,,0.11069200196943367
87,296.30179,-14.90356,19.75,17.75,15.96,LAV,,0.1246409892450918
88,296.18011,-14.75091,17.02,16.27,15.81,LAV,,0.07117295624041847
89,296.22681,-14.75065,17.13,15.92,15.11,LAV,,0.051119629302255824
90,296.23346,-14.74996,17.71,16.93,16.52,LAV,,0.05182562783025136
91,296.24622,-14.86655,17.98,16.67,15.79,LAV,,0.06687677324751304
92,296.26105,-14.73764,18.29,16.78,15.38,LAV,,0.07116138981216885
93,296.2731,-14.75146,17.31,16.57,15.96,LAV,,0.06617139941091145
94,296.22696,-14.80191,14.48,13.66,13.34,RSG,,0.0030494589684059346
95,296.24005,-14.80796,14.74,13.94,13.66,RSG,,0.0118560786097075
96,296.24301,-14.74652,14.1,13.3,12.99,RSG,,0.05666376796507755
