Mid,Id-main,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,Type
1,12557,296.18398,-14.78018,18.23,17.51,17.12,O
2,11226,296.25229,-14.78475,17.49,16.54,16.08,O
3,20331,296.20415,-14.63486,16.58,15.91,15.46,O
4,10184,296.22364,-14.77473,16.44,15.58,15.13,O
5,30133,296.21816,-14.88035,16.3,15.53,15.09,O
6,20134,296.21322,-14.68097,16.35,15.55,15.07,O
7,40139,296.20428,-14.74271,15.25,14.32,13.92,O
8,10198,296.25088,-14.76786,15.5,14.68,14.19,O
9,30292,296.18801,-14.87231,15.88,15.19,14.68,O
10,10091,296.26702,-14.76311,15.46,14.67,14.18,O
11,20004,296.21293,-14.73224,13.72,12.97,12.57,O
12,12790,296.20389,-14.75535,18.03,17.11,16.59,C
13,10817,296.23639,-14.83054,17.7,16.76,16.04,C
14,20540,296.18011,-14.71067,17.88,16.89,16.39,C
15,40590,296.28567,-14.73952,18.01,17.04,16.39,C
16,12751,296.21027,-14.75973,17.89,16.91,16.29,C
17,11032,296.18048,-14.80431,18.2,16.91,15.94,C
18,10748,296.17438,-14.83893,18.58,17.16,16.11,C
19,20578,296.29065,-14.69641,17.8,16.82,16.14,C
20,20542,296.17703,-14.71031,17.84,16.76,16.02,C
21,30430,296.21802,-14.92573,17.67,16.56,15.86,C
22,12208,296.23352,-14.80653,17.87,16.61,15.62,C
23,21419,296.27563,-14.74923,19.93,18.27,16.57,C
24,13364,296.19489,-14.82267,18.1,16.85,15.86,C
25,12400,296.17468,-14.79389,18,16.75,15.88,C
26,30583,296.30014,-14.87872,18.37,17.07,15.88,C
27,20239,296.22632,-14.72554,18.04,16.71,15.66,C
28,20558,296.19647,-14.70265,18.21,16.6,15.31,C
29,20840,296.30347,-14.74166,18.7,17.18,15.98,C
30,12466,296.17462,-14.78854,18.42,17.09,16.03,C
31,40114,296.19916,-14.8616,20.21,18.61,16.99,C
32,11059,296.21259,-14.80142,18.38,16.9,15.79,C
33,20375,296.18277,-14.74815,18.03,16.62,15.59,C
34,11296,296.21729,-14.77647,18.37,16.99,15.78,C
35,30928,296.22229,-14.90997,18.95,17.42,16.28,C
36,20657,296.22934,-14.65254,17.98,16.59,15.56,C
37,13106,296.24048,-14.84939,19.1,17.38,15.96,C
38,20588,296.29919,-14.69143,17.56,16.22,15.16,C
39,11305,296.17957,-14.77527,18.02,16.56,15.45,C
40,30920,296.24246,-14.91158,18.95,17.21,15.86,C
41,40363,296.23649,-14.85697,19.18,17.73,16.32,C
42,11140,296.22876,-14.79337,18.75,17.25,15.93,C
43,20439,296.2464,-14.73473,19.15,17.32,15.77,C
44,10753,296.24295,-14.83836,18.4,17.06,15.88,C
45,40520,296.26687,-14.74039,18.41,16.86,15.51,C
46,31168,296.23883,-14.87026,19.49,17.5,15.82,C
47,21671,296.26569,-14.72024,19.78,17.78,16.16,C
