Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R
296.26511,-14.96155,18.07,17.09,16.45,LAV,Whitelock,
296.21112,-14.91074,19.46,17.55,16.25,LAV,Whitelock,
296.30179,-14.90356,19.75,17.75,15.96,LAV,Whitelock,
296.18011,-14.75091,17.02,16.27,15.81,LAV,Whitelock,
296.22681,-14.75065,17.13,15.92,15.11,LAV,Whitelock,
296.23346,-14.74996,17.71,16.93,16.52,LAV,Whitelock,
296.24622,-14.86655,17.98,16.67,15.79,LAV,Whitelock,
296.26105,-14.73764,18.29,16.78,15.38,LAV,Whitelock,
296.2731,-14.75146,17.31,16.57,15.96,LAV,Whitelock,
296.22696,-14.80191,14.48,13.66,13.34,RSG,Whitelock,
296.24005,-14.80796,14.74,13.94,13.66,RSG,Whitelock,
296.24301,-14.74652,14.1,13.3,12.99,RSG,Whitelock,
296.22287,-14.71018,17.6,16.76,16.37,Ce  ,Sibbons,
296.22888,-14.72012,17.5,16.56,16.3,Ce  ,Sibbons,
296.22033,-14.72841,18.26,17.25,17.15,Ce  ,Sibbons,
296.12738,-14.73369,17.56,16.81,16.41,Ce  ,Sibbons,
296.31088,-14.73645,17.18,16.31,15.91,Ce  ,Sibbons,
296.28564,-14.74075,16.67,15.62,15.09,Ce: ,Sibbons,
296.18609,-14.7787,16.72,15.9,15.54,Ce  ,Sibbons,
296.24578,-14.7865,17.58,16.73,16.46,Ce: ,Sibbons,
296.23651,-14.79789,17.25,16.52,16.22,Ce  ,Sibbons,
296.22512,-14.86821,17.31,16.58,16.32,Ce  ,Sibbons,
296.21267,-14.87307,17.66,16.8,16.47,Ce  ,Sibbons,
296.117004,-14.632751,16.46,15.59,15.26,C:  ,Sibbons,
296.233887,-14.671288,17.14,16.26,16.01,C   ,Sibbons,
296.259827,-14.684196,17.31,16.47,16.21,C   ,Sibbons,
296.411377,-14.685686,17.47,16.58,16.11,C:  ,Sibbons,
296.156006,-14.687428,17.31,16.25,15.68,Ce: ,Sibbons,
296.179413,-14.688039,17.24,16.35,16.08,C   ,Sibbons,
296.248596,-14.689795,17.26,16.43,16.11,C   ,Sibbons,
296.350922,-14.720666,17.05,16.13,15.75,C   ,Sibbons,
296.375854,-14.73088,16.15,15.33,15.03,C   ,Sibbons,
296.436554,-14.743853,17.45,16.68,16.56,C   ,Sibbons,
296.485382,-14.756809,16.74,15.93,15.63,C:  ,Sibbons,
296.131714,-14.759347,17.37,16.47,16.18,Ce  ,Sibbons,
296.112915,-14.776258,17.35,16.46,15.92,C   ,Sibbons,
296.152313,-14.788395,17.14,16.3,15.98,Ce  ,Sibbons,
296.283356,-14.789384,17.47,16.75,16.45,C   ,Sibbons,
296.374786,-14.798067,17.73,16.79,16.55,C   ,Sibbons,
296.170349,-14.798781,17.4,16.44,15.76,Ce  ,Sibbons,
296.073059,-14.801702,17.62,16.74,16.46,C   ,Sibbons,
296.160095,-14.802064,17.38,16.61,16.35,C   ,Sibbons,
296.338257,-14.808908,17.41,16.5,16.05,C:  ,Sibbons,
296.100708,-14.828527,16.72,15.96,15.64,C   ,Sibbons,
296.129822,-14.832311,17.56,16.74,16.49,C   ,Sibbons,
296.084503,-14.832314,17.5,16.6,16.15,C:  ,Sibbons,
296.434357,-14.834667,17.48,16.72,16.32,C:  ,Sibbons,
296.30838,-14.840508,17.25,16.46,16.08,C   ,Sibbons,
296.173828,-14.855554,17.84,16.97,16.65,Ce  ,Sibbons,
296.080383,-14.858717,16.31,15.7,15.29,C:  ,Sibbons,
296.28244,-14.868937,17.48,16.72,16.55,Ce  ,Sibbons,
296.236908,-14.87212,18.02,17.07,16.82,Ce  ,Sibbons,
296.096558,-14.8814,17.98,17.19,17.03,C   ,Sibbons,
296.261414,-14.883708,17.94,17.07,16.79,Ce  ,Sibbons,
296.431213,-14.889406,17.33,16.48,16.18,C:  ,Sibbons,
296.163086,-14.894488,16.75,15.88,15.44,C   ,Sibbons,
296.118591,-14.89873,16.89,16.03,15.73,C   ,Sibbons,
296.251007,-14.9064,17.96,17.09,16.77,Ce  ,Sibbons,
296.35376,-14.912353,17.22,16.35,15.96,C   ,Sibbons,
296.223907,-14.922441,17.22,16.33,15.81,C   ,Sibbons,
296.332458,-14.951111,17.76,16.91,16.48,C:  ,Sibbons,
296.034485,-14.951339,17.57,16.71,16.39,C   ,Sibbons,
296.345795,-14.960103,16.91,16.07,15.72,C:  ,Sibbons,
296.33786,-14.988564,16.73,15.73,15.19,C:  ,Sibbons,
296.281311,-14.988667,17.16,16.35,16.07,C   ,Sibbons,
296.204498,-14.674287,18.32,17.55,17.28,C   ,Sibbons,
296.247101,-14.722958,18.13,17.27,17.03,C   ,Sibbons,
296.244446,-14.75467,17.25,16.49,16.22,C:  ,Sibbons,
296.350891,-14.757086,16.98,16.22,15.85,C:  ,Sibbons,
296.234558,-14.767653,16.96,16.04,15.62,C   ,Sibbons,
296.290405,-14.774523,17.63,16.84,16.69,Ce: ,Sibbons,
296.278412,-14.780069,17.65,16.54,15.76,Ce: ,Sibbons,
296.352264,-14.780713,17.09,16.3,15.76,C:  ,Sibbons,
296.229034,-14.781347,17.61,16.51,15.94,Ce: ,Sibbons,
296.213776,-14.783867,17.89,17.08,16.72,C   ,Sibbons,
296.257843,-14.793209,17.91,17.14,16.88,Ce: ,Sibbons,
296.208191,-14.797331,17.67,16.91,16.45,Ce  ,Sibbons,
296.184326,-14.799191,17.83,17.03,16.78,Ce: ,Sibbons,
296.274109,-14.800164,17.57,16.75,16.4,Ce  ,Sibbons,
296.251343,-14.803117,17.41,16.5,16.15,Ce: ,Sibbons,
296.191315,-14.818703,16.95,16.05,15.64,Ce  ,Sibbons,
296.212616,-14.82485,17.39,16.56,16.25,C   ,Sibbons,
296.182983,-14.828946,17.6,16.81,16.58,Ce  ,Sibbons,
296.233093,-14.830748,17.39,16.6,16.31,Ce  ,Sibbons,
296.241516,-14.846167,18.41,17.3,16.36,Ce: ,Sibbons,
