,Ra(J2000) deg,Dec(J2000) deg,Wyder,Bulge,Body,Bulge_Center,Bulge_North,Bulge_South
0,296.18398,-14.78018,0,1,0,1,0,0
1,296.25229,-14.78475,1,1,0,1,0,0
2,296.20415,-14.63486,0,0,0,0,0,0
3,296.22364,-14.77473,1,1,0,1,0,0
4,296.21816,-14.88035,1,1,0,0,0,1
5,296.21322,-14.68097,0,0,1,0,1,0
6,296.25088,-14.76786,1,1,0,1,0,0
7,296.18801,-14.87231,0,0,1,0,0,1
8,296.26702,-14.76311,1,1,0,1,0,0
9,296.21293,-14.73224,0,1,0,0,1,0
10,296.20389,-14.75535,0,1,0,0,1,0
11,296.23639,-14.83054,1,1,0,1,0,0
12,296.18011,-14.71067,0,0,1,0,0,0
13,296.28567,-14.73952,0,0,1,0,1,0
14,296.21027,-14.75973,1,1,0,1,0,0
15,296.18048,-14.80431,0,1,0,1,0,0
16,296.17438,-14.83893,0,1,0,0,0,1
17,296.29065,-14.69641,0,0,1,0,0,0
18,296.17703,-14.71031,0,0,1,0,0,0
19,296.21802,-14.92573,0,0,1,0,0,1
20,296.23352,-14.80653,1,1,0,1,0,0
21,296.27563,-14.74923,0,1,0,0,1,0
22,296.19489,-14.82267,0,1,0,1,0,0
23,296.17468,-14.79389,0,1,0,1,0,0
24,296.30014,-14.87872,0,0,1,0,0,0
25,296.22632,-14.72554,1,1,0,0,1,0
26,296.19647,-14.70265,0,0,1,0,1,0
27,296.30347,-14.74166,0,0,1,0,0,0
28,296.17462,-14.78854,0,1,0,1,0,0
29,296.19916,-14.8616,1,1,0,0,0,1
30,296.21259,-14.80142,1,1,0,1,0,0
31,296.18277,-14.74815,0,1,0,0,1,0
32,296.21729,-14.77647,1,1,0,1,0,0
33,296.22229,-14.90997,0,0,1,0,0,1
34,296.22934,-14.65254,0,0,1,0,0,0
35,296.24048,-14.84939,0,1,0,0,0,1
36,296.29919,-14.69143,0,0,1,0,0,0
37,296.17957,-14.77527,0,1,0,1,0,0
38,296.24246,-14.91158,0,0,1,0,0,1
39,296.23649,-14.85697,1,1,0,0,0,1
40,296.22876,-14.79337,1,1,0,1,0,0
41,296.2464,-14.73473,1,1,0,0,1,0
42,296.24295,-14.83836,0,1,0,1,0,0
43,296.26687,-14.74039,0,1,0,0,1,0
44,296.23883,-14.87026,1,1,0,0,0,1
45,296.26569,-14.72024,1,0,1,0,1,0
46,296.21774,-14.78943,0,1,0,1,0,0
47,296.29114,-14.6977,0,0,1,0,0,0
48,296.21661,-14.79057,0,1,0,1,0,0
49,296.29965,-14.69757,0,0,1,0,0,0
50,296.28125,-14.67393,0,0,1,0,0,0
51,296.28897,-14.81087,0,1,0,1,0,0
52,296.25732,-14.77645,1,1,0,1,0,0
53,296.25696,-14.83051,0,1,0,1,0,0
54,296.19858,-14.71837,0,0,1,0,1,0
55,296.19682,-14.75119,0,1,0,0,1,0
56,296.28424,-14.80892,0,1,0,1,0,0
57,296.21631,-14.83196,1,1,0,1,0,0
58,296.29793,-14.74687,0,0,1,0,0,0
59,296.25891,-14.88796,0,0,1,0,0,1
60,296.17892,-14.82286,0,1,0,1,0,0
61,296.21545,-14.83469,1,1,0,1,0,0
