,index,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,SpType,Ref,Rmag
523,,296.47525,-14.898197,17.13,16.153,15.481,C5.5    ,Kacharov,19.993
524,,296.510925,-14.901115,17.675,17.083,16.767,dM3.5   ,Kacharov,20.503
525,,296.52948,-14.912703,17.331,16.7,16.463,dM1.5   ,Kacharov,21.613
526,,296.251434,-14.798083,17.625,16.616,16.058,C5.5    ,Kacharov,20.545
527,,296.261719,-14.800416,17.985,17.126,16.916,M4III   ,Kacharov,21.369
528,,296.297028,-14.802626,16.821,15.758,14.954,C6.5    ,Kacharov,20.82
529,,296.256256,-14.807403,17.424,16.327,15.554,C6.5    ,Kacharov,20.364
530,,296.244385,-14.810474,16.872,15.96,15.476,C5.5    ,Kacharov,21.079
531,,296.244141,-14.813117,17.32,16.187,15.349,C8.2    ,Kacharov,20.921
532,,296.259552,-14.815343,17.428,16.335,15.717,C6.5    ,Kacharov,20.168
533,,296.268646,-14.819822,17.718,16.939,16.7,M2III   ,Kacharov,20.124
534,,296.259796,-14.82215,17.409,16.47,16.006,C5.5    ,Kacharov,19.839
535,,296.264984,-14.824442,18.374,17.308,17.061,M0III   ,Kacharov,20.889
536,,296.265381,-14.830131,17.761,17.026,16.76,M1III   ,Kacharov,20.106
537,,296.259155,-14.832942,17.482,16.728,16.51,C5.5    ,Kacharov,19.663
538,,296.257324,-14.837327,18.011,17.107,16.687,C5.5    ,Kacharov,20.378
539,,296.284698,-14.839629,17.812,16.939,16.84,M1III   ,Kacharov,20.585
540,,296.257874,-14.842669,17.395,16.265,15.595,C6.5    ,Kacharov,20.334
541,,296.244781,-14.845008,17.719,16.678,16.005,C5.5    ,Kacharov,20.156
542,,296.262543,-14.847853,17.049,16.052,15.442,C5.5    ,Kacharov,21.242
543,,296.337067,-14.850516,16.924,16.08,15.693,C5.5    ,Kacharov,19.09
544,,296.275482,-14.853798,17.352,16.271,15.605,C6.5    ,Kacharov,20.071
545,,296.25116,-14.856455,17.765,16.971,16.703,M       ,Kacharov,20.846
546,,296.278717,-14.858888,16.683,15.688,15.117,C5.5    ,Kacharov,19.844
547,,296.261169,-14.861171,18.091,17.198,16.647,C5.5    ,Kacharov,20.811
548,,296.281311,-14.863727,18.471,17.403,17.179,M0.5III ,Kacharov,20.309
549,,296.313477,-14.866092,18.075,17.598,17.16,--      ,Kacharov,20.018
550,,296.309265,-14.868592,17.326,16.568,16.129,C5.5    ,Kacharov,19.455
551,,296.332581,-14.873631,18.135,17.38,17.125,--      ,Kacharov,19.819
552,,296.289734,-14.876258,17.404,16.537,15.991,C5.5    ,Kacharov,20.12
553,,296.277252,-14.880092,17.638,16.734,16.552,M1III   ,Kacharov,19.755
554,,296.262299,-14.882443,16.354,15.396,14.905,C5.5    ,Kacharov,19.28
555,,296.294189,-14.884681,16.906,15.826,15.156,C6.5    ,Kacharov,20.325
556,,296.311371,-14.891082,18.094,17.327,17.085,--      ,Kacharov,20.479
557,,296.244232,-14.895714,17.515,16.678,16.557,--      ,Kacharov,19.118
558,,296.263153,-14.89839,18.173,17.307,17.075,C5.5    ,Kacharov,20.287
559,,296.328705,-14.9036,17.888,16.952,16.837,M2III   ,Kacharov,20.209
560,,296.266968,-14.910404,17.84,16.579,15.701,C8.2    ,Kacharov,21.533
561,,296.340912,-14.947414,17.775,16.908,16.764,M1III   ,Kacharov,19.853
562,,296.306091,-14.950318,17.745,16.944,16.937,M1III   ,Kacharov,19.69
563,,296.286987,-14.962574,17.446,16.297,15.629,C6.5    ,Kacharov,20.207
564,,296.289246,-14.965583,17.313,16.713,16.45,C       ,Kacharov,18.844
565,,296.309082,-14.969496,18.226,17.768,17.287,dM3.5   ,Kacharov,20.771
