Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,80222,296.179932,-14.711598,0.110057,20.488,18.122,17.281,17.03,M  ,M       ,4,1,Simbad
sp,80491,296.112671,-14.714574,0.155752,18.86,16.424,15.517,15.338,M  ,M0III   ,5,1,Simbad
sp,80754,296.187347,-14.717557,0.101039,20.633,17.671,16.723,16.491,C  ,--      ,4,1,Simbad
sp,80959,296.198029,-14.719869,0.093775,20.698,17.606,16.479,15.802,C  ,C6.5    ,5,1,Simbad
sp,81277,296.103516,-14.723016,0.15892,21.351,17.447,16.545,16.07,C  ,--      ,4,1,Simbad
sp,81701,296.151001,-14.726998,0.117762,19.754,16.872,16,15.486,C  ,C5.5    ,5,1,Simbad
sp,82019,296.127747,-14.729833,0.134722,20.382,17.725,16.917,16.64,M  ,M0III   ,4,1,Simbad
sp,82395,296.159454,-14.733295,0.107247,21.045,17.518,16.572,15.92,C  ,C6.5    ,5,1,Simbad
sp,82849,296.179535,-14.737016,0.090214,20.854,17.065,16.054,15.353,C  ,--      ,4,1,Simbad
sp,83463,296.179321,-14.742605,0.086334,19.952,17.415,16.49,15.87,C  ,C6.5    ,5,1,Simbad
sp,83731,296.207184,-14.745038,0.067272,20.06,17.006,15.993,15.379,C  ,C5.5    ,5,1,Simbad
sp,84687,296.179443,-14.752915,0.079314,19.452,16.663,15.734,15.234,C  ,C5.5    ,5,1,Simbad
sp,84957,296.203827,-14.755259,0.060596,20.677,17.967,17.164,16.598,C  ,C6.5    ,5,1,Simbad
sp,85283,296.181671,-14.7577,0.074583,19.873,17.175,16.282,15.944,C  ,C6.5    ,5,1,Simbad
sp,87260,296.202637,-14.773767,0.048169,20.774,17.296,16.414,15.714,C  ,C       ,4,1,Simbad
sp,87885,296.186096,-14.778706,0.05984,20.502,16.722,15.902,15.543,M  ,C6.5    ,5,1,Simbad
sp,88232,296.193481,-14.781586,0.051927,20.129,17.935,17.162,16.883,M  ,M0III   ,4,1,Simbad
sp,93440,296.194275,-14.821965,0.049886,19.925,17.296,16.408,15.902,C  ,C5.5    ,5,1,Simbad
sp,93738,296.183502,-14.824387,0.060813,20.045,17.58,16.757,16.576,M  ,M0III   ,4,1,Simbad
sp,94114,296.163879,-14.827393,0.080367,21.628,17.105,15.991,15.211,C  ,--      ,5,1,Simbad
sp,94394,296.182404,-14.829756,0.063865,19.725,17.808,16.983,16.854,Mca,M0III   ,4,1,Simbad
sp,94807,296.165405,-14.833178,0.080856,20.082,17.271,16.448,16.238,Mca,S       ,4,1,Simbad
sp,95088,296.145233,-14.835481,0.1006,19.797,18.002,17.182,17.032,Mca,M       ,4,1,Simbad
sp,95439,296.135132,-14.838089,0.111008,19.925,17.57,16.677,16.486,Mca,M2III   ,5,1,Simbad
sp,95858,296.192749,-14.841306,0.06102,20.344,18.047,17.3,17.066,Mca,M0III   ,5,1,Simbad
sp,96249,296.170105,-14.844587,0.081621,21.037,17.354,16.234,15.509,Cca,C6.5    ,6,1,Simbad
sp,97298,296.187469,-14.853082,0.072713,20.402,18.169,17.289,17.198,M  ,M0III   ,5,1,Simbad
sp,97868,296.191681,-14.857764,0.073105,20.214,17.902,16.956,16.761,M  ,M0III   ,5,1,Simbad
sp,98231,296.156158,-14.860965,0.102172,20.326,17.108,16.214,15.634,C  ,C6.5    ,5,1,Simbad
sp,98508,296.187439,-14.863374,0.080115,20.74,18.029,17.031,16.932,M  ,M0III   ,4,1,Simbad
sp,98786,296.171783,-14.865685,0.092791,19.938,17.105,16.145,15.625,C  ,C6.5    ,5,1,Simbad
sp,99102,296.112885,-14.868258,0.143218,20.504,17.17,16.196,15.588,C  ,C6.5    ,6,1,Simbad
sp,99420,296.171753,-14.870989,0.096451,20.524,18.017,17.269,17.046,M  ,M0III   ,5,1,Simbad
sp,99756,296.18869,-14.873989,0.087591,20.788,17.872,16.983,16.879,M  ,M2III   ,5,1,Simbad
sp,100040,296.178711,-14.876316,0.095611,20.439,18.07,17.083,16.72,C  ,C5.5    ,5,1,Simbad
sp,100308,296.155457,-14.878673,0.113619,20.832,17.625,16.429,15.762,C  ,C6.5    ,6,1,Simbad
sp,100873,296.19754,-14.883656,0.091047,20.752,17.866,16.778,16.2,C  ,C6.5    ,5,1,Simbad
sp,101165,296.201691,-14.886331,0.091574,19.856,16.685,15.619,15.007,C  ,C6.5    ,6,1,Simbad
sp,102136,296.163086,-14.89449,0.119578,19.627,16.753,15.881,15.436,C  ,C6.5    ,5,1,Simbad
sp,102372,296.117828,-14.896477,0.15404,20.419,17.798,16.968,16.867,M  ,M2III   ,5,1,Simbad
sp,102696,296.19754,-14.899305,0.105097,19.457,17.107,16.295,16.098,M  ,M1III   ,6,1,Simbad
sp,102923,296.115417,-14.901344,0.15892,20.026,17.706,16.95,16.771,M  ,M0III   ,4,1,Simbad
sp,103386,296.089813,-14.905375,0.182007,20.747,17.896,16.855,16.316,C  ,C6.5    ,5,1,Simbad
sp,105264,296.17276,-14.922873,0.13736,19.289,16.532,15.67,15.261,C  ,C5.5    ,6,1,Simbad
sp,105623,296.176575,-14.926566,0.138782,20.516,18.216,17.415,17.113,M  ,M0III   ,4,1,Simbad
sp,105963,296.173828,-14.929623,0.142765,20.596,17.362,16.486,16.301,M  ,M       ,4,1,Simbad
sp,91631,296.233276,-14.808039,0.008645,19.292,17.538,16.688,16.465,M  ,C       ,5,1,Simbad
sp,66772,296.209412,-14.569217,0.236279,21.103,17.453,16.39,15.66,C  ,C       ,4,1,Simbad
sp,68853,296.232605,-14.590483,0.213096,20.271,17.931,17.352,17.046,M  ,dM2     ,5,1,Simbad
sp,69102,296.210419,-14.592963,0.212618,22.248,17.963,17.348,17.033,M  ,dM6 e   ,5,1,Simbad
sp,69707,296.205383,-14.599363,0.207081,19.85,17.083,16.511,16.279,M  ,dM3     ,5,1,Simbad
sp,70265,296.20874,-14.604931,0.201038,19.974,18.102,17.385,17.319,M  ,dM1.5   ,5,1,Simbad
sp,70561,296.190643,-14.608078,0.201636,19.7,17.586,16.732,16.563,M  ,M1III   ,4,1,Simbad
sp,71373,296.216583,-14.615705,0.189253,19.679,17.813,17.201,16.998,M  ,dM1.5   ,5,1,Simbad
sp,71915,296.21402,-14.621172,0.184184,19.406,17.39,16.763,16.607,M  ,dM1.5   ,5,1,Simbad
sp,73986,296.189636,-14.643152,0.168182,20.018,17.088,16.481,16.215,M  ,dM3     ,5,1,Simbad
sp,74248,296.233551,-14.64607,0.157517,20.175,17.741,17.057,16.927,M  ,dM3     ,5,1,Simbad
sp,74874,296.229279,-14.652489,0.151364,21.271,17.698,16.422,15.496,C  ,C8.2    ,5,1,Simbad
sp,76015,296.193878,-14.664783,0.146304,20.917,18.34,17.605,17.257,M  ,C8.2 e  ,5,1,Simbad
sp,64758,296.020721,-14.549389,0.335975,21.499,18.37,17.61,17.368,M  ,M4III   ,5,1,Simbad
sp,65037,295.978973,-14.551923,0.362904,19.744,17.75,16.983,16.768,M  ,M1III   ,5,1,Simbad
sp,66587,296.059235,-14.56733,0.297712,20.174,17.994,17.26,17.157,M  ,dM1     ,4,1,Simbad
sp,67210,295.996796,-14.573745,0.334948,19.985,18.158,17.349,17.201,M  ,M1III   ,5,1,Simbad
sp,67490,295.981812,-14.576805,0.343984,20.922,17.368,16.79,16.532,M  ,--      ,4,1,Simbad
sp,68054,295.981445,-14.582492,0.340543,19.965,18.026,17.339,17.126,M  ,dM0     ,4,1,Simbad
sp,68809,295.946991,-14.590075,0.362933,21.382,18.303,17.808,17.445,M  ,dM4.5   ,4,1,Simbad
sp,69935,295.982422,-14.601364,0.327843,20.898,17.967,17.211,16.981,M  ,dM      ,4,1,Simbad
sp,70482,296.040436,-14.607334,0.280206,20.792,18.163,17.085,16.646,C  ,C5.5    ,5,1,Simbad
sp,70854,296.046143,-14.610744,0.273747,20.522,17.597,16.944,16.602,M  ,dM      ,4,1,Simbad
