Tab( ),Reg( ),f_ID( ),ID( ),n_ID( ),RAJ2000(deg),DEJ2000(deg),Jmag(mag),Hmag(mag),Kmag(mag),phT( ),n_phT( ),Dist(kpc),spT( ),spTK( ),spTD( ),[LDB2002]( ),R-I(mag),CN-TiO(mag),S/N( ),PapI( ),SimbadName( ),recno()
10.0,i, ,208714.0,   ,296.182983,-14.828946,17.6,16.81,16.58,M, ,0.5,Ce  ,dK7  ,K0III  ,219.0,1.118,0.383,18.0,PapI,[SRC2012] 296.183014-14.828941,84.0
10.0,i, ,209216.0,1.0,296.233093,-14.830748,17.39,16.6,16.31,M, ,0.24,Ce  ,dK7  ,K0III  ,458.0,1.118,0.397,18.0,PapI,[SRC2012] 296.233093-14.830748,85.0
10.0,i, ,213379.0,3.0,296.241516,-14.846167,18.41,17.3,16.36,C,*,0.37,Ce: ,dK7  ,K0III  ,489.0,1.215,0.365,11.0,PapI,[LDB2002]  489                ,86.0
10.0,i, ,217716.0,   ,296.234772,-14.862573,17.71,16.99,16.68,M, ,0.51,Ce: ,dK   ,K0V    ,466.0,1.221,0.404,12.0,PapI,[SRC2012] 296.234772-14.862573,87.0
10.0,i, ,223739.0,   ,296.153625,-14.886689,18.0,17.21,16.92,M, ,1.0,C   ,dK7  ,K0III  ,131.0,1.161,0.393,10.0,PapI,[SRC2012] 296.153625-14.886694,88.0
10.0,i, ,242563.0,   ,296.183685,-14.962144,18.24,17.33,16.82,C,*,1.43,C   ,dK   ,K0IV   ,222.0,1.21,0.478,12.0,PapI,[LDB2002]  222                ,89.0
11.0,o, ,12243.0,   ,296.358276,-13.897025,17.58,16.84,16.62,M, ,7.81,dM: ,dM3.5,M1.5V  ,   ,      ,      ,13.0,PapI,[SRC2012] 296.358276-13.897025,90.0
11.0,o, ,20479.0,   ,296.329987,-13.938492,17.49,16.72,16.7,M, ,7.43,dK  ,dK7  ,K0III  ,   ,      ,      ,20.0,PapI,[SRC2012] 296.329987-13.938492,91.0
11.0,o, ,27278.0,   ,296.079315,-13.973788,17.74,16.98,16.9,M, ,7.21,dM: ,dM3  ,M3V    ,   ,      ,      ,16.0,PapI,[SRC2012] 296.079315-13.973788,92.0
11.0,o, ,29959.0,   ,296.396942,-13.987878,17.15,16.41,16.3,M, ,7.1,dM: ,dM0  ,M0V    ,   ,      ,      ,13.0,PapI,[SRC2012] 296.396942-13.987878,93.0
11.0,o, ,35137.0,   ,296.6521,-14.015325,18.33,17.57,17.32,M, ,7.56,dK: ,dK7  ,K4III  ,   ,      ,      ,11.0,PapI,[SRC2012] 296.652100-14.015325,94.0
11.0,o, ,38421.0,   ,296.7117,-14.03266,18.29,17.56,17.35,M, ,7.67,dK: ,dK7  ,K2V    ,   ,      ,      ,14.0,PapI,[SRC2012] 296.711700-14.032660,95.0
11.0,o, ,63349.0,   ,296.484314,-14.154216,18.15,17.16,16.43,C, ,5.91,dK  ,dK   ,K0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 296.484314-14.154216,96.0
11.0,o, ,64581.0,   ,295.60434,-14.160067,17.65,16.92,16.73,M, ,7.6,dM: ,dM1.5,M0V    ,   ,      ,      ,13.0,PapI,[SRC2012] 295.604340-14.160067,97.0
11.0,o, ,67487.0,   ,296.492676,-14.174297,17.46,16.71,16.57,M, ,5.78,dM: ,dM2  ,M1.5V  ,   ,      ,      ,11.0,PapI,[SRC2012] 296.492676-14.174297,98.0
11.0,o, ,78272.0,   ,296.068665,-14.228847,17.94,17.21,17.0,M, ,5.11,dM: ,K7III,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 296.068665-14.228847,99.0
11.0,o, ,78560.0,   ,295.52533,-14.230219,17.56,16.8,16.77,M, ,7.67,dK  ,dK7  ,K2V    ,   ,      ,      ,19.0,PapI,[SRC2012] 295.525330-14.230219,100.0
11.0,o, ,81011.0,   ,296.979736,-14.242464,17.83,17.11,16.91,M, ,7.8,dM  ,dM3.5,M3V    ,   ,      ,      ,10.0,PapI,[SRC2012] 296.979736-14.242464,101.0
11.0,o, ,83584.0,   ,296.461334,-14.256592,17.03,16.29,16.12,M, ,5.03,dM: ,dM1.5,M1.5V  ,   ,      ,      ,16.0,PapI,[SRC2012] 296.461334-14.256592,102.0
11.0,o, ,86214.0,   ,295.588501,-14.270535,17.46,16.72,16.56,M, ,7.04,dM  ,dM0  ,M0V    ,   ,      ,      ,17.0,PapI,[SRC2012] 295.588501-14.270535,103.0
11.0,o, ,88989.0,   ,295.462524,-14.283733,17.55,16.81,16.63,M, ,7.8,dM  ,dM1.5,M0V    ,   ,      ,      ,12.0,PapI,[SRC2012] 295.462524-14.283733,104.0
11.0,o, ,89016.0,   ,295.571045,-14.283828,17.75,16.98,16.86,M, ,7.08,dM: ,dM1.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.571045-14.283828,105.0
11.0,o, ,107892.0,   ,295.808746,-14.380803,17.9,17.17,17.08,M, ,5.06,dK  ,dK7  ,K0III  ,   ,      ,      ,13.0,PapI,[SRC2012] 295.808746-14.380803,106.0
11.0,o, ,112177.0,   ,296.821106,-14.404108,17.67,16.93,16.79,M, ,5.91,dM: ,dM1.5,M1.5V  ,   ,      ,      ,13.0,PapI,[SRC2012] 296.821106-14.404108,107.0
11.0,o, ,117401.0,   ,297.100342,-14.432428,18.51,17.75,17.34,M, ,7.81,dK: ,dK   ,K0V    ,   ,      ,      ,14.0,PapI,[SRC2012] 297.100342-14.432428,108.0
11.0,o, ,127636.0,   ,296.787109,-14.488456,17.8,16.99,16.77,M, ,5.28,dK: ,dK7  ,K2V    ,   ,      ,      ,11.0,PapI,[SRC2012] 296.787109-14.488456,109.0
11.0,o, ,128222.0,   ,297.023987,-14.491783,17.85,17.05,17.02,M, ,7.03,dM: ,dM3.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 297.023987-14.491783,110.0
11.0,o, ,140011.0,   ,296.800354,-14.549609,17.48,16.73,16.57,M, ,5.14,dM: ,dM3.5,M3V    ,   ,      ,      ,12.0,PapI,[SRC2012] 296.800354-14.549609,111.0
11.0,o, ,143954.0,   ,295.40918,-14.567859,18.05,17.24,17.14,M, ,7.14,dM  ,dM0  ,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.409180-14.567859,112.0
11.0,o, ,146932.0,   ,297.072693,-14.582489,17.77,17.04,16.86,M, ,7.16,dM: ,dM0  ,M0V    ,   ,      ,      ,13.0,PapI,[SRC2012] 297.072693-14.582489,113.0
11.0,o, ,148616.0,   ,296.853027,-14.590661,18.26,17.49,17.34,M, ,5.41,dK: ,dK7  ,K0III  ,   ,      ,      ,13.0,PapI,[SRC2012] 296.853027-14.590661,114.0
11.0,o, ,152918.0,   ,296.812988,-14.611956,18.19,17.45,17.19,M, ,5.03,C:  ,C3.2 ,C      ,   ,      ,      ,11.0,PapI,[SRC2012] 296.812988-14.611956,115.0
11.0,o, ,155389.0,   ,297.11145,-14.624125,17.25,16.5,16.37,M, ,7.39,dM: ,dM1.5,M0V    ,   ,      ,      ,21.0,PapI,[SRC2012] 297.111450-14.624125,116.0
11.0,o, ,157802.0,   ,296.911255,-14.636194,17.79,17.06,16.91,M, ,5.75,dK: ,dK7  ,K0III  ,   ,      ,      ,16.0,PapI,[SRC2012] 296.911255-14.636194,117.0
11.0,o, ,165107.0,   ,297.148376,-14.671167,17.74,17.01,16.82,M, ,7.62,dM: ,dM1.5,M1.5V  ,   ,      ,      ,11.0,PapI,[SRC2012] 297.148376-14.671167,118.0
11.0,o, ,184165.0,   ,295.609711,-14.742889,17.68,16.96,16.69,M, ,5.22,dM: ,dM3.5,M3V    ,   ,      ,      ,12.0,PapI,[SRC2012] 295.609711-14.742889,119.0
11.0,o, ,185402.0,   ,295.516144,-14.746992,16.85,16.11,15.87,M, ,5.99,dMe ,dM1.5,M3V    ,   ,      ,      ,32.0,PapI,[SRC2012] 295.516144-14.746992,120.0
11.0,o, ,200928.0,   ,295.559082,-14.801364,17.6,16.82,16.65,M, ,5.61,dMe:,dM0  ,M0V    ,   ,      ,      ,19.0,PapI,[SRC2012] 295.559082-14.801364,121.0
11.0,o, ,201578.0,   ,295.527863,-14.803578,17.05,16.29,16.12,M, ,5.87,dMe:,dM1.5,M3V    ,   ,      ,      ,25.0,PapI,[SRC2012] 295.527863-14.803578,122.0
11.0,o, ,201803.0,   ,295.621918,-14.804337,17.94,17.17,16.95,M, ,5.09,dM: ,dM1.5,M3V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.621918-14.804337,123.0
11.0,o, ,208174.0,   ,295.512543,-14.826831,17.85,17.13,17.01,M, ,6.0,dMe ,dM1.5,M0V    ,   ,      ,      ,16.0,PapI,[SRC2012] 295.512543-14.826831,124.0
11.0,o, ,215764.0,   ,295.524353,-14.855192,18.01,17.16,17.11,M, ,5.91,dMe:,dM1.5,M0V    ,   ,      ,      ,10.0,PapI,[SRC2012] 295.524353-14.855192,125.0
11.0,o, ,220386.0,   ,295.535919,-14.873045,17.77,17.04,16.99,M, ,5.83,dK  ,dK7  ,K0IV   ,   ,      ,      ,19.0,PapI,[SRC2012] 295.535919-14.873045,126.0
11.0,o, ,223551.0,   ,295.621216,-14.885853,18.13,17.32,17.13,M, ,5.14,dK  ,dK7  ,K0III  ,   ,      ,      ,13.0,PapI,[SRC2012] 295.621216-14.885853,127.0
11.0,o, ,223794.0,   ,295.547546,-14.886919,17.05,16.32,16.13,M, ,5.75,dM  ,dM3.5,M3V    ,   ,      ,      ,20.0,PapI,[SRC2012] 295.547546-14.886919,128.0
11.0,o, ,234263.0,   ,295.540558,-14.933914,17.48,16.74,16.64,M, ,5.87,dM: ,dM1.5,M0V    ,   ,      ,      ,17.0,PapI,[SRC2012] 295.540558-14.933914,129.0
11.0,o, ,246831.0,   ,295.639313,-14.980222,17.65,16.92,16.77,M, ,5.17,dK: ,dK7  ,M0V    ,   ,      ,      ,11.0,PapI,[SRC2012] 295.639313-14.980222,130.0
