Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
76,11299,296.26,-14.78,19.06,,17.30,,15.73,,LPV
77,13293,296.26,-14.83,20.30,,18.37,,16.42,,LPV
78,21029,296.20,-14.72,19.11,,17.07,,15.55,,LPV
79,40102,296.20,-14.75,19.69,,17.43,,15.69,,LPV
80,12177,296.28,-14.81,20.50,,18.10,,16.10,,LPV
81,10807,296.22,-14.83,20.37,,18.00,,15.89,,LPV
82,40623,296.30,-14.75,20.40,,18.08,,16.11,,LPV
83,30268,296.26,-14.89,16.73,,15.44,,14.45,,LPV
84,20540,296.18,-14.71,17.88,,16.89,,16.39,,C
85,40590,296.29,-14.74,18.01,,17.04,,16.39,,C
86,20578,296.29,-14.70,17.80,,16.82,,16.14,,C
87,20542,296.18,-14.71,17.84,,16.76,,16.02,,C
88,30430,296.22,-14.93,17.67,,16.56,,15.86,,C
89,12400,296.17,-14.79,18.00,,16.75,,15.88,,C
90,30583,296.30,-14.88,18.37,,17.07,,15.88,,C
91,20375,296.18,-14.75,18.03,,16.62,,15.59,,C
92,20657,296.23,-14.65,17.98,,16.59,,15.56,,C
93,20588,296.30,-14.69,17.56,,16.22,,15.16,,C
94,40363,296.24,-14.86,19.18,,17.73,,16.32,,C
95,,296.22,-14.71,17.60,,16.76,,16.37,,C
96,,296.23,-14.72,17.50,,16.56,,16.30,,C
97,,296.22,-14.73,18.26,,17.25,,17.15,,C
98,,296.13,-14.73,17.56,,16.81,,16.41,,C
99,,296.31,-14.74,17.18,,16.31,,15.91,,C
100,,296.29,-14.74,16.67,,15.62,,15.09,,C
101,,296.19,-14.78,16.72,,15.90,,15.54,,C
102,,296.25,-14.79,17.58,,16.73,,16.46,,C
103,,296.24,-14.80,17.25,,16.52,,16.22,,C
104,,296.23,-14.87,17.31,,16.58,,16.32,,C
105,,296.21,-14.87,17.66,,16.80,,16.47,,C
106,,296.12,-14.63,16.46,,15.59,,15.26,,C
107,,296.23,-14.67,17.14,,16.26,,16.01,,C
108,,295.97,-14.68,16.82,,16.02,,15.68,,C
109,,296.26,-14.68,17.31,,16.47,,16.21,,C
110,,296.41,-14.69,17.47,,16.58,,16.11,,C
111,,296.16,-14.69,17.31,,16.25,,15.68,,C
112,,296.18,-14.69,17.24,,16.35,,16.08,,C
113,,296.25,-14.69,17.26,,16.43,,16.11,,C
114,,295.97,-14.69,17.32,,16.40,,16.13,,C
115,,296.35,-14.72,17.05,,16.13,,15.75,,C
116,,296.38,-14.73,16.15,,15.33,,15.03,,C
117,,296.44,-14.74,17.45,,16.68,,16.56,,C
118,,296.49,-14.76,16.74,,15.93,,15.63,,C
119,,296.13,-14.76,17.37,,16.47,,16.18,,C
120,,296.11,-14.78,17.35,,16.46,,15.92,,C
121,,296.15,-14.79,17.14,,16.30,,15.98,,C
122,,296.28,-14.79,17.47,,16.75,,16.45,,C
123,,296.37,-14.80,17.73,,16.79,,16.55,,C
124,,296.17,-14.80,17.40,,16.44,,15.76,,C
125,,296.07,-14.80,17.62,,16.74,,16.46,,C
126,,296.16,-14.80,17.38,,16.61,,16.35,,C
127,,296.34,-14.81,17.41,,16.50,,16.05,,C
128,,296.10,-14.83,16.72,,15.96,,15.64,,C
129,,296.13,-14.83,17.56,,16.74,,16.49,,C
130,,296.08,-14.83,17.50,,16.60,,16.15,,C
131,,296.43,-14.83,17.48,,16.72,,16.32,,C
132,,296.31,-14.84,17.25,,16.46,,16.08,,C
133,,296.17,-14.86,17.84,,16.97,,16.65,,C
