Z,a,b,K validity range(lower limit),K validity range(upper limit)
0.0030,-0.211,-1.093,-10.571,-10.152
0.0030,-0.676,-5.818,-10.152,-9.733
0.0030,-0.287,-2.030,-9.733,-9.315
0.0030,-0.311,-2.251,-9.315,-8.896
0.0030,-0.401,-3.049,-8.896,-8.477
0.0030,-0.216,-1.481,-8.477,-8.058
0.0030,-0.235,-1.636,-8.058,-7.639
0.0030,-0.102,-0.623,-7.639,-7.221
0.0030,-0.173,-1.130,-7.221,-6.802
0.0030,-0.218,-1.436,-6.802,
0.0060,-0.459,-3.888,,-11.902
0.0060,-0.623,-5.844,-11.902,-11.498
0.0060,-0.159,-0.508,-11.498,-11.094
0.0060,-0.280,-1.851,-11.094,-10.689
0.0060,-0.298,-2.036,-10.689,-10.285
0.0060,-0.355,-2.623,-10.285,-9.881
0.0060,-0.529,-4.347,-9.881,-9.477
0.0060,-0.240,-1.605,-9.477,-9.073
0.0060,-0.397,-3.031,-9.073,-8.669
0.0060,-0.111,-0.555,-8.669,-8.265
0.0060,-0.405,-2.981,-8.265,-7.860
0.0060,-0.198,-1.355,-7.860,-7.456
0.0060,-0.200,-1.371,-7.456,-7.052
0.0060,-0.200,-1.372,-7.052,
0.0080,-0.767,-7.575,,-11.767
0.0080,-0.412,-3.402,-11.767,-11.381
0.0080,-0.139,-0.298,-11.381,-10.994
0.0080,-0.346,-2.565,-10.994,-10.608
0.0080,-0.195,-0.972,-10.608,-10.221
0.0080,-0.671,-5.838,-10.221,-9.835
0.0080,-0.200,-1.198,-9.835,-9.448
0.0080,-0.390,-2.999,-9.448,-9.061
0.0080,-0.368,-2.796,-9.061,-8.675
0.0080,-0.307,-2.269,-8.675,-8.288
0.0080,-0.210,-1.461,-8.288,-7.902
0.0080,-0.271,-1.948,-7.902,-7.515
0.0080,-0.161,-1.117,-7.515,-7.129
0.0080,-0.180,-1.258,-7.129,
0.0100,-0.750,-7.390,,-11.777
0.0100,-0.402,-3.296,-11.777,-11.396
0.0100,-0.173,-0.677,-11.396,-11.016
0.0100,-0.301,-2.189,-11.016,-10.635
0.0100,-0.217,-1.196,-10.635,-10.254
0.0100,-0.583,-4.950,-10.254,-9.873
0.0100,-0.305,-2.210,-9.873,-9.492
0.0100,-0.309,-2.245,-9.492,-9.112
0.0100,-0.410,-3.168,-9.112,-8.731
0.0100,-0.292,-2.137,-8.731,-8.350
0.0100,-0.249,-1.776,-8.350,-7.969
0.0100,-0.324,-2.376,-7.969,-7.589
0.0100,-0.156,-1.102,-7.589,-7.208
0.0100,-0.166,-1.170,-7.208,
0.0120,-0.771,-7.674,,-11.715
0.0120,-0.174,-0.684,-11.715,-11.344
0.0120,-0.243,-1.464,-11.344,-11.974
0.0120,-0.248,-1.526,-10.974,-10.603
0.0120,-0.253,-1.577,-10.603,-10.232
0.0120,-0.660,-5.741,-10.232,-9.862
0.0120,-0.191,-1.119,-9.862,-9.492
0.0120,-0.374,-2.850,-9.492,-9.121
0.0120,-0.388,-2.978,-9.121,-8.750
0.0120,-0.204,-1.370,-8.750,-8.380
0.0120,-0.388,-2.910,-8.380,-8.009
0.0120,-0.294,-2.159,-8.009,-7.639
0.0120,-0.187,-1.342,-7.639,7.268
0.0120,-0.155,-1.120,-7.268,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
