Id-main,Ra(J2000) deg,Dec(J2000) deg,J,Ks,Types,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
10870.0,296.17892,-14.82286,17.32,16.12,S,1.1999999999999993,0.1417799999999999,1.3860535196450294,9.38156494,2407492484.1892147,5.853984028686112,714470.0507352912
10784.0,296.21545,-14.83469,17.25,16.13,S,1.120000000000001,0.14112000000000002,1.3839487253107738,9.38366176,2419144219.5152044,5.851926958046245,711093.908043535
11004.0,296.27341,-14.80861,17.400000000000002,16.2,S,1.2000000000000028,0.1365,1.3693043883912075,9.3983395,2502300714.950162,5.8374942544969315,687850.8123196079
11029.0,296.28308,-14.80497,17.26,16.15,S,1.110000000000003,0.13980000000000004,1.3797487205074972,9.387855400000001,2442617138.6177273,5.847809033611222,704383.2720122853
12050.0,296.25427,-14.81764,17.970000000000002,16.63,S,1.3400000000000034,0.07276000000000016,1.1823879634118835,9.60084148,3988792825.405035,5.639018270727719,435530.1960142516
30528.0,296.19156,-14.89296,17.560000000000002,16.44,S,1.120000000000001,0.10467999999999988,1.2725650748860549,9.499431640000001,3158141902.865646,5.737527378716008,546420.9961719771
10326.0,296.25522,-14.82579,16.62,15.45,S,1.1700000000000017,0.2230000000000001,1.6710906143107078,9.173127000000001,1489796672.7361562,6.126886658451433,1339327.10615158
10293.0,296.29922,-14.8365,17.67,14.356485156757179,LAV,1.6340000000000003,0.5778100967350186,3.7827713989787672,8.268584253325704,185602684.45553574,5.067823848476841,116902.51337261505
10310.0,296.19168,-14.82965,18.12,15.164463453718348,LAV,1.6340000000000003,0.2988093309497646,1.989799562083531,8.97973739674715,954415308.7017984,6.19861374156387,1579842.3136779706
10371.0,296.28415,-14.81194,17.13,14.711430899160103,LAV,1.6340000000000003,0.4551204858401583,2.8518093320912334,8.581442761107597,381454516.24501795,5.216883344440399,164771.97391455658
10501.0,296.23456,-14.7733,17.8,15.038368364572316,LAV,1.6340000000000003,0.332728909930047,2.1514383705553954,8.89320855076845,782003236.9995373,6.096290104519594,1248217.0327436703
10968.0,296.20154,-14.81282,18.98,15.099686186568661,LAV,1.6340000000000003,0.31623441581303013,2.07125903477933,8.935286005260961,861560947.6120799,6.1591907268528185,1442748.8169242018
