Id-main,Ra(J2000) deg,Dec(J2000) deg,J,Ks,Types,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
10870.0,296.17892,-14.82286,17.32,16.12,S,1.1999999999999993,0.18584999999999993,1.5340870363948567,9.2183032,1653115507.7973373,5.829275513503751,674956.0795125968
10784.0,296.21545,-14.83469,17.25,16.13,S,1.120000000000001,0.18540000000000004,1.5324982949611667,9.219476799999999,1657588786.13359,5.82646609769029,670603.9353354962
11004.0,296.27341,-14.80861,17.400000000000002,16.2,S,1.2000000000000028,0.1745,1.4945140423664582,9.247904,1769717722.2159884,5.754160259355307,567754.0741446037
11029.0,296.28308,-14.80497,17.26,16.15,S,1.110000000000003,0.18450000000000003,1.5293257464187788,9.221824,1666571689.2101848,5.8208023012006285,661915.1192282644
12050.0,296.25427,-14.81764,17.970000000000002,16.63,S,1.3400000000000034,0.12204000000000004,1.324463517175135,9.38915688,2449948075.6604595,5.354303953283631,226101.76537848928
30528.0,296.19156,-14.89296,17.560000000000002,16.44,S,1.120000000000001,0.1452199999999998,1.3970758967824897,9.32426624,2109921220.183921,5.532524672109906,340819.6860915154
10326.0,296.25522,-14.82579,16.62,15.45,S,1.1700000000000017,0.2969999999999997,1.981527025805097,8.928424,848054962.8439521,5.863208439873501,729807.6978141746
10293.0,296.29922,-14.8365,17.67,14.37382,LAV,1.3490000000000002,0.5965031799999998,3.9491459099014006,8.190444820300002,155040378.6246306,4.957711347050077,90721.73495706082
10310.0,296.19168,-14.82965,18.12,15.155019999999999,LAV,1.3490000000000002,0.39842292000000024,2.5027814071610224,8.668808648199999,466453813.7070297,5.20500017869554,160324.60503642305
10371.0,296.28415,-14.81194,17.13,14.661819999999999,LAV,1.3490000000000002,0.55301518,3.572853262140457,8.2954683403,197455093.10715753,5.055326245926374,113586.37663517776
10501.0,296.23456,-14.7733,17.8,15.01442,LAV,1.3490000000000002,0.44819531999999995,2.8066956400237797,8.5486083022,353678208.61837685,5.0617022654246195,115266.27683288898
10968.0,296.20154,-14.81282,18.98,15.159419999999999,LAV,1.3490000000000002,0.3968653200000003,2.4938212427226802,8.6725702522,470511510.29734886,5.212320885663387,163050.03098155276
11391.0,296.18323,-14.76308,18.19,15.33542,LAV,1.3490000000000002,0.3365300999999996,2.1703516206763296,8.8253294992,668851182.4694266,5.598936696510348,397133.6583844947
11401.0,296.27222,-14.76143,17.89,15.173419999999998,LAV,1.3490000000000002,0.39190932000000034,2.465524485878303,8.6845389922,483658686.6121297,5.236714549950321,172470.39179971366
11403.0,296.22778,-14.76111,18.150000000000002,15.847419999999998,LAV,1.3490000000000002,0.19811610000000004,1.5780330691013895,9.1863132112,1535724140.7602046,5.899556613161115,793517.6903200507
