Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,-0.1076000000000001,0.7805486914662375,10.3433456,22046801910.453484,4.955945648836378,90353.6390712296
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.05864,1.1445637841244651,9.80206816,6339692012.386105,5.729399983087731,536290.3509166721
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.2309399999999997,1.7019233627501684,9.27880692,1900233280.4418807,6.287656724425773,1939352.3663492764
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.3128799999999994,2.055322610893096,9.075431840000002,1189684600.4096415,6.36274053885036,2305369.4771595127
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.3245599999999999,2.111348869285941,9.04644208,1112863964.9909122,6.357688924828742,2278709.300131536
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.150000000000002,0.3303999999999996,2.1399321324559413,9.0319472,1076334348.7196343,6.353616954242386,2257443.836716151
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6379699999999997,4.344802103052775,8.185532160000001,153296471.9939848,5.090837478930737,123264.34688061486
296.18801,-14.87231,15.68,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.4563999999999995,2.8602236939542776,8.699414,500511430.2813287,5.990415832293903,978173.3631824388
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.150000000000002,0.64106,4.375825552465316,8.17851168,150838317.67445892,5.086548009189989,122052.87369355012
296.21293,-14.73224,13.52,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.1069499999999994,12.792340184201738,7.045259550000001,11098378.961396664,5.292891806258896,196287.12150484225
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000025,-0.0196199999999999,0.9558285533395672,10.05688272,11399419078.94768,5.370366740457817,234620.92380152337
296.23639,-14.83054,17.5,16.76,15.97,C,Whitelock,89.99,1.5300000000000011,0.06488,1.1611277380612706,9.78175072,6049935158.06048,5.7561891179099325,570412.6101271834
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.0135799999999999,1.031763119725935,9.94878352,8887579938.987684,5.52661551826819,336213.78687549534
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.0135799999999999,1.031763119725935,9.94878352,8887579938.987684,5.52661551826819,336213.78687549534
296.21027,-14.75973,17.69,16.91,16.22,C,Whitelock,89.99,1.4700000000000024,0.0258799999999999,1.0614022404002077,9.90873472,8104658499.538414,5.5833324842004055,383117.9358824935
296.18048,-14.80431,18.0,16.91,15.762143627073986,C,Whitelock,89.99,1.6979999999999995,0.1148654648280285,1.3027631476872723,9.61899804651994,4159087397.098165,5.954606269672857,900754.145790019
296.17438,-14.83893,18.38,17.16,15.879713445790507,C,Whitelock,89.99,1.6979999999999995,0.0789647024566806,1.199401817089007,9.735890928801048,5443659205.039727,5.815183380752765,653406.3951177545
296.29065,-14.69641,17.6,16.82,16.07,C,Whitelock,89.99,1.5300000000000011,0.0492799999999997,1.1201598444501075,9.83254432,6800554415.086222,5.688538521701833,488133.3965138592
296.17703,-14.71031,17.64,16.76,15.95,C,Whitelock,89.99,1.6900000000000013,0.0679999999999998,1.1694993910198703,9.771592,5910061497.743701,5.769438845187349,588083.297856739
296.21802,-14.92573,17.470000000000002,16.56,15.79,C,Whitelock,89.99,1.6800000000000033,0.1058400000000001,1.2759686379896025,9.64838496,4450255647.558342,5.921203358356441,834071.647177598
296.23352,-14.80653,17.67,16.61,15.444640302373198,C,Whitelock,89.99,1.6979999999999995,0.2173345647090734,1.6494325652080577,9.31257561039208,2053882574.9770288,6.257748679565421,1810292.1974545096
296.27563,-14.74923,19.73,18.27,16.117509344160528,C,Whitelock,89.99,1.6979999999999995,0.0418685423109574,1.1012059322952186,9.856676026235522,7189124856.282949,5.655655031330238,452537.97726496897
296.19489,-14.82267,17.900000000000002,16.85,15.687136977672411,C,Whitelock,89.99,1.6979999999999995,0.1391676192341386,1.3777411158761428,9.539870231773644,3466332601.324395,6.038229917439366,1092018.3028154664
296.17468,-14.79389,17.8,16.75,15.737097081262974,C,Whitelock,89.99,1.6979999999999995,0.1229805456707966,1.3273349980970215,9.592575343295886,3913590159.023391,5.983592107765454,962924.214032204
296.30014,-14.87872,18.17,17.07,15.64472009519208,C,Whitelock,89.99,1.6979999999999995,0.1529106891577654,1.4220363212348794,9.495122796102317,3126963386.268357,6.081038509028919,1205142.7960267349
296.22632,-14.72554,17.84,16.71,15.452183523483429,C,Whitelock,89.99,1.6979999999999995,0.2154563026526263,1.6423144068413258,9.317237456816182,2076048316.764782,6.253261195238702,1791683.0917473512
