Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,0.0005999999999997119,1.001382505837098,9.795095600000002,6238721515.576301,5.330023947805091,213807.99839567754
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.17808000000000018,1.5068846190272471,9.256731679999998,1806057945.1257281,5.8881975983117405,773032.2246503128
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.2607999999999997,1.823055960681068,9.0433968,1105087839.7134244,6.109089820619538,1285552.5099322393
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.35645999999999933,2.272270341800017,8.79668966,626166256.2149723,5.575661639842466,376410.4222035786
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.3730199999999999,2.360586939723459,8.753981419999999,567520325.217009,5.450455944814202,282134.3369205971
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.1500000000000021,0.38129999999999953,2.4060242487673706,8.733714200000001,541644328.4312683,5.392133903156109,246679.97921218534
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6821300000000008,4.809833025510439,8.020097399999997,104736341.5778809,4.427206152471147,26742.75542181374
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.5402,3.4689656544605407,8.3418668,219718588.2998545,5.0808188991954895,120453.35451259358
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.1500000000000021,0.6877400000000007,4.872367077363189,8.0087652,102038766.50422059,4.3782214902501755,23890.293776094055
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.3156499999999993,20.6847368405725,6.984753150000001,9655019.383285986,4.353855720218579,22586.852731070016
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000023,0.11587999999999998,1.3058100296346713,9.429196880000001,2686562076.7614765,5.5350338752127355,342794.5236684469
296.23639,-14.83054,17.5,16.76,15.969999999999999,C,Whitelock,89.99,1.5300000000000011,0.18136000000000002,1.5183084183278677,9.248272559999998,1771220214.2598877,5.90651697499651,806337.717556329
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.14403999999999983,1.393285123338051,9.34452084,2210654333.9331293,5.684631877871041,483762.1412220478
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.14403999999999983,1.393285123338051,9.34452084,2210654333.9331293,5.684631877871041,483762.1412220478
