Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
296.18398,-14.78018,18.03,17.51,17.05,O,Whitelock,89.99,0.9800000000000004,-0.0920000000000003,0.8090958991783818,10.228184,16911572820.55188,5.221637506702638,166585.61891525032
296.25229,-14.78475,17.29,16.54,16.009999999999998,O,Whitelock,89.99,1.2800000000000011,0.11700000000000044,1.3091819229994084,9.548516,3536030480.781365,5.94476325291337,880568.7174461244
296.20415,-14.63486,16.38,15.91,15.39,O,Whitelock,89.99,0.9899999999999984,0.28329999999999966,1.9199945679542867,9.099699300000001,1258054049.475162,6.3998877922471635,2511237.5245217225
296.22364,-14.77473,16.240000000000002,15.58,15.06,O,Whitelock,89.99,1.1800000000000015,0.3762899999999998,2.378427950980661,8.86917709,739906921.5471818,6.2326944159356845,1708812.5145668974
296.21816,-14.88035,16.1,15.53,15.02,O,Whitelock,89.99,1.0800000000000018,0.3807299999999999,2.4028684770796422,8.85817033,721390352.5128193,6.215530696126491,1642595.7549678334
296.21322,-14.68097,16.150000000000002,15.55,15.0,O,Whitelock,89.99,1.1500000000000021,0.3829499999999999,2.4151827602469793,8.85266695,712306569.8313937,6.2066541680730865,1609363.576600569
296.25088,-14.76786,15.3,14.68,14.12,O,Whitelock,89.99,1.1800000000000015,0.6341999999999999,4.307249209819748,8.1705652,148103458.41498873,5.081738859220146,120708.77963213727
296.18801,-14.87231,15.680000000000001,15.19,14.61,O,Whitelock,89.99,1.070000000000002,0.4784799999999998,3.0094005776638646,8.59274456,391511533.1203761,5.656198167172822,453104.2827654609
296.26702,-14.76311,15.260000000000002,14.67,14.11,O,Whitelock,89.99,1.1500000000000021,0.6366,4.331117839310406,8.165299599999999,146318621.1955845,5.075697540357747,119041.2669384356
296.21293,-14.73224,13.520000000000001,12.97,12.5,O,Whitelock,89.99,1.0200000000000014,1.2150000000000003,16.405897731995402,7.10433,12715399.217494939,5.423958573956413,265435.2359216533
296.20389,-14.75535,17.830000000000002,17.11,16.52,C,Whitelock,89.99,1.3100000000000023,0.014000000000000012,1.0327614057613974,9.883472,7646663869.856935,5.527754527233935,337096.72034209303
296.23639,-14.83054,17.5,16.76,15.969999999999999,C,Whitelock,89.99,1.5300000000000011,0.12604000000000015,1.3367186272122817,9.51911792,3304592554.2929177,5.980466631310353,956019.2371792665
296.18011,-14.71067,17.68,16.89,16.32,C,Whitelock,89.99,1.3599999999999994,0.05499999999999994,1.1350108156723149,9.75014,5625226318.373159,5.689518186630238,489235.752070811
296.28567,-14.73952,17.810000000000002,17.04,16.32,C,Whitelock,89.99,1.490000000000002,0.05499999999999994,1.1350108156723149,9.75014,5625226318.373159,5.689518186630238,489235.752070811
296.21027,-14.75973,17.69,16.91,16.22,C,Whitelock,89.99,1.4700000000000024,0.07500000000000018,1.188502227437019,9.6851,4842838652.278515,5.772208729502656,591846.0173487348
296.18048,-14.80431,18.0,16.91,15.685112275966299,C,Whitelock,89.99,1.7110000000000003,0.1824477693586728,1.5221160638286306,9.34971197975985,2237236930.819315,6.189889622204598,1548423.0305792794
296.17438,-14.83893,18.38,17.16,15.762447784207167,C,Whitelock,89.99,1.7110000000000003,0.16713533872698094,1.469384108908761,9.387671495295814,2441583016.1401725,6.1309568261930725,1351938.1584970076
296.29065,-14.69641,17.6,16.82,16.07,C,Whitelock,89.99,1.5300000000000011,0.10499999999999998,1.2735030810166617,9.58754,3868476829.8060513,5.896286311543351,787564.8259688773
296.17703,-14.71031,17.64,16.76,15.95,C,Whitelock,89.99,1.6900000000000013,0.13000000000000012,1.348962882591654,9.50624,3208041664.0840597,5.995834098102433,990453.5161683523
296.21802,-14.92573,17.470000000000002,16.56,15.79,C,Whitelock,89.99,1.6800000000000033,0.16168000000000005,1.4510420562965873,9.40321664,2530560006.0509267,6.110750007088429,1290476.223007249
296.23352,-14.80653,17.67,16.61,15.36952487081197,C,Whitelock,89.99,1.7110000000000003,0.2915924273211523,1.9570072173621755,9.079142372670862,1199892593.6975834,6.400110955263581,2512528.260126622
296.27563,-14.74923,19.73,18.27,15.829726842942268,C,Whitelock,89.99,1.7110000000000003,0.153814085097431,1.4249974431493728,9.428796595263155,2684087041.0354853,6.083759833175159,1212718.026410361
296.19489,-14.82267,17.900000000000002,16.85,15.613937465657644,C,Whitelock,89.99,1.7110000000000003,0.1965403817997864,1.5723179837706505,9.31477639351833,2064317021.1470876,6.239058496773458,1734037.5461289466
296.17468,-14.79389,17.8,16.75,15.686888603805723,C,Whitelock,89.99,1.7110000000000003,0.18209605644646665,1.5208838788046792,9.350583876069209,2241732953.86733,6.188597437723378,1543822.7544599064
296.30014,-14.87872,18.17,17.07,15.523622594515821,C,Whitelock,89.99,1.7110000000000003,0.22918284922109233,1.6950513107216074,9.233855716780912,1713387983.66528,6.330801880583708,2141913.26562346
296.22632,-14.72554,17.84,16.71,15.352161137818223,C,Whitelock,89.99,1.7110000000000003,0.29862473918361987,1.9889540008724316,9.061709271563807,1152681363.501675,6.398014019602142,2500426.077465219
296.19647,-14.70265,18.01,16.6,14.772706205843226,C,Whitelock,89.99,1.7110000000000003,0.4138856362802388,2.593496321107079,8.770572843320503,589620864.667472,6.05822144969858,1143461.2447977029
296.30347,-14.74166,18.5,17.18,15.522132913065342,C,Whitelock,89.99,1.7110000000000003,0.22978617020853687,1.6974077088358692,9.232360084053036,1707497529.7351682,6.332173814429948,2148690.2562860404
296.17462,-14.78854,18.220000000000002,17.09,15.71774854297255,C,Whitelock,89.99,1.7110000000000003,0.17598578849143487,1.499635761806839,9.365731230329732,2321299780.470838,6.165673746890638,1464447.2974086371
296.19916,-14.8616,20.01,18.61,16.311503170781688,C,Whitelock,89.99,1.7110000000000003,0.05669936584366253,1.1394607390560028,9.744613662276409,5554099583.628198,5.6964901288474765,497153.0737207655
296.21259,-14.80142,18.18,16.9,15.389496646059088,C,Whitelock,89.99,1.7110000000000003,0.2835038583460694,1.9208960272433426,9.099193935160093,1256590971.8996818,6.3999279416213515,2511469.692508829
296.18277,-14.74815,17.830000000000002,16.62,15.255685568744184,C,Whitelock,89.99,1.7110000000000003,0.33769734465860557,2.1761926775776543,8.964848282591316,922249190.2712891,6.347374282983767,2225226.8059640923
296.21729,-14.77647,18.17,16.99,15.379496646059089,C,Whitelock,89.99,1.7110000000000003,0.2875538583460693,1.9388930698132798,9.089153985160094,1227874514.004405,6.400364363967979,2513994.7358671385
296.22229,-14.90997,18.75,17.42,15.844195887293708,C,Whitelock,89.99,1.7110000000000003,0.15094921431584574,1.4156282290352025,9.43811315504487,2742288579.7295876,6.07365035556828,1184814.486464922
296.22934,-14.65254,17.78,16.59,15.234510758435531,C,Whitelock,89.99,1.7110000000000003,0.3462731428336099,2.2195919591212703,8.943588878915481,878190791.5646964,6.327369170783529,2125050.087213419
296.24048,-14.84939,18.900000000000002,17.38,15.316803929547074,C,Whitelock,89.99,1.7110000000000003,0.31294440853343497,2.0556274504374894,9.026210811245614,1062211040.8225807,6.387166041667136,2438743.0327476994
296.29919,-14.69143,17.36,16.22,14.843335948126878,C,Whitelock,89.99,1.7110000000000003,0.40033970975791644,2.513852024417509,8.807864779036457,642487642.6484092,6.128851703479177,1345400.8678218578
296.17957,-14.77527,17.82,16.56,15.058321835750435,C,Whitelock,89.99,1.7110000000000003,0.37647627623170155,2.379448317673736,8.868715311221612,739120607.7787503,6.231990239143623,1706044.044887036
296.24246,-14.91158,18.75,17.21,15.238866903775438,C,Whitelock,89.99,1.7110000000000003,0.3445089039709477,2.210593577757637,8.94796242705602,887079263.1436749,6.331744518500194,2146567.345988313
296.23649,-14.85697,18.98,17.73,15.800356585225918,C,Whitelock,89.99,1.7110000000000003,0.15962939612526816,1.4442068352512047,9.409885203800629,2569716444.935627,6.103826323405839,1270066.0976814684
296.22876,-14.79337,18.55,17.25,15.42800696460861,C,Whitelock,89.99,1.7110000000000003,0.26790717933351305,1.8531355150974498,9.13785810243222,1373593105.929544,6.391896418852697,2465451.2461217423
296.2464,-14.73473,18.95,17.32,15.02090165325092,C,Whitelock,89.99,1.7110000000000003,0.3806299164891477,2.402314797916815,8.858418437023403,721802591.5703412,6.21592626996814,1644092.5824618838
296.24295,-14.83836,18.2,17.06,15.510384809978802,C,Whitelock,89.99,1.7110000000000003,0.2345441519585849,1.7161061668552957,9.220565047294668,1661747550.576781,6.342550827726054,2200649.2479129336
296.26687,-14.74039,18.21,16.86,14.972706205843226,C,Whitelock,89.99,1.7110000000000003,0.3859796111514019,2.4320898269293565,8.845156543955675,700094303.564061,6.1942272848027535,1563965.9184910099
296.23883,-14.87026,19.29,17.5,14.942936402726405,C,Whitelock,89.99,1.7110000000000003,0.389284059297369,2.4506656263418694,8.836964817001823,687012781.5853285,6.180265646922263,1514487.338676894
296.26569,-14.72024,19.580000000000002,17.78,15.304999376954768,C,Whitelock,89.99,1.7110000000000003,0.31772525233331894,2.0783814249156447,9.014359099465702,1033615704.981224,6.381562841579033,2407480.8517123726
296.21774,-14.78943,18.92,17.42,15.22150317078169,C,Whitelock,89.99,1.7110000000000003,0.3515412158334157,2.2466799824633794,8.930529325948962,852176053.0444779,6.313507396436385,2058293.9448916255
296.29114,-14.6977,19.04,17.62,15.355915765627364,C,Whitelock,89.99,1.7110000000000003,0.2971041149209177,1.982002121090559,9.065478899111044,1162730056.5396483,6.398646580387288,2504070.6642150353
296.21661,-14.79057,20.060000000000002,18.34,15.482334885195634,C,Whitelock,89.99,1.7110000000000003,0.24590437149576827,1.761588114739717,9.19240306306199,1557410373.3965523,6.364062172228167,2312395.8017709097
296.29965,-14.69757,17.96,16.62,14.953307723373994,C,Whitelock,89.99,1.7110000000000003,0.38813284270548654,2.44417806754215,8.839818682933098,691542193.1755465,6.185177556600179,1531713.5582031703
296.28125,-14.67393,19.96,18.21,15.26703412643025,C,Whitelock,89.99,1.7110000000000003,0.33310117879574896,2.1532833327115957,8.976242177765338,946764963.3890467,6.35678258956643,2273958.7883238196
296.28897,-14.81087,19.73,17.89,15.354111213035054,C,Whitelock,89.99,1.7110000000000003,0.2978349587208031,1.9853403018047429,9.063667137331128,1157889557.7530818,6.3983549320984086,2502389.6325822696
296.25732,-14.77645,18.86,17.3,15.002964627479287,C,Whitelock,89.99,1.7110000000000003,0.38262092634979905,2.4133534209202656,8.853482723578848,713645815.4205348,6.207982254275375,1614292.593802999
296.25696,-14.83051,20.1,18.37,15.450271910967272,C,Whitelock,89.99,1.7110000000000003,0.25888987605825475,1.8150553612882292,9.160211997251587,1446145522.428544,6.382764991241585,2414154.1153492876
296.19858,-14.71837,18.91,17.07,14.721474946028808,C,Whitelock,89.99,1.7110000000000003,0.4342244464265632,2.717843506486039,8.714580098987671,518298675.4713495,5.9411288892218845,873230.4858832408
296.19682,-14.75119,19.490000000000002,17.43,14.667320772819192,C,Whitelock,89.99,1.7110000000000003,0.45572365319078045,2.855772802483619,8.655392782765782,452264794.8613425,5.806013518358574,639754.7489281477
296.28424,-14.80892,20.3,18.1,14.900816978992275,C,Whitelock,89.99,1.7110000000000003,0.39395931533185735,2.4771899838274525,8.825430004891397,669005987.8663366,6.159852762167684,1444949.8097746966
296.21631,-14.83196,20.17,18.0,14.655516220226888,C,Whitelock,89.99,1.7110000000000003,0.4604100605699255,2.8867558897928665,8.642491103250995,439026871.85434204,5.7754854602875625,596328.3550675854
296.29793,-14.74687,20.2,18.08,14.959355522294675,C,Whitelock,89.99,1.7110000000000003,0.38746153702529096,2.440402925961883,8.841482849714303,694197187.3313229,6.188018233923513,1541765.182849308
296.25891,-14.88796,16.53,15.44,14.08584026568982,C,Whitelock,89.99,1.7110000000000003,0.642398336234443,4.389331039955552,8.152578050301631,142094755.90019897,5.058798929606482,114498.27126796976
