Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
36,11226,296.25229,-14.78475,17.49,,16.54,,16.08,,O
37,20331,296.20415,-14.63486,16.58,,15.91,,15.46,,O
38,10184,296.22364,-14.77473,16.44,,15.58,,15.13,,O
39,30133,296.21816,-14.88035,16.3,,15.53,,15.09,,O
40,20134,296.21322,-14.68097,16.35,,15.55,,15.07,,O
41,40139,296.20428,-14.74271,15.25,,14.32,,13.92,,O
42,10198,296.25088,-14.76786,15.5,,14.68,,14.19,,O
43,30292,296.18801,-14.87231,15.88,,15.19,,14.68,,O
44,10091,296.26702,-14.76311,15.46,,14.67,,14.18,,O
45,20004,296.21293,-14.73224,13.72,,12.97,,12.57,,O
46,10817,296.23639,-14.83054,17.7,,16.76,,16.04,,Unknown
47,12751,296.21027,-14.75973,17.89,,16.91,,16.29,,Unknown
48,11032,296.18048,-14.80431,18.2,,16.91,,15.94,,Unknown
49,10748,296.17438,-14.83893,18.58,,17.16,,16.11,,Unknown
50,12208,296.23352,-14.80653,17.87,,16.61,,15.62,,Unknown
51,21419,296.27563,-14.74923,19.93,,18.27,,16.57,,Unknown
52,13364,296.19489,-14.82267,18.1,,16.85,,15.86,,Unknown
53,20239,296.22632,-14.72554,18.04,,16.71,,15.66,,Unknown
54,20558,296.19647,-14.70265,18.21,,16.6,,15.31,,Unknown
55,20840,296.30347,-14.74166,18.7,,17.18,,15.98,,Unknown
56,12466,296.17462,-14.78854,18.42,,17.09,,16.03,,Unknown
57,40114,296.19916,-14.8616,20.21,,18.61,,16.99,,Unknown
58,11059,296.21259,-14.80142,18.38,,16.9,,15.79,,Unknown
59,11296,296.21729,-14.77647,18.37,,16.99,,15.78,,Unknown
60,30928,296.22229,-14.90997,18.95,,17.42,,16.28,,Unknown
61,13106,296.24048,-14.84939,19.1,,17.38,,15.96,,Unknown
62,11305,296.17957,-14.77527,18.02,,16.56,,15.45,,Unknown
63,30920,296.24246,-14.91158,18.95,,17.21,,15.86,,Unknown
64,11140,296.22876,-14.79337,18.75,,17.25,,15.93,,Unknown
65,20439,296.2464,-14.73473,19.15,,17.32,,15.77,,Unknown
66,10753,296.24295,-14.83836,18.4,,17.06,,15.88,,Unknown
67,40520,296.26687,-14.74039,18.41,,16.86,,15.51,,Unknown
68,31168,296.23883,-14.87026,19.49,,17.5,,15.82,,Unknown
69,21671,296.26569,-14.72024,19.78,,17.78,,16.16,,Unknown
70,11174,296.21774,-14.78943,19.12,,17.42,,15.9,,Unknown
71,20569,296.29114,-14.6977,19.24,,17.62,,16.03,,Unknown
72,12445,296.21661,-14.79057,20.26,,18.34,,16.43,,Unknown
73,21141,296.29965,-14.69757,18.16,,16.62,,15.42,,Unknown
74,21234,296.28125,-14.67393,20.16,,18.21,,16.25,,Unknown
75,12147,296.28897,-14.81087,19.93,,17.89,,16.24,,Unknown
76,11299,296.25732,-14.77645,19.06,,17.3,,15.73,,Unknown
77,13293,296.25696,-14.83051,20.3,,18.37,,16.42,,Unknown
78,21029,296.19858,-14.71837,19.11,,17.07,,15.55,,Unknown
79,40102,296.19682,-14.75119,19.69,,17.43,,15.69,,Unknown
80,12177,296.28424,-14.80892,20.5,,18.1,,16.1,,Unknown
81,10807,296.21631,-14.83196,20.37,,18,,15.89,,Unknown
82,40623,296.29793,-14.74687,20.4,,18.08,,16.11,,Unknown
83,30268,296.25891,-14.88796,16.73,,15.44,,14.45,,Unknown
84,20540,296.18011,-14.71067,17.88,,16.89,,16.39,,C
85,40590,296.28567,-14.73952,18.01,,17.04,,16.39,,C
86,20578,296.29065,-14.69641,17.8,,16.82,,16.14,,C
87,20542,296.17703,-14.71031,17.84,,16.76,,16.02,,C
88,30430,296.21802,-14.92573,17.67,,16.56,,15.86,,C
89,12400,296.17468,-14.79389,18,,16.75,,15.88,,C
90,30583,296.30014,-14.87872,18.37,,17.07,,15.88,,C
91,20375,296.18277,-14.74815,18.03,,16.62,,15.59,,C
92,20657,296.22934,-14.65254,17.98,,16.59,,15.56,,C
93,20588,296.29919,-14.69143,17.56,,16.22,,15.16,,C
94,40363,296.23649,-14.85697,19.18,,17.73,,16.32,,C
95,,296.22287,-14.71018,17.6,,17.6,,17.6,,Ce  
96,,296.22888,-14.72012,17.6,,17.6,,17.6,,Ce  
97,,296.22033,-14.72841,17.6,,17.6,,17.6,,Ce  
98,,296.12738,-14.73369,17.6,,17.6,,17.6,,Ce  
99,,296.31088,-14.73645,17.6,,17.6,,17.6,,Ce  
100,,296.28564,-14.74075,17.6,,17.6,,17.6,,Ce: 
101,,296.18609,-14.7787,17.6,,17.6,,17.6,,Ce  
102,,296.24578,-14.7865,17.6,,17.6,,17.6,,Ce: 
103,,296.23651,-14.79789,17.6,,17.6,,17.6,,Ce  
104,,296.22512,-14.86821,17.6,,17.6,,17.6,,Ce  
105,,296.21267,-14.87307,17.6,,17.6,,17.6,,Ce  
106,,295.98809,-13.95111,17.6,,17.6,,17.6,,dMe:
107,,295.96771,-13.98843,17.6,,17.6,,17.6,,dMe 
108,,295.95544,-14.21816,17.6,,17.6,,17.6,,dMe:
109,,295.95578,-14.27512,17.6,,17.6,,17.6,,Uncl
110,,296.117004,-14.632751,17.6,,17.6,,17.6,,C:  
111,,296.233887,-14.671288,17.6,,17.6,,17.6,,C   
112,,295.968842,-14.682981,17.6,,17.6,,17.6,,C   
113,,296.259827,-14.684196,17.6,,17.6,,17.6,,C   
114,,296.411377,-14.685686,17.6,,17.6,,17.6,,C:  
115,,296.156006,-14.687428,17.6,,17.6,,17.6,,Ce: 
116,,296.179413,-14.688039,17.6,,17.6,,17.6,,C   
117,,296.248596,-14.689795,17.6,,17.6,,17.6,,C   
118,,295.969452,-14.694445,17.6,,17.6,,17.6,,C   
119,,296.286774,-14.697333,17.6,,17.6,,17.6,,dK  
120,,296.33078,-14.707144,17.6,,17.6,,17.6,,dM: 
121,,296.350922,-14.720666,17.6,,17.6,,17.6,,C   
122,,296.375854,-14.73088,17.6,,17.6,,17.6,,C   
123,,296.436554,-14.743853,17.6,,17.6,,17.6,,C   
124,,296.234741,-14.750431,17.6,,17.6,,17.6,,Uncl
125,,296.485382,-14.756809,17.6,,17.6,,17.6,,C:  
126,,296.131714,-14.759347,17.6,,17.6,,17.6,,Ce  
127,,296.112915,-14.776258,17.6,,17.6,,17.6,,C   
128,,296.152313,-14.788395,17.6,,17.6,,17.6,,Ce  
129,,296.283356,-14.789384,17.6,,17.6,,17.6,,C   
130,,296.319458,-14.789786,17.6,,17.6,,17.6,,M:  
131,,296.374786,-14.798067,17.6,,17.6,,17.6,,C   
132,,296.170349,-14.798781,17.6,,17.6,,17.6,,Ce  
133,,296.073059,-14.801702,17.6,,17.6,,17.6,,C   
134,,296.160095,-14.802064,17.6,,17.6,,17.6,,C   
135,,296.338257,-14.808908,17.6,,17.6,,17.6,,C:  
136,,296.238953,-14.8196,17.6,,17.6,,17.6,,dKe:
137,,296.100708,-14.828527,17.6,,17.6,,17.6,,C   
138,,296.129822,-14.832311,17.6,,17.6,,17.6,,C   
139,,296.084503,-14.832314,17.6,,17.6,,17.6,,C:  
140,,296.434357,-14.834667,17.6,,17.6,,17.6,,C:  
141,,296.30838,-14.840508,17.6,,17.6,,17.6,,C   
142,,296.173828,-14.855554,17.6,,17.6,,17.6,,Ce  
143,,296.080383,-14.858717,17.6,,17.6,,17.6,,C:  
144,,296.28244,-14.868937,17.6,,17.6,,17.6,,Ce  
145,,296.236908,-14.87212,17.6,,17.6,,17.6,,Ce  
146,,296.096558,-14.8814,17.6,,17.6,,17.6,,C   
147,,296.261414,-14.883708,17.6,,17.6,,17.6,,Ce  
148,,296.431213,-14.889406,17.6,,17.6,,17.6,,C:  
149,,296.163086,-14.894488,17.6,,17.6,,17.6,,C   
150,,296.118591,-14.89873,17.6,,17.6,,17.6,,C   
151,,296.251007,-14.9064,17.6,,17.6,,17.6,,Ce  
152,,296.35376,-14.912353,17.6,,17.6,,17.6,,C   
153,,296.223907,-14.922441,17.6,,17.6,,17.6,,C   
154,,296.157745,-14.929084,17.6,,17.6,,17.6,,Uncl
155,,296.332458,-14.951111,17.6,,17.6,,17.6,,C:  
156,,296.034485,-14.951339,17.6,,17.6,,17.6,,C   
157,,296.345795,-14.960103,17.6,,17.6,,17.6,,C:  
158,,296.33786,-14.988564,17.6,,17.6,,17.6,,C:  
159,,296.281311,-14.988667,17.6,,17.6,,17.6,,C   
160,,296.204498,-14.674287,17.6,,17.6,,17.6,,C   
161,,296.247101,-14.722958,17.6,,17.6,,17.6,,C   
162,,296.244446,-14.75467,17.6,,17.6,,17.6,,C:  
163,,296.350891,-14.757086,17.6,,17.6,,17.6,,C:  
164,,296.234558,-14.767653,17.6,,17.6,,17.6,,C   
165,,296.290405,-14.774523,17.6,,17.6,,17.6,,Ce: 
166,,296.278412,-14.780069,17.6,,17.6,,17.6,,Ce: 
167,,296.352264,-14.780713,17.6,,17.6,,17.6,,C:  
168,,296.229034,-14.781347,17.6,,17.6,,17.6,,Ce: 
169,,296.213776,-14.783867,17.6,,17.6,,17.6,,C   
170,,296.257843,-14.793209,17.6,,17.6,,17.6,,Ce: 
171,,296.208191,-14.797331,17.6,,17.6,,17.6,,Ce  
172,,296.184326,-14.799191,17.6,,17.6,,17.6,,Ce: 
173,,296.274109,-14.800164,17.6,,17.6,,17.6,,Ce  
174,,296.251343,-14.803117,17.6,,17.6,,17.6,,Ce: 
175,,296.404907,-14.812469,17.6,,17.6,,17.6,,C   
176,,296.191315,-14.818703,17.6,,17.6,,17.6,,Ce  
177,,296.212616,-14.82485,17.6,,17.6,,17.6,,C   
178,,296.182983,-14.828946,17.6,,17.6,,17.6,,Ce  
179,,296.233093,-14.830748,17.6,,17.6,,17.6,,Ce  
180,,296.241516,-14.846167,17.6,,17.6,,17.6,,Ce: 
181,,296.234772,-14.862573,17.6,,17.6,,17.6,,Ce: 
182,,296.153625,-14.886689,17.6,,17.6,,17.6,,C   
183,,296.183685,-14.962144,17.6,,17.6,,17.6,,C   
184,,296.358276,-13.897025,17.6,,17.6,,17.6,,dM: 
185,,296.329987,-13.938492,17.6,,17.6,,17.6,,dK  
186,,296.079315,-13.973788,17.6,,17.6,,17.6,,dM: 
187,,296.396942,-13.987878,17.6,,17.6,,17.6,,dM: 
188,,296.6521,-14.015325,17.6,,17.6,,17.6,,dK: 
189,,296.7117,-14.03266,17.6,,17.6,,17.6,,dK: 
190,,296.484314,-14.154216,17.6,,17.6,,17.6,,dK  
191,,295.60434,-14.160067,17.6,,17.6,,17.6,,dM: 
192,,296.492676,-14.174297,17.6,,17.6,,17.6,,dM: 
193,,296.068665,-14.228847,17.6,,17.6,,17.6,,dM: 
194,,295.52533,-14.230219,17.6,,17.6,,17.6,,dK  
195,,296.979736,-14.242464,17.6,,17.6,,17.6,,dM  
196,,296.461334,-14.256592,17.6,,17.6,,17.6,,dM: 
197,,295.588501,-14.270535,17.6,,17.6,,17.6,,dM  
198,,295.462524,-14.283733,17.6,,17.6,,17.6,,dM  
199,,295.571045,-14.283828,17.6,,17.6,,17.6,,dM: 
200,,295.808746,-14.380803,17.6,,17.6,,17.6,,dK  
201,,296.821106,-14.404108,17.6,,17.6,,17.6,,dM: 
202,,297.100342,-14.432428,17.6,,17.6,,17.6,,dK: 
203,,296.787109,-14.488456,17.6,,17.6,,17.6,,dK: 
204,,297.023987,-14.491783,17.6,,17.6,,17.6,,dM: 
205,,296.800354,-14.549609,17.6,,17.6,,17.6,,dM: 
206,,295.40918,-14.567859,17.6,,17.6,,17.6,,dM  
207,,297.072693,-14.582489,17.6,,17.6,,17.6,,dM: 
208,,296.853027,-14.590661,17.6,,17.6,,17.6,,dK: 
209,,296.812988,-14.611956,17.6,,17.6,,17.6,,C:  
210,,297.11145,-14.624125,17.6,,17.6,,17.6,,dM: 
211,,296.911255,-14.636194,17.6,,17.6,,17.6,,dK: 
212,,297.148376,-14.671167,17.6,,17.6,,17.6,,dM: 
213,,295.609711,-14.742889,17.6,,17.6,,17.6,,dM: 
214,,295.516144,-14.746992,17.6,,17.6,,17.6,,dMe 
215,,295.559082,-14.801364,17.6,,17.6,,17.6,,dMe:
216,,295.527863,-14.803578,17.6,,17.6,,17.6,,dMe:
217,,295.621918,-14.804337,17.6,,17.6,,17.6,,dM: 
218,,295.512543,-14.826831,17.6,,17.6,,17.6,,dMe 
219,,295.524353,-14.855192,17.6,,17.6,,17.6,,dMe:
220,,295.535919,-14.873045,17.6,,17.6,,17.6,,dK  
221,,295.621216,-14.885853,17.6,,17.6,,17.6,,dK  
222,,295.547546,-14.886919,17.6,,17.6,,17.6,,dM  
223,,295.540558,-14.933914,17.6,,17.6,,17.6,,dM: 
224,,295.639313,-14.980222,17.6,,17.6,,17.6,,dK: 
225,,295.404724,-15.01522,17.6,,17.6,,17.6,,dK  
226,,295.72052,-15.125569,17.6,,17.6,,17.6,,C:  
227,,295.640228,-15.129666,17.6,,17.6,,17.6,,dM  
228,,295.417267,-15.171911,17.6,,17.6,,17.6,,dM  
229,,295.405945,-15.189603,17.6,,17.6,,17.6,,dK  
230,,296.767883,-15.204441,17.6,,17.6,,17.6,,dM  
231,,295.799805,-15.229388,17.6,,17.6,,17.6,,dM  
232,,295.47818,-15.232033,17.6,,17.6,,17.6,,dM: 
233,,295.776978,-15.241439,17.6,,17.6,,17.6,,C:  
234,,295.743439,-15.257809,17.6,,17.6,,17.6,,dM  
235,,295.49173,-15.271272,17.6,,17.6,,17.6,,dK  
236,,295.872925,-15.289667,17.6,,17.6,,17.6,,dM  
237,,295.534882,-15.303519,17.6,,17.6,,17.6,,dM: 
238,,295.499207,-15.304358,17.6,,17.6,,17.6,,dK  
239,,295.87912,-15.309017,17.6,,17.6,,17.6,,dK  
240,,295.794037,-15.329094,17.6,,17.6,,17.6,,dK: 
241,,295.949036,-15.329528,17.6,,17.6,,17.6,,dM: 
242,,295.576233,-15.333383,17.6,,17.6,,17.6,,dK  
243,,295.897827,-15.337833,17.6,,17.6,,17.6,,dM: 
244,,295.537048,-15.357962,17.6,,17.6,,17.6,,dM: 
245,,295.966644,-15.358248,17.6,,17.6,,17.6,,dM: 
246,,296.011719,-15.374639,17.6,,17.6,,17.6,,dK  
247,,295.516876,-15.380892,17.6,,17.6,,17.6,,dM: 
248,,296.342438,-15.386158,17.6,,17.6,,17.6,,dM  
249,,295.648956,-15.39533,17.6,,17.6,,17.6,,dM: 
250,,296.123199,-15.455264,17.6,,17.6,,17.6,,dM  
251,,296.182312,-15.456194,17.6,,17.6,,17.6,,dK  
252,,296.019073,-15.468775,17.6,,17.6,,17.6,,Uncl
253,,295.58786,-15.487622,17.6,,17.6,,17.6,,dK  
254,,295.772949,-15.513988,17.6,,17.6,,17.6,,dM: 
255,,296.781189,-15.567519,17.6,,17.6,,17.6,,dM  
256,,296.538513,-15.576294,17.6,,17.6,,17.6,,dM: 
257,,296.190338,-14.641755,17.6,,17.6,,17.6,,C   
258,,296.32608,-14.666169,17.6,,17.6,,17.6,,C   
259,,296.335388,-14.681108,17.6,,17.6,,17.6,,C   
260,,296.110596,-14.693192,17.6,,17.6,,17.6,,C   
261,,296.196411,-14.702325,17.6,,17.6,,17.6,,dK  
262,,296.539612,-14.704988,17.6,,17.6,,17.6,,C   
263,,296.099152,-14.708244,17.6,,17.6,,17.6,,C   
264,,296.374054,-14.711063,17.6,,17.6,,17.6,,C   
265,,296.075775,-14.711885,17.6,,17.6,,17.6,,C   
266,,296.341431,-14.712852,17.6,,17.6,,17.6,,C   
267,,296.110779,-14.725801,17.6,,17.6,,17.6,,C   
268,,295.977081,-14.726664,17.6,,17.6,,17.6,,C   
269,,296.08786,-14.740214,17.6,,17.6,,17.6,,C   
270,,296.171387,-14.745203,17.6,,17.6,,17.6,,C   
271,,296.469086,-14.752255,17.6,,17.6,,17.6,,dK  
272,,296.342804,-14.764064,17.6,,17.6,,17.6,,C   
273,,296.106384,-14.767224,17.6,,17.6,,17.6,,C   
274,,296.304626,-14.767883,17.6,,17.6,,17.6,,C   
275,,296.333038,-14.770712,17.6,,17.6,,17.6,,C   
276,,296.162018,-14.82305,17.6,,17.6,,17.6,,C   
277,,296.167816,-14.842195,17.6,,17.6,,17.6,,C   
278,,296.066071,-14.844581,17.6,,17.6,,17.6,,C   
279,,296.364624,-14.865284,17.6,,17.6,,17.6,,C   
280,,296.297241,-14.869897,17.6,,17.6,,17.6,,C   
281,,296.207458,-14.896397,17.6,,17.6,,17.6,,C   
282,,296.368011,-14.913227,17.6,,17.6,,17.6,,C   
283,,296.070709,-14.94352,17.6,,17.6,,17.6,,C   
284,,296.08905,-14.945495,17.6,,17.6,,17.6,,C   
285,,296.06134,-14.955141,17.6,,17.6,,17.6,,C   
286,,295.969788,-14.97507,17.6,,17.6,,17.6,,C   
287,,296.215485,-14.99597,17.6,,17.6,,17.6,,C   
288,,296.090485,-15.010141,17.6,,17.6,,17.6,,C   
289,,296.250183,-13.941045,17.6,,17.6,,17.6,,dK  
290,,296.552612,-13.999165,17.6,,17.6,,17.6,,dK  
291,,296.365326,-14.149378,17.6,,17.6,,17.6,,dM  
292,,296.653442,-14.330378,17.6,,17.6,,17.6,,dM  
293,,295.688538,-14.347858,17.6,,17.6,,17.6,,dM  
294,,295.594513,-14.882525,17.6,,17.6,,17.6,,dM  
295,,297.015076,-15.255167,17.6,,17.6,,17.6,,dM  
296,,295.81015,-15.260356,17.6,,17.6,,17.6,,dM  
297,,296.061401,-15.403897,17.6,,17.6,,17.6,,dM  
298,,295.923065,-15.421967,17.6,,17.6,,17.6,,dK  
299,,295.796112,-15.593744,17.6,,17.6,,17.6,,dK  
