,a,b,K validity range (lower limit),K validity range (upper limit)
0,0.62,14.143,-12.95,-11.75
1,0.385,11.382,-11.75,-11.35
2,0.189,9.163,-11.35,-10.95
3,0.469,12.221,-10.95,-10.55
4,0.338,10.844,-10.55,-10.25
5,1.247,20.164,-10.25,-9.85
6,0.442,12.227,-9.85,-9.45
7,0.991,17.421,-9.45,-8.55
8,0.699,14.92,-8.55,-8.25
9,0.183,10.663,-8.25,-7.95
10,0.978,16.985,-7.95,-7.85
11,0.622,14.19,-7.85,-7.05
12,0.143,10.813,-7.05,-6.57
13,0.365,12.269,-6.57,-6.38
14,0.706,14.446,-6.38,-6.27
15,0.818,15.147,-6.27,-4.14
