Z,a,b,K validity range (lower limit),K validity range (upper limit)
0.008,-0.767,-7.575,-12.95,-11.85
0.008,-0.345,-2.5743,-11.85,-11.05
0.008,-0.273857143,-1.788171429,-11.05,-10.35
0.008,-0.5195,-4.330575,-10.35,-9.95
0.008,-0.347615385,-2.620323077,-9.95,-8.65
0.008,-0.184763158,-1.211651316,-8.65,-6.75
0.008,-0.218,-1.436,-6.75,-6.55
0.008,-0.17525,-1.1559875,-6.55,-6.35
0.008,-0.258248869,-1.683030317,-6.35,-4.14
