Z,a,b,K validity range(lower limit),K validity range(upper limit)
0.0020,-0.2590,-1.5750,-11.5270,-11.0880
0.0020,-0.2340,-1.2970,-11.0880,-10.6490
0.0020,-0.3240,-2.2570,-10.6490,-10.2110
0.0020,-0.3060,-2.0760,-10.2110,-9.7720
0.0020,-0.6230,-5.1730,-9.7720,-9.3340
0.0020,-0.2760,-1.9320,-9.3340,-8.8950
0.0020,-0.4050,-3.0840,-8.8950,-8.4560
0.0020,-0.2690,-1.9300,-8.4560,-8.0180
0.0020,-0.1550,-1.0170,-8.0180,-7.5790
0.0020,-0.0660,-0.3420,-7.5790,-7.1400
0.0020,-0.1680,-1.0730,-7.1400,-6.7020
0.0020,-0.2710,-1.7640,-6.7020,
0.0015,-0.2250,-0.9800,,-12.0090
0.0015,-0.4080,-3.1880,-12.0090,-11.5610
0.0015,-0.5330,-4.6350,-11.5610,-11.1130
0.0015,-0.1890,-0.8120,-11.1130,-10.6650
0.0015,-0.2660,-1.6310,-10.6650,-10.2170
0.0015,-0.6130,-5.1720,-10.2170,-9.7690
0.0015,-0.4250,-3.3340,-9.7690,-9.3220
0.0015,-0.1590,-0.8580,-9.3220,-8.8740
0.0015,-0.4970,-3.8610,-8.8740,-8.4260
0.0015,-0.2590,-1.8500,-8.4260,-7.9780
0.0015,-0.1080,-0.6500,-7.9780,-7.5300
0.0015,-0.0990,-0.5820,-7.5300,-7.0820
0.0015,-0.1630,-1.0300,-7.0820,-6.6340
0.0015,-0.2580,-1.6820,-6.6340,
0.0030,-0.5380,-4.8100,,-11.8270
0.0030,-0.4490,-3.7630,-11.8270,-11.4080
0.0030,-0.2190,-1.1340,-11.4080,-10.9900
0.0030,-0.3110,-2.1510,-10.9900,-10.5710
0.0030,-0.2110,-1.0930,-10.5710,-10.1520
0.0030,-0.6760,-5.8180,-10.1520,-9.7330
0.0030,-0.2870,-2.0300,-9.7330,-9.3150
0.0030,-0.3110,-2.2510,-9.3150,-8.8960
0.0030,-0.4010,-3.0490,-8.8960,-8.4770
0.0030,-0.2160,-1.4810,-8.4770,-8.0580
0.0030,-0.2350,-1.6360,-8.0580,-7.6390
0.0030,-0.1020,-0.6230,-7.6390,-7.2210
0.0030,-0.1730,-1.1300,-7.2210,-6.8020
0.0030,-0.2180,-1.4360,-6.8020,
0.0060,-0.4590,-3.8880,,-11.9020
0.0060,-0.6230,-5.8440,-11.9020,-11.4980
0.0060,-0.1590,-0.5080,-11.4980,-11.0940
0.0060,-0.2800,-1.8510,-11.0940,-10.6890
0.0060,-0.2980,-2.0360,-10.6890,-10.2850
0.0060,-0.3550,-2.6230,-10.2850,-9.8810
0.0060,-0.5290,-4.3470,-9.8810,-9.4770
0.0060,-0.2400,-1.6050,-9.4770,-9.0730
0.0060,-0.3970,-3.0310,-9.0730,-8.6690
0.0060,-0.1110,-0.5550,-8.6690,-8.2650
0.0060,-0.4050,-2.9810,-8.2650,-7.8600
0.0060,-0.1980,-1.3550,-7.8600,-7.4560
0.0060,-0.2000,-1.3710,-7.4560,-7.0520
0.0060,-0.2000,-1.3720,-7.0520,
0.0080,-0.7670,-7.5750,,-11.7670
0.0080,-0.4120,-3.4020,-11.7670,-11.3810
0.0080,-0.1390,-0.2980,-11.3810,-10.9940
0.0080,-0.3460,-2.5650,-10.9940,-10.6080
0.0080,-0.1950,-0.9720,-10.6080,-10.2210
0.0080,-0.6710,-5.8380,-10.2210,-9.8350
0.0080,-0.2000,-1.1980,-9.8350,-9.4480
0.0080,-0.3900,-2.9990,-9.4480,-9.0610
0.0080,-0.3680,-2.7960,-9.0610,-8.6750
0.0080,-0.3070,-2.2690,-8.6750,-8.2880
0.0080,-0.2100,-1.4610,-8.2880,-7.9020
0.0080,-0.2710,-1.9480,-7.9020,-7.5150
0.0080,-0.1610,-1.1170,-7.5150,-7.1290
0.0080,-0.1800,-1.2580,-7.1290,
0.0100,-0.7500,-7.3900,,-11.7770
0.0100,-0.4020,-3.2960,-11.7770,-11.3960
0.0100,-0.1730,-0.6770,-11.3960,-11.0160
0.0100,-0.3010,-2.1890,-11.0160,-10.6350
0.0100,-0.2170,-1.1960,-10.6350,-10.2540
0.0100,-0.5830,-4.9500,-10.2540,-9.8730
0.0100,-0.3050,-2.2100,-9.8730,-9.4920
0.0100,-0.3090,-2.2450,-9.4920,-9.1120
0.0100,-0.4100,-3.1680,-9.1120,-8.7310
0.0100,-0.2920,-2.1370,-8.7310,-8.3500
0.0100,-0.2490,-1.7760,-8.3500,-7.9690
0.0100,-0.3240,-2.3760,-7.9690,-7.5890
0.0100,-0.1560,-1.1020,-7.5890,-7.2080
0.0100,-0.1660,-1.1700,-7.2080,
0.0120,-0.7710,-7.6740,,-11.7150
0.0120,-0.1740,-0.6840,-11.7150,-11.3440
0.0120,-0.2430,-1.4640,-11.3440,-10.9740
0.0120,-0.2480,-1.5260,-10.9740,-10.6030
0.0120,-0.2530,-1.5770,-10.6030,-10.2320
0.0120,-0.6600,-5.7410,-10.2320,-9.8620
0.0120,-0.1910,-1.1190,-9.8620,-9.4920
0.0120,-0.3740,-2.8500,-9.4920,-9.1210
0.0120,-0.3880,-2.9780,-9.1210,-8.7500
0.0120,-0.2040,-1.3700,-8.7500,-8.3800
0.0120,-0.3880,-2.9100,-8.3800,-8.0090
0.0120,-0.2940,-2.1590,-8.0090,-7.6390
0.0120,-0.1870,-1.3420,-7.6390,-7.2680
0.0120,-0.1550,-1.1200,-7.2680,
0.02,-0.521,-4.732,,-11.622
0.02,-0.274,-1.866,-11.622,-11.279
0.02,-0.207,-1.101,-11.279,-10.936
0.02,-0.230,-1.357,-10.936,-10.593
0.02,-0.203,-1.068,-10.593,-10.250
0.02,-0.585,-4.991,-10.250,-9.907
0.02,-0.298,-2.147,-9.907,-9.564
0.02,-0.319,-2.348,-9.564,-9.221
0.02,-0.344,-2.577,-9.221,-8.878
0.02,-0.328,-2.429,-8.878,-8.535
0.02,-0.414,-3.166,-8.535,-8.192
