Z,log t upper limit,log t lower limit,age upper limit,age lower limit
0.0005,,10.08990511,,12.3
0.0008,10.08990511,10.05307844,12.3,11.3
0.001,10.05307844,10.0211893,11.3,10.5
0.0015,10.0211893,9.977723605,10.5,9.5
0.002,9.977723605,9.944482672,9.5,8.8
0.003,9.944482672,9.875061263,8.8,7.5
0.006,9.875061263,9.204119983,7.5,1.6
0.008,9.204119983,,1.6,
